"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"b10c52b3-6842-4c4c-805c-5e907c54454f","Diller ocr.txt","﻿Ἀγαθημέρου","char-offset:0","PERSON","","","","","","","","author",""
"69fa5390-8a76-4266-916b-4ec2496ade2e","Diller ocr.txt","Ἀναξίμανδρος","char-offset:47","PERSON","","","","","","","","",""
"5ec73bd5-ab01-4cd4-960c-9e5437e79f65","Diller ocr.txt","Μιλήσιος","char-offset:62","PLACE","http://pleiades.stoa.org/places/550742","Miletos?|Miletos?, Uyuncak Köprü, over Havran Çay","-0550/0300","39.528399","26.974176","settlement","VERIFIED","","#documentation: when possible, i am choosing only one place reference and ignoring unlocated references."
"783252ea-d659-4d64-9ca2-797fbbf9dca4","Diller ocr.txt","Θάλεω","char-offset:80","PERSON","","","","","","","","",""
"a4feb9bd-e741-4cef-89db-8708ce8814b2","Diller ocr.txt","οἰκουμένην","char-offset:108","PLACE","","","","","","","UNVERIFIED","concept",""
"f742a2fc-1cde-477c-848e-2c8f280b1fc5","Diller ocr.txt","Ἑκαταῖος","char-offset:145","PERSON","","","","","","","","",""
"94fa613a-727a-4a54-b11f-5fdff31e53cb","Diller ocr.txt","Μιλήσιος","char-offset:156","PLACE","http://pleiades.stoa.org/places/550742","Miletos?|Miletos?, Uyuncak Köprü, over Havran Çay","-0550/0300","39.528399","26.974176","settlement","VERIFIED","",""
"4bf2690a-c247-40f0-971b-4da37b433712","Diller ocr.txt","Ἑλλάνικος","char-offset:221","PERSON","","","","","","","","",""
"9ab9a185-c4f5-45ae-b5d0-aec3f0d0a247","Diller ocr.txt","Λέσβιος","char-offset:237","PLACE","http://pleiades.stoa.org/places/550696","Lesbos (island)|Lesbos Ins./Lesbus Ins., Lesbos","1700/2100","39.20874","26.10052","island","VERIFIED","",""
"d29cfd3f-956d-4e47-99f2-66f3cf037686","Diller ocr.txt","Δαμάστης","char-offset:297","PERSON","","","","","","","","",""
"0e8b60c1-7d0d-43fe-a7c6-25eee2511969","Diller ocr.txt","Κιτιεὺς","char-offset:308","PLACE","http://pleiades.stoa.org/places/123082","Citium","-0030/0640","","","unlocated","VERIFIED","",""
"acfe3823-ff3b-4cbe-bd4d-a92c2e80312d","Diller ocr.txt","Ἑκαταίου","char-offset:334","PERSON","","","","","","","","",""
"679527c7-ff5a-497b-9d4d-c1d788607ed1","Diller ocr.txt","Δημόκριτος","char-offset:378","PERSON","","","","","","","","",""
"6c50760d-c649-45fb-b890-3e71109099b7","Diller ocr.txt","Εὔδοξος","char-offset:393","PERSON","","","","","","","","",""
"c90fd72c-d935-4c89-ad9f-ce512ddb105f","Diller ocr.txt","οἰκουμένην","char-offset:487","PLACE","","","","","","","UNVERIFIED","concept","#documentation: ""concept"" indicates a geographical entity with no specific location"
"9d3a23a8-e7bf-497a-83ee-3f80092f6f6c","Diller ocr.txt","Ἑλλάδα","char-offset:540","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","region","#documentation: ""region"" marks any spatial extent on land."
"93ea4f83-2b1b-46e8-90a7-cc62d81db3f1","Diller ocr.txt","Δελφούς","char-offset:558","PLACE","http://pleiades.stoa.org/places/540726","Delphi|Delphi/Delphoi, Delphi","-0750/2100","38.482289","22.501169","sanctuary,settlement","VERIFIED","settlement","#documentation: we need to decide what to do with multiple gazetteer references. for the sake of consistency, I am preferring Pleiades over other gazetteers, but multiple choices tend to affect the annotation export format."
"e2c2ac3c-eac1-4abd-9d93-3982c623630c","Diller ocr.txt","Δημόκριτος","char-offset:608","PERSON","","","","","","","","",""
"e0fa3c05-8e12-4189-aaee-39f49e1addd2","Diller ocr.txt","Δικαίαρχος","char-offset:725","PERSON","","","","","","","","",""
"c83744fd-0fda-4205-96f9-24fbe59d6d08","Diller ocr.txt","Δικαίαρχος ὁ περιπατητικός","char-offset:725","PERSON","","","","","","","","","#documentation: i am tagging as ""education"" references to the philosophical, religious school of individuals expressed in the form of adjectives."
"8200e58a-4a7d-4dc9-a1df-4c91c7498726","Diller ocr.txt","Εὔδοξος","char-offset:753","PERSON","","","","","","","","",""
"ac31d51a-a03c-4807-bd57-a4133f751393","Diller ocr.txt","Ἐρατοσθένης","char-offset:799","PERSON","","","","","","","","",""
"4f7de26a-2365-4274-943f-1d3579b20118","Diller ocr.txt","Κράτης","char-offset:830","PERSON","","","","","","","","",""
"6e02cd23-0680-4301-a5d1-f1d0b86b4afe","Diller ocr.txt","Ἵππαρχος","char-offset:855","PERSON","","","","","","","","",""
"a9344e0d-041f-4495-982a-c7d44f67c18a","Diller ocr.txt","Ποσειδώνιος δ’ ὁ Στωϊκὸς","char-offset:899","PERSON","","","","","","","","",""
"e776f8a8-aca8-4f14-964f-670be55fd52f","Diller ocr.txt","Ποσειδώνιος","char-offset:899","PERSON","","","","","","","","",""
"f0167a73-bc80-4c6a-868d-203f6c159263","Diller ocr.txt","Ἰνδικήν","char-offset:1046","PLACE","http://pleiades.stoa.org/places/50004","India","-0330/0300","22.5","77.5","region","VERIFIED","region",""
"c369adad-c008-4cb8-9387-1341c139a1b8","Diller ocr.txt","Ὅροι","char-offset:1057","PLACE","","","","","","","UNVERIFIED","concept",""
"5c2b8c42-8d0a-4e9a-8dc5-0c6dcff5b2a7","Diller ocr.txt","ἠπείρων","char-offset:1062","PLACE","","","","","","","UNVERIFIED","concept|continent",""
"81f335e8-5831-4f57-9373-5e3f0f2d3c1f","Diller ocr.txt","Εὐρώπης","char-offset:1071","PLACE","http://pleiades.stoa.org/places/536074","Europe","0300/0640","","","unlocated","VERIFIED","concept|continent","#documentation: despite the fact that Europe, Asia and Libya are more geographical concepts than entities, I am georeferencing them with preference to locations that are identified as polygons, just to give a sense of spatial extension. this coud then be redesigned in modelling processes by identifying the boundaries as they appear in the sources."
"84fb5a8d-689f-4de5-96b2-ca270578f48f","Diller ocr.txt","Λιβύης","char-offset:1087","PLACE","http://pleiades.stoa.org/places/716588","Libya","-0030/0640","31.5","26.5","region","VERIFIED","concept|continent",""
"0db618dc-233a-44d7-9f97-aefb50012827","Diller ocr.txt","Ἡρακλέους στῆλαι","char-offset:1097","PLACE","http://pleiades.stoa.org/places/275614","Columnae Herculis","-0750/0300","35.9358335","-5.384583","cape","VERIFIED","",""
"7ed84aa7-37d4-4043-93ae-c30a5d522827","Diller ocr.txt","Ἡρακλέους","char-offset:1097","PERSON","","","","","","","","",""
"6a37988a-f95d-476b-9425-ce9e57d0b7ae","Diller ocr.txt","Λιβύης","char-offset:1115","PLACE","http://pleiades.stoa.org/places/716588","Libya","-0030/0640","31.5","26.5","region","VERIFIED","concept|continent",""
"38ecc735-0483-4000-8102-0d945e245b86","Diller ocr.txt","Ἀσίας","char-offset:1129","PLACE","http://pleiades.stoa.org/places/981509","Asia","","37.5","27.5","province","VERIFIED","concept|continent",""
"c84d453b-e94b-40db-b784-95049d39d9de","Diller ocr.txt","Νεῖλος","char-offset:1137","PLACE","http://pleiades.stoa.org/places/727172","Nilus (river)","-6000/2100","19.211408766666665","30.567329633333333","river","VERIFIED","natural feature|water mass|river",""
"8337c20b-55e9-48eb-bf26-47fca89227a3","Diller ocr.txt","ἰσθμὸν τὸν ἀπὸ Σερβωνίδος λίμνης","char-offset:1151","PLACE","","","","","","","UNVERIFIED","natural feature|isthmus","identification by relative location."
"0658b716-1b14-4972-b905-a6178d9346d8","Diller ocr.txt","ἰσθμὸν τὸν ἀπὸ Σερβωνίδος λίμνης","char-offset:1151","EVENT","","","","","","","","position|relative",""
"2ace18cd-a94a-4c19-91fd-2df82fce9d1d","Diller ocr.txt","ἰσθμὸν τὸν ἀπὸ Σερβωνίδος λίμνης","char-offset:1151","EVENT","","","","","","","","position|relative",""
"9046a5e2-ef66-48ec-b71d-7b48f058f347","Diller ocr.txt","ἰσθμὸν τὸν ἀπὸ Σερβωνίδος λίμνης","char-offset:1151","EVENT","","","","","","","","location",""
"07ea33cf-6098-403f-9618-692167aee664","Diller ocr.txt","Σερβωνίδος","char-offset:1166","PLACE","http://pleiades.stoa.org/places/688025","Serbonitis L.","","31.25","33.25","lake","VERIFIED","natural feature|water mass|lake","#documentation: when in presence of a placename + category, i am georeferencing the placename only, unless it is a case when the category is necessary for the identification of the name as a place.|#documentation: when assigning categories to placenames explicitly referenced in a way, I am using that category despite of modern classifications."
"7f9524ba-1fd8-430b-bb7b-d6f9a14b4af8","Diller ocr.txt","Ἀραβίου κόλπου","char-offset:1188","PLACE","http://pleiades.stoa.org/places/39290","Arabicus Sinus/Erythr(ae)um/Rubrum Mare","-0030/2100","19.0","39.5","water-open","VERIFIED","natural feature|water mass|gulf",""
"9a1bb341-1331-4695-94f2-650ed919faf7","Diller ocr.txt","Ἀσίας","char-offset:1204","PLACE","http://pleiades.stoa.org/places/981509","Asia","","37.5","27.5","province","VERIFIED","concept|continent",""
"b2052cd0-bbad-4881-8c1e-b85423f7835a","Diller ocr.txt","Εὐρώπης","char-offset:1217","PLACE","http://pleiades.stoa.org/places/536074","Europe","0300/0640","","","unlocated","VERIFIED","concept|continent",""
"3d2dfad5-0d66-448f-a6f9-1ac53c9938d4","Diller ocr.txt","Φᾶσιν","char-offset:1240","PLACE","http://pleiades.stoa.org/places/874645","Phasis (river)","-0550/-0330","39.5","41.5","river","VERIFIED","natural feature|water mass|river",""
"846fb223-c38e-41ce-abe1-b986844a677f","Diller ocr.txt","Φᾶσιν ποταμὸν","char-offset:1240","","","","","","","","","","testing again..."
"6f912ab7-8007-431f-a768-0e89376d7228","Diller ocr.txt","τὸν ἕως Κασπίας ἰσθμόν","char-offset:1258","EVENT","","","","","","","","extent|relative",""
"091a4459-6922-40f5-a28e-d41244af3bc7","Diller ocr.txt","τὸν ἕως Κασπίας ἰσθμόν","char-offset:1258","PLACE","","","","","","","UNVERIFIED","natural feature|isthmus",""
"f39ce831-1c0e-47f9-80da-8d643c4c1e35","Diller ocr.txt","Κασπίας","char-offset:1266","PLACE","http://pleiades.stoa.org/places/884130","Caspium/Hyrcanium Mare","-0550/0640","42.6759567125","49.98680535","lake,water-open","VERIFIED","natural feature|water mass|sea",""
"0a71971c-cb7f-4665-8fec-d7ef1437f4f2","Diller ocr.txt","Μαιῶτιν","char-offset:1305","PLACE","http://pleiades.stoa.org/places/825318","Maeotis","-0750/0640","45.814417000000006","35.862586","water-open","VERIFIED","natural feature|water mass|lake",""
"729353ab-30d8-43d1-8616-b08ddc5f2a02","Diller ocr.txt","Μαιῶτιν λίμνην","char-offset:1305","PLACE","","","","","","","UNVERIFIED","",""
"ea1cded9-e22c-4917-bb67-c9aba4209e75","Diller ocr.txt","Τάναϊν ποταμόν","char-offset:1324","PLACE","","","","","","","UNVERIFIED","",""
"a42cf41b-48c3-4bde-8a14-7d90ae57f87c","Diller ocr.txt","Τάναϊν","char-offset:1324","PLACE","http://pleiades.stoa.org/places/59844","Iaxartes/Silis/Tanais (river)","-0330/0640","45.7077742","63.5889496","river","VERIFIED","natural feature|water mass|river",""
"af70f374-5fa9-4a4c-a0e7-35c48f937df3","Diller ocr.txt","ἤπειροι","char-offset:1355","PLACE","","","","","","","UNVERIFIED","concept|continent","Category referred to the following toponyms"
"5057d585-2910-4cd2-be6f-a7bafb64bee9","Diller ocr.txt","Ἀσία","char-offset:1396","PLACE","http://pleiades.stoa.org/places/981509","Asia","","37.5","27.5","province","VERIFIED","concept|continent",""
"56c6eb95-ef2e-42b9-85d9-a7bdd2928902","Diller ocr.txt","τοῖς ἀπ’ Εὐρώπης ἀπιοῦσι","char-offset:1424","EVENT","","","","","","","","direction|relative",""
"d5c194d0-8321-4038-b99e-35580101e160","Diller ocr.txt","Εὐρώπης","char-offset:1433","PLACE","http://pleiades.stoa.org/places/536074","Europe","0300/0640","","","unlocated","VERIFIED","concept|continent",""
"873697bd-d61e-4175-97e1-b086e5ae4af4","Diller ocr.txt","Εὔβοια","char-offset:1489","PLACE","http://pleiades.stoa.org/places/540775","Euboea (island)|Euboea Ins./Euboia, Euboia","-0550/-0330","38.53","23.87","island","VERIFIED","natural feature|island",""
"b6822c01-47dd-4711-bf3a-e90b2f7e19e8","Diller ocr.txt","Ἄνδρος","char-offset:1496","PLACE","http://pleiades.stoa.org/places/589693","Andros (settlement)|Andros (island)|Andros Ins., Andros|Andros, Palaiopolis, Andros","-0550/0300","37.8528","24.86222","island,settlement-modern,settlement","VERIFIED","natural feature|island",""
"033f4ef8-16d4-4f19-86cd-90b74d6dbe65","Diller ocr.txt","Τῆνος","char-offset:1503","PLACE","http://pleiades.stoa.org/places/590074","Tenos (island)|Tenos|Exomvourgo|Tenos, Tinos|Tenos Ins., Tinos|Poseidon, Amphitrite, T.|Poseidon/Amphitrite, Kionia, Tinos","-0750/0640","37.577564","25.167742","island,settlement,temple-2","VERIFIED","natural feature|island",""
"2c5a83b5-0716-44e2-a829-08f4a955b7f9","Diller ocr.txt","Μύκονος","char-offset:1509","PLACE","http://pleiades.stoa.org/places/599808","Mykonos (island)|Mykonos|Mykonos, Mykonos|Mykonos Ins., Mykonos","-0750/0640","37.445959","25.328619","island,settlement","VERIFIED","natural feature|island",""
"fe1a12a8-8cd0-4879-ba47-b7896187f95f","Diller ocr.txt","Ἰκαρία","char-offset:1517","PLACE","http://pleiades.stoa.org/places/599667","Ikaros (island)|Ikaros/Ikaria, Ikaria","-0030/0300","37.6136166","26.2536135","island","VERIFIED","natural feature|island",""
"648df89b-76fd-4c29-990f-2d3abdea9276","Diller ocr.txt","Σάμος","char-offset:1524","PLACE","http://pleiades.stoa.org/places/599926","Samos|Samos (island)|Samos Ins./Samus Ins., Samos|Samos, Samos|Heraion|Heraion, Heraion","-0750/0640","37.73","26.84","island,sanctuary,settlement,temple-2","VERIFIED","natural feature|island",""
"72d157b7-f033-4bbe-bcea-fd3f0cc202cb","Diller ocr.txt","Μυκάλη","char-offset:1530","PLACE","http://pleiades.stoa.org/places/599805","Mycale M.|Mycale Mons, Samsun Dağ","-0750/0300","37.66144","27.12558","mountain","VERIFIED","natural feature|island",""
"cb7f9c96-858d-4619-960d-a2662699e907","Diller ocr.txt","Εὐρώπη","char-offset:1543","PLACE","http://pleiades.stoa.org/places/536074","Europe","0300/0640","","","unlocated","VERIFIED","concept|continent",""
"ab8507fe-de32-46ce-916a-ff468093dc72","Diller ocr.txt","Λιβύη","char-offset:1575","PLACE","http://pleiades.stoa.org/places/716588","Libya","-0030/0640","31.5","26.5","region","VERIFIED","concept|continent",""
"4abbfbf3-0887-4647-b9fc-7f392703856e","Diller ocr.txt","Ἑλλήνων","char-offset:1588","PERSON","","","","","","","","",""
"1742aa4c-c88e-4904-bf23-eb9ece61296c","Diller ocr.txt","Φοίνικες","char-offset:1637","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"efcf472e-d4b2-4b84-b770-be266c76e275","Diller ocr.txt","ὠκεανὸς","char-offset:1668","PLACE","","","","","","","UNVERIFIED","concept|water mass|ocean",""
"70a1670b-440a-4408-84c8-239628f85745","Diller ocr.txt","Δικαίαρχος","char-offset:1716","PERSON","","","","","","","","",""
"3d63d292-8763-46bf-8598-ae7022f88cd7","Diller ocr.txt","Στηλῶν","char-offset:1785","PLACE","http://pleiades.stoa.org/places/275614","Columnae Herculis","-0750/0300","35.9358335","-5.384583","cape","VERIFIED","",""
"c1731534-9479-4991-a06d-d160f3a31a1a","Diller ocr.txt","Σαρδοῦς","char-offset:1796","PLACE","http://pleiades.stoa.org/places/981548","Sardinia et Corsica","-0030/0300","37.5","7.5","province","VERIFIED","natural feature|island",""
"48807024-cdb1-471c-8d8d-f6468fef8ffe","Diller ocr.txt","Σικελίας","char-offset:1804","PLACE","http://pleiades.stoa.org/places/981549","Sicilia (Roman province)","","37.751645425","14.6747958","province","VERIFIED","natural feature|island",""
