"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"6ee74bcf-1f4f-4b09-bb68-0aee1cac2fa6","Book 1","Herodotus","char-offset:0","PERSON","","","","","","","","","https://www.wikidata.org/wiki/Q26825"
"bd0de650-d84d-4c45-9978-e03e3cda8d26","Book 1","Herodotus","char-offset:72","PERSON","","","","","","","","","https://www.wikidata.org/wiki/Q26825"
"b5211531-1f0d-47b5-89e4-1bf134e95215","Book 1","Halicarnassus","char-offset:85","PLACE","http://pleiades.stoa.org/places/599636","Halicarnassus/Halikarnassos|Mausoleum at Halicarnassus, Bodrum|Halikarnassos/Halicarnassus, Bodrum","-0550/2100","37.037864","27.424112","settlement,tomb,architecturalcomplex,port","VERIFIED","",""
"8562e7a6-4d49-46a7-9163-5aa5803ac7c8","Book 1","Hellenes","char-offset:211","PLACE","","","","","","","NOT_IDENTIFIABLE","Ethnic","This ""Hellas"" denotes a small territory on mainland Greece. ""Hellas"" denoting the territory of the Greeks more generally not in Pleiades (passim)"
"7d826d73-8fdc-4655-b924-85c7d5c1e51f","Book 1","Persian","char-offset:349","PLACE","http://sws.geonames.org/130758","Iran","","32.56323656290414","54.30402578784763","","VERIFIED","Ethnic","Persia, as a territory, not in Pleiades (passim). Herodotus, 1.1.2"
"fc39a170-91f2-49b3-8993-7e8fb250170f","Book 1","Phoenicians","char-offset:382","PLACE","http://pleiades.stoa.org/places/678334","Phoenice","-0750/0640","33.25","35.25","region","VERIFIED","Ethnic",""
"3e690461-cf31-4579-9f8b-77bd034eee67","Book 1","Red","char-offset:488","PLACE","http://pleiades.stoa.org/places/39290","Arabicus Sinus/Erythr(ae)um/Rubrum Mare","-0030/2100","19.0","39.5","water-open","VERIFIED","",""
"fe8e7235-f830-4ae5-8c78-25cd756939f5","Book 1","Egyptian","char-offset:630","PLACE","http://pleiades.stoa.org/places/981503","Ancient Egypt (region)","-1000/0640","19.211408766666665","30.567329633333333","region","VERIFIED","Ethnic",""
"c5b27505-4a4e-4598-aa24-e96ae4c26653","Book 1","Assyrian","char-offset:643","PLACE","http://pleiades.stoa.org/places/29492","(As)Syria","-2000/0640","37.5","37.5","region","VERIFIED","Ethnic",""
"6c4e4015-106f-4161-92e1-dc2da3478d20","Book 1","Argos","char-offset:678","PLACE","http://pleiades.stoa.org/places/570106","Argos|Argos, Argos","-0750/0300","37.631561","22.719464","settlement","VERIFIED","",""
"366cdaaf-104a-48d5-993e-02a34cf13962","Book 1","Hellas","char-offset:775","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","region",""
"7ae293b1-f57c-4cfe-a6cf-a65b19ae6a75","Book 1","Phoenicians","char-offset:787","PLACE","http://pleiades.stoa.org/places/678334","Phoenice","-0750/0640","33.25","35.25","region","VERIFIED","Ethnic",""
"074fe9f6-a39a-4f48-a49f-a609f53070a0","Book 1","Argos","char-offset:807","PLACE","http://pleiades.stoa.org/places/570106","Argos|Argos, Argos","-0750/0300","37.631561","22.719464","settlement","VERIFIED","",""
"be0c19fe-53af-4bf1-b397-bea6e92490e9","Book 1","Io","char-offset:1025","PERSON","","","","","","","","","https://www.wikidata.org/wiki/Q179014"
"cda86460-550d-438a-b17a-7cf1b7ad3829","Book 1","Persians","char-offset:1042","PLACE","http://sws.geonames.org/130758","Iran","","32.56323656290414","54.30402578784763","","VERIFIED","ethnic",""
"940da41c-d850-4d69-81fe-292a51a1c5ee","Book 1","Greeks","char-offset:1055","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","ethnic",""
"b683aab7-c2ca-4b16-afb4-eec2033f5165","Book 1","the daughter of Inachus","char-offset:1070","PERSON","","","","","","","","","https://www.wikidata.org/wiki/Q179014"
"f6b3050c-e4c3-4029-95a8-c6a8a9057085","Book 1","Inachus","char-offset:1086","PERSON","","","","","","","","","https://www.wikidata.org/wiki/Q735623"
"5339c916-c2cb-4531-ad59-e6262375d8d4","Book 1","Phoenicians","char-offset:1183","PLACE","http://pleiades.stoa.org/places/678334","Phoenice","-0750/0640","33.25","35.25","region","VERIFIED","Ethnic",""
"b6ce30d9-21b3-432c-a20f-f0d059577a2e","Book 1","Io","char-offset:1260","PERSON","","","","","","","","","https://www.wikidata.org/wiki/Q179014"
"f9d1e27e-7503-41ca-b24f-0b5790361212","Book 1","Egypt","char-offset:1339","PLACE","http://pleiades.stoa.org/places/981503","Ancient Egypt (region)","-1000/0640","19.211408766666665","30.567329633333333","region","VERIFIED","",""
"47398134-623a-4d43-8105-f29c9b241c02","Book 1","Persians","char-offset:1367","PLACE","http://sws.geonames.org/130758","Iran","","32.56323656290414","54.30402578784763","","VERIFIED","Ethnic",""
"709112b0-22e7-4012-a7d1-67f96d353ee2","Book 1","Greeks","char-offset:1396","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","ethnic",""
"7c380360-7cbc-4140-8e40-b1cb6b53301d","Book 1","Io","char-offset:1413","PERSON","","","","","","","","","https://www.wikidata.org/wiki/Q179014"
"c35e437c-eb26-40d3-8e61-0dc2f0a17851","Book 1","Egypt","char-offset:1424","PLACE","http://pleiades.stoa.org/places/766","Aegyptus (Roman imperial province)","-0030/2100","","","province","VERIFIED","",""
"5a808a66-ac87-4ce8-beb4-efd6e854afbc","Book 1","Greeks","char-offset:1532","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","ethnic",""
"22f7c849-e3fc-4396-aeab-41a74ddb0013","Book 1","Tyre","char-offset:1571","PLACE","http://pleiades.stoa.org/places/678437","Tyrus/Col. Septimia Severa|Tyrus/Col. Septimia Severa, Tyre (Tyrus)","-2000/2000","33.268071","35.209358","circus,settlement","VERIFIED","",""
"de992f04-0c15-404e-8538-9bbffca94c0b","Book 1","Phoenicia","char-offset:1579","PLACE","http://pleiades.stoa.org/places/678334","Phoenice","-0750/0640","33.25","35.25","region","VERIFIED","region",""
"3a04eef1-92f8-4f12-a4d8-2f98fbe5a5bf","Book 1","the king's daughter Europa","char-offset:1605","PERSON","","","","","","","","","https://www.wikidata.org/wiki/Q165170"
"a770997e-8743-4d12-928b-e809055358f8","Book 1","king","char-offset:1609","PERSON","","","","","","","","","https://www.wikidata.org/wiki/Q392631"
"c6bdcbbe-394a-4b25-883a-f35e6c574ad5","Book 1","Greeks","char-offset:1639","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","ethnic",""
"45f7598b-404f-4f75-8393-de546502ba1a","Book 1","Cretans","char-offset:1673","PLACE","http://pleiades.stoa.org/places/589748","Creta (island)","-0750/2100","35.21984439173344","24.995769971494504","island","VERIFIED","Ethnic",""
"71f716aa-c284-4427-8208-8476564acabe","Book 1","Greeks","char-offset:1773","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","ethnic",""
"bef34539-807d-4caa-9929-1696defe7caf","Book 1","Aea","char-offset:1851","PLACE","http://pleiades.stoa.org/places/857014","Aia/Nesos","-0030/0640","42.5","42.5","unknown","VERIFIED","",""
"39fbf284-e72b-41e0-8adb-4e14c2130b0c","Book 1","Colchians","char-offset:1870","PLACE","http://pleiades.stoa.org/places/874432","Colchis|Colchis, Yukarı Huh","-0030/0640","38.52585","39.228819","settlement","VERIFIED","Ethnic",""
"b134bf2c-922c-4430-817f-142060352657","Book 1","Phasis","char-offset:1898","PLACE","http://pleiades.stoa.org/places/863867","Phasis/Rheon (river)","","42.5","42.5","river","VERIFIED","river",""
"095db4e8-db74-4019-9455-341219cef6ae","Book 1","the king's daughter Medea","char-offset:1981","PERSON","","","","","","","","","https://www.wikidata.org/wiki/Q174278"
"9f7d324e-dd91-4f53-a050-66996b57d88d","Book 1","king","char-offset:1985","PERSON","","","","","","","","","https://www.wikidata.org/wiki/Q241971"
"1812d476-73e1-4bc3-9333-69b07429ccbd","Book 1","Colchian king","char-offset:2021","PLACE","http://pleiades.stoa.org/places/863770","Colchis/Lazike","-0750/0640","42.5","42.5","region","VERIFIED","ethnic",""
"4bf88a96-9caa-4246-9bfc-1a70a3428d5e","Book 1","Greeks","char-offset:2123","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","ethnic",""
"5b8b8c33-8cd7-4e43-9571-86c00ecb9bf2","Book 1","Argive Io","char-offset:2205","PLACE","http://pleiades.stoa.org/places/570106","Argos|Argos, Argos","-0750/0300","37.631561","22.719464","settlement","VERIFIED","ethnic",""
"4a1098ff-0051-4b16-9a9d-92e0bae6c4bb","Book 1","Io","char-offset:2212","PERSON","","","","","","","","","https://www.wikidata.org/wiki/Q179014"
"8704aa7f-7a40-4ef2-9406-e2ab5112dd94","Book 1","Colchians","char-offset:2247","PLACE","http://pleiades.stoa.org/places/874432","Colchis|Colchis, Yukarı Huh","-0030/0640","38.52585","39.228819","settlement","VERIFIED","Ethnic",""
"17a6748f-010a-4db3-8432-e39bd6607f7b","Book 1","Hellas","char-offset:2402","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","region",""
"60b14bf3-9931-41f0-afdd-0149c41140dc","Book 1","Greeks","char-offset:2512","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","ethnic",""
"06818be9-3aa8-40fa-b8eb-e2daef214b0b","Book 1","Trojans","char-offset:2659","PLACE","http://pleiades.stoa.org/places/550595","Ilium/Troia|Ilium/Troia, Hisarlık","-0750/2100","39.9577","26.23873","settlement","VERIFIED","Ethnic",""
"aee8c09d-b0a3-4b3c-b386-e09d62303d30","Book 1","Medea","char-offset:2690","PERSON","","","","","","","","","https://www.wikidata.org/wiki/Q174278"
"d99c7a19-5ed5-4111-a9ce-d4967a3e5e72","Book 1","Greeks","char-offset:2714","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","ethnic",""
"44e7eaf8-7dbb-4760-a9e2-3f940425b131","Book 1","Persians","char-offset:2899","PLACE","http://sws.geonames.org/130758","Iran","","32.56323656290414","54.30402578784763","","VERIFIED","ethnic",""
"3f349187-0cac-4d3d-b25b-530e9f04d5c2","Book 1","Greeks","char-offset:2918","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","ethnic",""
"e7300a18-9e96-4976-bda2-108b03ced7cd","Book 1","Asia","char-offset:2967","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"d9db1e5c-70ca-456a-9421-d744b8cad267","Book 1","Persians","char-offset:2983","PLACE","http://sws.geonames.org/130758","Iran","","32.56323656290414","54.30402578784763","","VERIFIED","ethnic",""
"8b193816-32b3-4511-8352-9fd80d4564e3","Book 1","Europe","char-offset:3001","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"60f56f43-f591-4368-b13a-ca1dab5a8ac0","Book 1","Asia","char-offset:3262","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"3daca49c-f7e6-4722-b78f-04c1b02bfea7","Book 1","Greeks","char-offset:3325","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","ethnic",""
"3fa5c9b4-e1a6-4412-8595-ff41e3b0fba0","Book 1","Lacedaemonian woman","char-offset:3351","PLACE","http://pleiades.stoa.org/places/570406","Lacedaemon/Laconia","-0750/0300","37.07624042080912","22.46082645177671","region","VERIFIED","ethnic",""
"540cf6b1-45fe-454a-b0de-4a4703bae76a","Book 1","Asia","char-offset:3406","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"f0e71169-2001-4eda-abab-13008caf9084","Book 1","Greeks","char-offset:3483","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","ethnic",""
"27a1bedc-750b-4938-b924-ae4e940e0d55","Book 1","Persians","char-offset:3515","PLACE","http://sws.geonames.org/130758","Iran","","32.56323656290414","54.30402578784763","","VERIFIED","ethnic",""
"e33a3628-63ee-4b1c-8990-18eb68a8bf58","Book 1","Asia","char-offset:3530","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"fea3c8c2-b56d-415c-9eee-3dd8bffa0401","Book 1","Europe","char-offset:3591","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
