"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"30f730a6-c436-47bd-a60d-4475fd5d99ca","Part 1","Greek mainland","char-offset:60","PLACE","","","","","","","NOT_IDENTIFIABLE","mainland|ἠπείρος|region",""
"e39f7d07-0ad1-4499-b083-cabab4065ac9","Part 1","Cyclades Islands","char-offset:86","PLACE","http://pleiades.stoa.org/places/560353","Cyclades Islands","-0030/0300","37.0415464153846","25.139512376923083","island,archipelago","VERIFIED","physical|island|toponym",""
"42786417-fa83-428d-bcba-dda4ef6e51d9","Part 1","Aegean Sea","char-offset:111","PLACE","http://pleiades.stoa.org/places/560221","Aegaeum Mare","-0550/2100","37.42245628773585","25.8829628235849","water-open","VERIFIED","physical|sea|pelagos|toponym",""
"b0da4d91-088f-402e-8f3b-f9617cbe1aa6","Part 1","Sunium promontory","char-offset:126","PLACE","http://pleiades.stoa.org/places/580108","Sounion Pr.","","37.625","24.125","cape","VERIFIED","physical|promontory|ἄκρα|toponym",""
"a2f89a9b-f375-4e26-8ccb-332c884ede73","Part 1","Attic land","char-offset:164","PLACE","http://pleiades.stoa.org/places/579888","Attica","-0750/0640","38.051998833333336","23.818991099999998","region","VERIFIED","land|γῆ|toponym|region",""
"aa8ca0d2-4fda-4907-ba01-c2fa2a303d03","Part 1","promontory","char-offset:202","PLACE","http://pleiades.stoa.org/places/580108","Sounion Pr.","","37.625","24.125","cape","VERIFIED","physical|promontory|ἄκρα|infrastructure",""
"48b118c8-b9c6-41b0-805e-ffd87e670bc3","Part 1","harbor","char-offset:223","PLACE","","","","","","","NOT_IDENTIFIABLE","human|harbour|limen|λιμήν|commerce","Sunium harbour pleiades:599943"
"eaffeae5-07c1-4809-9745-36ca5b0eaf0d","Part 1","temple to Athena of Sunium","char-offset:236","PLACE","http://dare.ht.lu.se/places/22759","Athena, T.|Sounion|Sounion, Sounion|Athena, Sounion, Athena|Temple of Poseidon at Sounion|Poseidon, Sounion, Poseidon","-0550/0300","37.683423","24.0359195","sanctuary,settlement,temple-2","VERIFIED","built|temple|naos",""
"6b0b176f-940b-4307-974f-ba5cf17eb700","Part 1","peak","char-offset:270","PLACE","","","","","","","NOT_IDENTIFIABLE","physical|head",""
"798a2fd0-bdc1-4992-b4a7-509f8c2530cd","Part 1","promontory","char-offset:282","PLACE","http://pleiades.stoa.org/places/580108","Sounion Pr.","","37.625","24.125","cape","VERIFIED","physical|promontory|ἄκρα",""
"932a6d8c-bf05-4ebf-8a74-e4b3d88f477a","Part 1","Laurium","char-offset:308","PLACE","http://pleiades.stoa.org/places/580010","Laureion","","37.712252","24.039891","region","VERIFIED","human|mine|μέταλλα|commerce|toponym",""
"54d65ef6-7e09-4870-b135-99ef458c0e07","Part 1","Athenians","char-offset:332","PLACE","http://pleiades.stoa.org/places/579885","Athenae|Athenae, Athína","-0750/2100","37.971687","23.726464","settlement","VERIFIED","human|people",""
"f0ada176-27b8-446a-9dba-460132382de1","Part 1","silver mines","char-offset:346","","","","","","","","","human|mine|μἐταλλα|commerce",""
"4da9f986-c6e0-4066-8bb6-801e904587aa","Part 1","small uninhabited island","char-offset:366","","","","","","","","","physical|island|νῆσος",""
"91c27cd8-def4-4174-9817-dc0fbb5c88ef","Part 1","Island of Patroclus","char-offset:402","PLACE","http://pleiades.stoa.org/places/580060","Patroklou Charax (island)","-0550/0300","37.625","23.875","island","VERIFIED","physical|island|νῆσος|toponym","it is the island Patroklos that lies below Lavrion- to the south- south west of Makronisos"
"9fbd9d36-db08-46cf-b490-e01760006a36","Part 1","fortification","char-offset:429","PLACE","http://pleiades.stoa.org/places/580060","Patroklou Charax (island)","-0550/0300","37.625","23.875","island","VERIFIED","human|wall|τεῖχος|military",""
"d8b876e6-57aa-4a8b-8d6d-88f0b173c1e8","Part 1","it","char-offset:456","PLACE","http://pleiades.stoa.org/places/580060","Patroklou Charax (island)","-0550/0300","37.625","23.875","island","VERIFIED","physical|island",""
"3bf2064e-e2e3-4ab2-96ba-9c851b92e1c7","Part 1","palisade","char-offset:465","PLACE","http://pleiades.stoa.org/places/580060","Patroklou Charax (island)","-0550/0300","37.625","23.875","island","VERIFIED","human|palisade|χάρακα|military",""
"8266272c-5b42-4584-84d5-413457aa663b","Part 1","Patroclus","char-offset:489","PLACE","http://pleiades.stoa.org/places/981503","Ancient Egypt (region)","-1000/0640","19.211408766666665","30.567329633333333","region","VERIFIED","human|people|military",""
"3efff856-3b73-4ac2-ad0b-ee4e82ae3679","Part 1","Egyptian men-of-war","char-offset:534","PLACE","http://pleiades.stoa.org/places/981503","Ancient Egypt (region)","-1000/0640","19.211408766666665","30.567329633333333","region","VERIFIED","human|people|trireme|military",""
"4f6cbb46-f121-4a47-aea1-bc2af391b02a","Part 1","Ptolemy,","char-offset:562","PLACE","http://pleiades.stoa.org/places/981503","Ancient Egypt (region)","-1000/0640","19.211408766666665","30.567329633333333","region","VERIFIED","human|people|military","Ptolemy"
"d4612ce0-2a33-4d61-9e01-563e00a500fa","Part 1","Athenians","char-offset:613","PLACE","http://pleiades.stoa.org/places/579885","Athenae|Athenae, Athína","-0750/2100","37.971687","23.726464","settlement","VERIFIED","human|people|military",""
"32a4df8b-15de-4bf3-a1d1-fb01c2e64cf9","Part 1","Antigonus","char-offset:629","PLACE","http://pleiades.stoa.org/places/491656","Macedonia","-0550/0640","41.25","21.75","unknown","VERIFIED","human|people|military",""
"c4dd740f-e012-4c15-b88b-72ce84f9810c","Part 1","country","char-offset:677","PLACE","http://pleiades.stoa.org/places/579888","Attica","-0750/0640","38.051998833333336","23.818991099999998","region","VERIFIED","region|land|chora|χώρα",""
"8d12d81c-151d-46f2-a302-5feffa055356","Part 1","sea","char-offset:765","PLACE","http://pleiades.stoa.org/places/560221","Aegaeum Mare","-0550/2100","37.42245628773585","25.8829628235849","water-open","VERIFIED","region|sea|thalassa|θάλασσα",""
"3ea0fc88-b9b3-400a-afc3-e1e90bcf58fb","Part 1","Peiraeus","char-offset:788","PLACE","http://pleiades.stoa.org/places/580062","Peiraieus/Piraeus|Peiraieus/Piraeus, Peiraieus/Piraeus","-0750/2100","37.937222","23.644609","theatre,region,settlement,fort","VERIFIED","human|demos|δῆμος|port|ἐπίνεον|toponym",""
"81469167-d22d-46dc-8b0e-b1803d64ecb2","Part 1","parish","char-offset:803","","","","","","","","","demos|δῆμος|region",""
"8c65b741-d013-4e75-8baa-6aed3de66798","Part 1","port","char-offset:848","","","","","","","","","port|ἐπίνεον",""
"68ad343a-4f91-4ceb-a44e-277a63883818","Part 1","Athenians","char-offset:897","PLACE","http://pleiades.stoa.org/places/579885","Athenae|Athenae, Athína","-0750/2100","37.971687","23.726464","settlement","VERIFIED","human|people",""
"5a67f0cc-e1f3-4fe8-9fe1-8a862bc89fbf","Part 1","port","char-offset:914","","","","","","","","","port|ἐπίνεον",""
"d850f61c-8b64-4069-b3aa-fd3de1e57148","Part 1","Phalerum","char-offset:923","PLACE","http://pleiades.stoa.org/places/580072","Phaleron|Phaleron, Palio Faliro","-0750/0640","37.9373","23.7062","settlement","VERIFIED","human|port|ἐπίνεον|toponym",""
"eab67758-9055-41aa-afb0-e4eef0e91f79","Part 1","this place","char-offset:940","PLACE","http://pleiades.stoa.org/places/580071","Phaleron Limen","-0550/0300","37.875","23.625","unknown","VERIFIED","physical|harbour|ταύτῃ",""
"3447ce60-bf80-4f60-8799-764be5c49193","Part 1","sea","char-offset:955","PLACE","http://pleiades.stoa.org/places/560221","Aegaeum Mare","-0550/2100","37.42245628773585","25.8829628235849","water-open","VERIFIED","physical|sea|θάλασσα",""
"b4866792-10a0-4c3f-91a6-57efb2cd3e28","Part 1","Athens","char-offset:976","PLACE","http://pleiades.stoa.org/places/579885","Athenae|Athenae, Athína","-0750/2100","37.971687","23.726464","settlement","VERIFIED","human|settlement|toponym",""
"8fd24221-169d-4c4f-b160-88d260d4e21b","Part 1","here","char-offset:993","PLACE","http://pleiades.stoa.org/places/580071","Phaleron Limen","-0550/0300","37.875","23.625","unknown","VERIFIED","human|settlement|here|ἀυτόθεν",""
"1afabbf5-ad5f-4e1d-accc-9963761497fa","Part 1","Menestheus","char-offset:1011","PLACE","http://pleiades.stoa.org/places/579885","Athenae|Athenae, Athína","-0750/2100","37.971687","23.726464","settlement","VERIFIED","human|people|military",""
"abefef13-6f5a-423f-ab6b-c7c3630eff24","Part 1","Troy","char-offset:1050","PLACE","http://pleiades.stoa.org/places/550595","Ilium/Troia|Ilium/Troia, Hisarlık","-0750/2100","39.9577","26.23873","settlement","VERIFIED","human|settlement|toponym",""
"fc691dfe-2025-4678-b046-b77c31f4a6b0","Part 1","Theseus","char-offset:1071","PLACE","http://pleiades.stoa.org/places/579885","Athenae|Athenae, Athína","-0750/2100","37.971687","23.726464","settlement","VERIFIED","human|people|military",""
"dde73d3e-6f25-451e-944e-48327c5b1915","Part 1","Minos","char-offset:1117","PLACE","http://pleiades.stoa.org/places/589748","Creta (island)","-0750/2100","35.21984439173344","24.995769971494504","island","VERIFIED","human|people|military",""
"190989a9-cdbf-4ae4-91f4-a42d606c39dd","Part 1","Themistocles","char-offset:1160","PLACE","http://pleiades.stoa.org/places/579885","Athenae|Athenae, Athína","-0750/2100","37.971687","23.726464","settlement","VERIFIED","human|people|archon",""
"cab754b2-4e91-4683-984f-49f85dca62ea","Part 1","Peiraeus","char-offset:1214","PLACE","http://pleiades.stoa.org/places/580062","Peiraieus/Piraeus|Peiraieus/Piraeus, Peiraieus/Piraeus","-0750/2100","37.937222","23.644609","theatre,region,settlement,fort","VERIFIED","human|port|toponym|region",""
"aef252c2-8a9d-4735-b5d9-7f66244b23f8","Part 1","three harbors","char-offset:1276","PLACE","","","","","","","NOT_IDENTIFIABLE","physical|harbour|λιμήν",""
"b7de7f01-994e-43af-90be-9bf41f1c86f7","Part 1","one","char-offset:1301","PLACE","","","","","","","NOT_IDENTIFIABLE","physical|harbour|λιμήν",""
"67f832b7-86fe-4986-89a7-b85ad204d2d4","Part 1","Phalerum","char-offset:1308","PLACE","http://pleiades.stoa.org/places/580072","Phaleron|Phaleron, Palio Faliro","-0750/0640","37.9373","23.7062","settlement","VERIFIED","human|port",""
"e338b10b-4b00-41a5-9a44-28a2ca019b10","Part 1","he","char-offset:1318","PLACE","http://pleiades.stoa.org/places/579885","Athenae|Athenae, Athína","-0750/2100","37.971687","23.726464","settlement","VERIFIED","",""
"a02a1398-6827-4a67-910d-7a7a6a826671","Part 1","it","char-offset:1326","PLACE","http://pleiades.stoa.org/places/580062","Peiraieus/Piraeus|Peiraieus/Piraeus, Peiraieus/Piraeus","-0750/2100","37.937222","23.644609","theatre,region,settlement,fort","VERIFIED","human|port|ἐπίνεον|τούτο",""
"90efe611-12f3-4025-b671-46c5db2f56f5","Part 1","Athenian port","char-offset:1333","PLACE","http://pleiades.stoa.org/places/579885","Athenae|Athenae, Athína","-0750/2100","37.971687","23.726464","settlement","VERIFIED","human|port|ἐπίνεον",""
"091ecb4e-0bf5-4932-a4e2-3a9a03202f75","Part 1","docks","char-offset:1378","","","","","","","","","human|docks|οἶκοι",""
"55b84591-fed3-44dd-aa1d-04d5dc272c13","Part 1","there","char-offset:1384","PLACE","http://pleiades.stoa.org/places/580062","Peiraieus/Piraeus|Peiraieus/Piraeus, Peiraieus/Piraeus","-0750/2100","37.937222","23.644609","theatre,region,settlement,fort","VERIFIED","human|port",""
"69805f8f-05ef-4364-a89b-579f246f7bce","Part 1","largest harbor","char-offset:1404","PLACE","","","","","","","NOT_IDENTIFIABLE","physical|harbour|λιμήν",""
"d393943d-a1bc-41b3-bdb0-fd4b09a02a62","Part 1","grave of Themistocles","char-offset:1426","PLACE","","","","","","","NOT_IDENTIFIABLE","human|grave|τάφος|religion",""
"f30f2eb2-333c-4c8a-9c3e-67769f48c43a","Part 1","his relations","char-offset:1537","PLACE","http://pleiades.stoa.org/places/579885","Athenae|Athenae, Athína","-0750/2100","37.971687","23.726464","settlement","VERIFIED","human|people",""
"ca712b79-f64f-410d-9363-cf875ff40241","Part 1","his bones","char-offset:1559","PLACE","http://pleiades.stoa.org/places/579885","Athenae|Athenae, Athína","-0750/2100","37.971687","23.726464","settlement","VERIFIED","human|people",""
"0d3f47c3-7f38-4ca7-b200-4c890ee80e09","Part 1","Magnesia","char-offset:1591","PLACE","http://pleiades.stoa.org/places/599778","Magnesia ad Sipylum|Magnesia ad Maeandrum/Leukophrys|Magnesia ad Maeandrum/Leukophrys, Tekin|Magnesia ad Sipylum, Manisa","-1750/2000","37.8507","27.52785","settlement","VERIFIED","region|toponym|conceptual",""
"2e750976-fe7a-4ffd-aff8-73058381cf81","Part 1","children of Themistocles","char-offset:1609","PLACE","http://pleiades.stoa.org/places/599778","Magnesia ad Sipylum|Magnesia ad Maeandrum/Leukophrys|Magnesia ad Maeandrum/Leukophrys, Tekin|Magnesia ad Sipylum, Manisa","-1750/2000","37.8507","27.52785","settlement","VERIFIED","human|people",""
"972bbcd3-eb5b-4eae-a4e5-c89b0cf1e82d","Part 1","Parthenon","char-offset:1671","PLACE","","","","","","","NOT_IDENTIFIABLE","human|building|temple|religion|toponym","Needs its own space|Located on the Acropolis, but needs its own space / URI"
