"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"fff96759-e7c4-487b-b8e1-c5c663c62f65","Nikolaos-Sophianos-HQ-copia.jpg","Eordaei","rect:x=5255,y=3679,w=301,h=333","PLACE","","","","","","","UNVERIFIED","",""
"5cae8baa-3871-4713-8841-83dc00560575","Nikolaos-Sophianos-HQ-copia.jpg","Gyrtone","rect:x=5913,y=4577,w=183,h=103","PLACE","http://pleiades.stoa.org/places/540798","Gyrton(e)|Gyrtone/Gyrton, Mourlari, Evangelismos","-0750/0640","39.798151","22.569853","settlement","VERIFIED","",""
"970bc504-180e-4c26-8bb8-43cda295e56b","Nikolaos-Sophianos-HQ-copia.jpg","Chabris Fl.","tbox:x=7649,y=3688,a=-0.9011821584526334,l=306,h=62","PLACE","","","","","","","UNVERIFIED","",""
"d6e79ef5-9b32-4e7b-88dd-3b2296afb6a3","Nikolaos-Sophianos-HQ-copia.jpg","Tricornesii","rect:x=5660,y=1414,w=357,h=95","PLACE","","","","","","","UNVERIFIED","",""
"d42d5f56-8fe6-48f6-8c9c-cab95c64e70e","Nikolaos-Sophianos-HQ-copia.jpg","Arrhibantium","rect:x=6180,y=2616,w=250,h=181","PLACE","","","","","","","UNVERIFIED","",""
"ce897c3b-fa45-4537-a4e6-7a644372b490","Nikolaos-Sophianos-HQ-copia.jpg","Orrea","rect:x=5754,y=1511,w=222,h=179","PLACE","","","","","","","UNVERIFIED","",""
"7948ded0-4ee2-4f4a-8afb-a24dfc6a1b97","Nikolaos-Sophianos-HQ-copia.jpg","Paroecopolis","rect:x=6876,y=2898,w=229,h=236","PLACE","","","","","","","UNVERIFIED","",""
"6ad0dd1c-407f-464b-b30a-a9112807847c","Nikolaos-Sophianos-HQ-copia.jpg","Panormus","rect:x=8338,y=3574,w=-251,h=-102","PLACE","http://pleiades.stoa.org/places/462410","Pan(h)ormus|Panhormus/Panormus, Palermo","-0750/2100","38.11564","13.3614059","settlement-modern,settlement","VERIFIED","",""
"351bf789-d446-43ed-ab87-975ead2c28b3","Nikolaos-Sophianos-HQ-copia.jpg","Singiticus Sinus","rect:x=8525,y=3869,w=-343,h=-236","PLACE","","","","","","","UNVERIFIED","",""
"6d58ac69-26a5-4587-86e1-9a472184f83d","Nikolaos-Sophianos-HQ-copia.jpg","Selybria","rect:x=10652,y=2113,w=292,h=234","PLACE","http://pleiades.stoa.org/places/511414","Sely(m)bria/Eudoxiopolis|Selymbria/Selybria/Eudoxiopolis, Silivri","-0550/0640","41.080158","28.26828999999998","settlement","VERIFIED","95",""
"88493120-3114-459d-b32b-a42a5f85dcef","Nikolaos-Sophianos-HQ-copia.jpg","Opisina","rect:x=9684,y=1270,w=265,h=-189","PLACE","","","","","","","UNVERIFIED","",""
"4745aea3-9f91-47a3-8a33-b57ed72306b9","Nikolaos-Sophianos-HQ-copia.jpg","Tonzus","rect:x=10393,y=1737,w=199,h=-193","PLACE","","","","","","","UNVERIFIED","",""
"867ae9bd-86b2-4bce-b0c5-0a8c50f452e0","Nikolaos-Sophianos-HQ-copia.jpg","Bizya","rect:x=10523,y=1470,w=197,h=-163","PLACE","","","","","","","UNVERIFIED","",""
"ba19fdd3-cafd-4088-bddb-5d9dd40bdd99","Nikolaos-Sophianos-HQ-copia.jpg","Alexandria","rect:x=11098,y=3813,w=255,h=-161","PLACE","http://pleiades.stoa.org/places/876562","Alexandria","-0030/0300","","","unlocated","UNVERIFIED","",""
"d0945c9f-9395-4271-8cb2-0387ab7a7e05","Nikolaos-Sophianos-HQ-copia.jpg","Arydus","rect:x=10855,y=3397,w=266,h=-134","PLACE","","","","","","","UNVERIFIED","",""
"852aa6a7-b29d-4141-8f29-f847e05104d7","Nikolaos-Sophianos-HQ-copia.jpg","Psillis Fl.","tbox:x=12000,y=1877,a=0.6551867204330519,l=233,h=69","PLACE","http://pleiades.stoa.org/places/511388","Psil(l)is (river)","-0330/0640","41.25","29.75","river","VERIFIED","",""
"4b0f1de4-2086-4cdc-bbc8-9e2c3a9d6848","Nikolaos-Sophianos-HQ-copia.jpg","Acritas Pr.","rect:x=11445,y=2060,w=288,h=100","PLACE","","","","","","","UNVERIFIED","",""
"5a3e3cd9-61e5-4fb2-89fc-8fa42eae328e","Nikolaos-Sophianos-HQ-copia.jpg","Astacus","rect:x=12142,y=1990,w=286,h=158","PLACE","http://sws.geonames.org/745028","İzmit","","40.76694","29.91694","","UNVERIFIED","",""
"0e2bb0d8-45ef-4561-b30b-3ada590f929c","Nikolaos-Sophianos-HQ-copia.jpg","Dioclia","rect:x=13706,y=3570,w=261,h=-156","PLACE","","","","","","","UNVERIFIED","",""
"cb163f15-a994-45ec-ab7d-cc5658abfe2b","Nikolaos-Sophianos-HQ-copia.jpg","Prymesia","rect:x=13914,y=3613,w=275,h=152","PLACE","","","","","","","UNVERIFIED","",""
"9047e972-b4f1-4161-a97a-70136420d59c","Nikolaos-Sophianos-HQ-copia.jpg","Parthenius Fl.","tbox:x=13894,y=1506,a=-1.0462368721430297,l=328,h=-98","PLACE","","","","","","","UNVERIFIED","",""
"4a67cf58-0c74-46d2-ab12-76090ecfc0af","Nikolaos-Sophianos-HQ-copia.jpg","Callistratia","rect:x=14631,y=974,w=245,h=-224","PLACE","","","","","","","UNVERIFIED","",""
"6d5ad3cd-78c6-44be-8f3b-49f3baaedb76","Nikolaos-Sophianos-HQ-copia.jpg","Psyllium","rect:x=13319,y=1530,w=246,h=-207","PLACE","","","","","","","UNVERIFIED","",""
"c074b392-b4a6-42d2-a2ec-dbca74f6b57f","Nikolaos-Sophianos-HQ-copia.jpg","Edonis","tbox:x=7249,y=2929,a=0.3870780240199938,l=660,h=134","PLACE","","","","","","","UNVERIFIED","",""
"85d72784-38e4-46a9-ac0f-c738435711c7","Nikolaos-Sophianos-HQ-copia.jpg","Burnu","rect:x=3711,y=1000,w=-304,h=-119","PLACE","http://dare.ht.lu.se/places/43261","Akıncı Burnu","0300/0640","36.32216","35.7819","","UNVERIFIED","",""
"bed0ad1a-9501-45d8-847c-b6b1b2da22c1","Nikolaos-Sophianos-HQ-copia.jpg","Andra","rect:x=3240,y=763,w=148,h=-122","PLACE","http://sws.geonames.org/1511646","Andra","","62.51472","65.88778","","UNVERIFIED","",""
"6201fa2a-7769-4c35-9987-0c96e350c287","Nikolaos-Sophianos-HQ-copia.jpg","Erona","rect:x=4328,y=1326,w=195,h=152","PLACE","","","","","","","UNVERIFIED","",""
"4b6bea11-8a06-4d84-a415-4d4104287365","Nikolaos-Sophianos-HQ-copia.jpg","Salone","rect:x=3792,y=1765,w=220,h=154","PLACE","http://pleiades.stoa.org/places/423032","Salone|Salone, Roma","-0330/0300","41.913806","12.635238","mine","VERIFIED","",""
"7a0cff69-c8cb-4809-97fd-53ae73995bca","Nikolaos-Sophianos-HQ-copia.jpg","Daursii","rect:x=4019,y=1671,w=253,h=74","PLACE","","","","","","","UNVERIFIED","",""
"cae9584c-82f6-4315-9c79-2c83f1818be2","Nikolaos-Sophianos-HQ-copia.jpg","Narensii","rect:x=4360,y=1918,w=294,h=82","PLACE","","","","","","","UNVERIFIED","",""
"244a3419-917f-44bf-a451-43f21875b8ae","Nikolaos-Sophianos-HQ-copia.jpg","Lupsiae","rect:x=3437,y=4951,w=224,h=-102","PLACE","","","","","","","UNVERIFIED","",""
