"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"552cc51a-0491-495e-a650-c5fdf4fe26dc","dillereng.txt","Anaximander","char-offset:5","PERSON","","","","","","","","",""
"f285caf4-f83c-4a10-b790-b59f33e94d72","dillereng.txt","Miletus","char-offset:20","PLACE","http://pleiades.stoa.org/places/599799","Miletus|Miletos/Miletus, Milet, Balat, Didim","-1750/2000","37.5292362","27.2774885","theatre,settlement,port","UNVERIFIED","",""
"1e84c256-474d-4737-a321-c0021b473fdf","dillereng.txt","Thales","char-offset:41","PERSON","","","","","","","","",""
"9affddcb-2198-49ca-b7ab-8a4aed260d4f","dillereng.txt","Hecataeus","char-offset:102","PERSON","","","","","","","","",""
"16d2a863-020c-4056-9f2d-3f976660b4e6","dillereng.txt","Miletus","char-offset:115","PLACE","http://pleiades.stoa.org/places/599799","Miletus|Miletos/Miletus, Milet, Balat, Didim","-1750/2000","37.5292362","27.2774885","theatre,settlement,port","UNVERIFIED","",""
"f8885b9b-3fa0-470d-8b19-d5b1b9a56840","dillereng.txt","Lesbos","char-offset:193","PLACE","http://pleiades.stoa.org/places/550696","Lesbos (island)|Lesbos Ins./Lesbus Ins., Lesbos","1700/2100","39.20874","26.10052","island","UNVERIFIED","",""
"a191ee77-2758-42b8-9bc9-9d2553fe7b26","dillereng.txt","Citium","char-offset:274","PLACE","http://pleiades.stoa.org/places/123082","Citium","-0030/0640","","","unlocated","UNVERIFIED","",""
"e84dba58-9a53-4957-8df5-746979fac4cc","dillereng.txt","Hecataeus","char-offset:325","PERSON","","","","","","","","",""
"ed7a7eb9-b1f7-4081-9a5e-3a1c19e09250","dillereng.txt","Hellas","char-offset:470","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","UNVERIFIED","",""
"62624850-9bf6-4525-aa72-44896e2d4249","dillereng.txt","Delphi","char-offset:495","PLACE","http://sws.geonames.org/263219","Delphi","","38.47942","22.49357","","UNVERIFIED","",""
"22674c83-f4b6-4faa-9737-0a587a563b9a","dillereng.txt","Hellas","char-offset:519","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","UNVERIFIED","",""
"4348c6e2-dca8-432c-a7cd-47adfd2634d8","dillereng.txt","India","char-offset:1011","PLACE","http://pleiades.stoa.org/places/50004","India","-0330/0300","22.5","77.5","region","UNVERIFIED","",""
"ac578ff0-1b53-41c8-a0fb-986292cf8b3b","dillereng.txt","of Europe and Libya the Pillars of Hercules","char-offset:1052","EVENT","","","","","","","","relation|conceptual",""
"1c796a22-45cc-411f-bdc8-ab5b5a236a91","dillereng.txt","Europe","char-offset:1055","PLACE","http://pleiades.stoa.org/places/1001887","Europe","","42.5","27.5","province","UNVERIFIED","",""
"e167dddf-fe0c-4c88-8213-54be8c49954b","dillereng.txt","Libya","char-offset:1066","PLACE","http://pleiades.stoa.org/places/716588","Libya","-0030/0640","31.5","26.5","region","UNVERIFIED","",""
