sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,306.4,14. Salaria.,Roma-Hadria-1,sum-route-start,Ab Vrbe Adriae usque m. p. CLVI sic:,,,Vrbe,Roma,Roma,,,,,,https://pleiades.stoa.org/places/423025,41.8916621952495,12.49234282802,,,
2,,306.4,14. Salaria.,Roma-Hadria-1,sum-route-end,Ab Vrbe Adriae usque m. p. CLVI sic:,,,Adriae,Hadria,Hatria (Picenum),m. p.,CLVI , m. p. CLVI ,,,https://pleiades.stoa.org/places/413163,42.5802,13.981081,,,
3,,,14. Salaria.,Roma-Hadria-1,,,,,,Roma,Roma,,,,0.0,,https://pleiades.stoa.org/places/423025,41.8916621952495,12.49234282802,,urban,
4,,,14. Salaria.,Roma-Hadria-1,,,,,Ereto,Eretum,Eretum,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/413121,42.101134,12.626047,,settlement,
5,,,14. Salaria.,Roma-Hadria-1,,,,,Vico Novo,Vicus Novus,Vicus Novus/Ad Novas,m. p.,XIIII,m. p. XIIII,14.0,,https://pleiades.stoa.org/places/413382,42.21133,12.81423,vicus,station,
6,,,14. Salaria.,Roma-Hadria-1,,,,,Reate,Reate,Reate,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/413283,42.403067,12.861183,,settlement,
7,,,14. Salaria.,Roma-Hadria-1,,,,,Cutilias,Aquae Cutiliae,Aquae Cutiliae,m. p.,VIII,m. p. VIII,8.0,,https://pleiades.stoa.org/places/413024,42.37894,13.011917,,settlement,
8,,,14. Salaria.,Roma-Hadria-1,,,,,Interocrio,Interocrium,Interocrium,m. p.,VI,m. p. VI,6.0,,https://pleiades.stoa.org/places/413181,42.41605,13.080933,,settlement,
9,,,14. Salaria.,Roma-Hadria-1,,,,,Falacrino,Falacrinae,Phalacrinae,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/413251,42.617277,13.158724,,settlement,
10,,,14. Salaria.,Roma-Hadria-1,,,,,Vico Badies,Badies Vicus,Badies,m. p.,VIIII,m. p. VIIII,9.0,,https://pleiades.stoa.org/places/413051,42.67347,13.272587,vicus,,
11,,,14. Salaria.,Roma-Hadria-1,,,ad,,Ad Centesimum,Ad Centesimum,Ad Centesimum,m. p.,X,m. p. X,10.0,,https://pleiades.stoa.org/places/412992,42.774676,13.311745,,station,
12,,,14. Salaria.,Roma-Hadria-1,,,,,Asclo,Asculum,Asculum,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/413036,42.855397,13.574951,,settlement,
13,,,14. Salaria.,Roma-Hadria-1,,,,,Castro Truentino,Castrum Truentinum,Castrum Truentinum,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/413074,42.913675,13.904352,castra,settlement,
14,,,14. Salaria.,Roma-Hadria-1,,,,,Castro Novo,Castrum Novum,Castrum Novum,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/413073,42.752395,13.962266,castra,settlement,
15,,,14. Salaria.,Roma-Hadria-1,,,,,Hadriae,Hadria,Hatria (Picenum),m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/413163,42.5802,13.981081,,settlement,
