sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,339.7-8,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,sum-route-start,A Mediolano Arelate per Alpes Gottias m. p. CCCCXI:,,,Mediolano,Mediolanum,Mediolan(i)um,,,,,,https://pleiades.stoa.org/places/383706,45.463746,9.18806,,,
2,,339.7-8,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,sum-route-end,A Mediolano Arelate per Alpes Gottias m. p. CCCCXI:,,,Arelate,Arelate,Theline/Col. Arelate/Constantina,m. p.,CCCCXI, m. p. CCCCXI,,,https://pleiades.stoa.org/places/148217,43.677616,4.630799,,,
3,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,,,,,,Mediolanum,Mediolan(i)um,,,,0.0,,https://pleiades.stoa.org/places/383706,45.463746,9.18806,,settlement,
4,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,,,,,Ticinum,Ticinum,Ticinum,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/383798,45.185899,9.156562,,settlement,
5,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,,,,,Laumellum,Laumellum,Laumellum,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/383690,45.122041,8.79735,,fort,
6,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,,,,,Cottiae,Cuttiae,Cuttiae,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/383630,45.193215,8.61234,,station,
7,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,,,,,Carbantia,Carbantia,Carbantia/Ad Medias,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/383610,45.18293,8.479819,,station,
8,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,,,,,Rigomago,Rigomagus,Rigomagus,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/383759,45.193171,8.297388,,station,
9,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,,,,,Quadratis,Quadrata,Quadrata,m. p.,XIII,m. p. XIII,13.0,,https://pleiades.stoa.org/places/383753,45.191112,7.969391,,station,
10,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,,,,,Taurinis,Augusta Taurinorum,Taurini,m. p.,XXIII,m. p. XXIII,23.0,,https://pleiades.stoa.org/places/383794,45.1443754163682,7.674749143380000,,label,See also Augusta Taurinorum
11,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,,,fines,,Fines,Fines,Ad Fines,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/383545,45.0957849,7.4208953,,station,
12,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,,,,,Segusione,Segusio,Segusio,m. p.,XXXIII,m. p. XXXIII,33.0,,https://pleiades.stoa.org/places/167919,45.138348,7.048364,,settlement,
13,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,,,ad,,Ad Martis,Ad Martis,Ad Martis,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/167617,45.03323,6.833543,,station,
14,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,,,,,Brigantione,Brigantio,Brigantio,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/167691,44.896886,6.633951,,settlement,
15,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,,,,,Rame,Rama,Rama,m. p.,XVIIII,m. p. XVIIII,19.0,,https://pleiades.stoa.org/places/678356,32.934001,35.366497,,settlement,
16,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,,,,,Eburoduno,Eburodunum,Eburodunum,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/177514,46.7828485,6.641452000000000,,settlement,
