sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,396.1,23. HISPANIA.,Arelate-Narbo,sum-route-start,Item ab Arelato Narbone m. p. CI,,,Arelato,Arelate,Theline/Col. Arelate/Constantina,,,,,,https://pleiades.stoa.org/places/148217,43.677616,4.630799,,,
2,,396.1,23. HISPANIA.,Arelate-Narbo,sum-route-end,Item ab Arelato Narbone m. p. CI,,,Narbone,Narbo,Col. Narbo Martius,m. p.,CI, m. p. CI,,,https://pleiades.stoa.org/places/246347,43.1836165,3.004203,,,
3,,396.2,23. HISPANIA.,Narbo-Tarraco,sum-route-start,,,,,Narbo,Col. Narbo Martius,,,,,,https://pleiades.stoa.org/places/246347,43.1836165,3.004203,,,
4,,396.2,23. HISPANIA.,Narbo-Tarraco,sum-route-end,inde Tarracone m. p. CCXXXIIII,,,Tarracone,Tarraco,Col. Tarraco,m. p.,CCXXXIIII, m. p. CCXXXIIII,,,https://pleiades.stoa.org/places/246349,41.116892,1.2583375,,,
5,,396.3,23. HISPANIA.,Tarraco-Carthago Novae,sum-route-start,,,,,Tarraco,Col. Tarraco,,,,,,https://pleiades.stoa.org/places/246349,41.116892,1.2583375,,,
6,,396.3,23. HISPANIA.,Tarraco-Carthago Novae,sum-route-end,Karthagine Spartaria m. p. CCCLX sic:,,,Karthagine Spartaria,Carthago Novae,Carthago Nova/Col. Urbs Iulia,m. p.,CCCLX , m. p. CCCLX ,,,https://pleiades.stoa.org/places/265849,37.602787,-0.9879535000000000,,,
7,,396.4,23. HISPANIA.,Carthago Novae-Castulo,sum-route-start,,,,,Carthago Novae,Carthago Nova/Col. Urbs Iulia,,,,,,https://pleiades.stoa.org/places/265849,37.602787,-0.9879535000000000,,,
8,,396.4,23. HISPANIA.,Carthago Novae-Castulo,sum-route-end,"Castulone m. p. CCCIII, sic:",,,Castulone,Castulo,Castulo,m. p.,CCCIII,m. p. CCCIII,,,https://pleiades.stoa.org/places/265855,38.036873,-3.6240175,,,
9,,,23. HISPANIA.,Arelate-Narbo,,,,,,Arelate,Theline/Col. Arelate/Constantina,,,,0.0,,https://pleiades.stoa.org/places/148217,43.677616,4.630799,,settlement,Supplied starting point
10,,,23. HISPANIA.,Arelate-Narbo,,,,,Nemausum,Nemausus,Nemausus,m. p.,XIIII,m. p. XIIII,14.0,,https://pleiades.stoa.org/places/148142,43.843149787416100,4.354175570799220,,urban,
11,,,23. HISPANIA.,Arelate-Narbo,,,,,Ambrussum,Ambrussum,Ambrussum,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/147990,43.715607,4.1496005,,settlement,
12,,,23. HISPANIA.,Arelate-Narbo,,,,,Sextantione,Sextantio,Sextantio,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/148202,43.64232,3.896373,,bridge,
13,,,23. HISPANIA.,Arelate-Narbo,,,,,Foro Domiti,Forum Domitii,Forum Domitii,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/148081,43.515715,3.692307,forum,station,
14,,,23. HISPANIA.,Arelate-Narbo,,,,,Cesserone,Cessero,Cessero,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/147997,43.3945615,3.4201810000000000,,settlement,
15,,,23. HISPANIA.,Arelate-Narbo,,,,,Beterris,Baeterrae,Col. Baeterrae,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/148056,43.3416765,3.2179410000000000,,settlement,
16,,,23. HISPANIA.,Arelate-Narbo,,,,,Narbone,Narbo,Col. Narbo Martius,m. p.,XII,m. p. XII,,,https://pleiades.stoa.org/places/246347,43.1836165,3.004203,,settlement,
17,,,23. HISPANIA.,Narbo-Tarraco,,,,,,Narbo,Col. Narbo Martius,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/246347,43.1836165,3.004203,,settlement,
18,,,23. HISPANIA.,Narbo-Tarraco,,,ad,,Ad Vicensimum,Ad Vicesimum,Ad Vicesimum,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/246144,42.5,2.5,,unknown,
19,,,23. HISPANIA.,Narbo-Tarraco,,,,,Combusta,Combusta,Combusta,m. p.,XIIII,m. p. XIIII,14.0,,https://pleiades.stoa.org/places/246351,42.766412,2.875397,,station,
20,,,23. HISPANIA.,Narbo-Tarraco,,,,,Ruscione,Ruscino,Col. Ruscino,m. p.,VI,m. p. VI,6.0,,https://pleiades.stoa.org/places/246348,42.7085809212755,2.94516013801998,,basilica,
21,,,23. HISPANIA.,Narbo-Tarraco,,,ad,,Ad Centuriones,Ad Centuriones/Centenarium,Ad Centenarium,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/246134,42.536669,2.839775,,station,
22,,,23. HISPANIA.,Narbo-Tarraco,,,,,Summo Pyreneo,Summum Pyreneum,Ad Pyrenaeum/Summus Pyrenaeus,m. p.,V,m. p. V,5.0,,https://pleiades.stoa.org/places/246139,42.4646429,2.8629997,,station,
23,,,23. HISPANIA.,Narbo-Tarraco,,,,,Iuncaria,Iuncaria,Iuncaria,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/246449,42.2748,2.96815,,station,
24,,,23. HISPANIA.,Narbo-Tarraco,,,,,Cinniana,Cinniana,Cinniana,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/246335,42.066067,2.910473,,station,
25,,,23. HISPANIA.,Narbo-Tarraco,,,,,Aquis Voconis,Aquae Voconiae,Aquae Voconiae,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/246174,41.846176,2.752102,,station,
26,,,23. HISPANIA.,Narbo-Tarraco,,,,,Seterras,Seterra,Seterrae,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/246652,41.746451,2.635453,,station,
27,,,23. HISPANIA.,Narbo-Tarraco,,,,,Praetorio,Praetorium,Praetorium?,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/246576,41.5873365,2.3260575,,settlement-modern,
28,,,23. HISPANIA.,Narbo-Tarraco,,,,,Barcenone,Barcino,Col. Barcino,m. p.,XVII,m. p. XVII,17.0,,https://pleiades.stoa.org/places/246343,41.387911,2.169911,,settlement,
29,,,23. HISPANIA.,Narbo-Tarraco,,,fines,,Fines,Fines,(Ad) Fines,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/246135,41.473589,1.9276554000000500,,station,
30,,,23. HISPANIA.,Narbo-Tarraco,,,,,Antistiana,Autistiana,Antistiana,m. p.,XVII,m. p. XVII,17.0,,https://pleiades.stoa.org/places/246166,41.310602,1.647899,,station,
31,,,23. HISPANIA.,Narbo-Tarraco,,,,,Palfuriana,Palfuriana,Palfuriana,m. p.,XIII,m. p. XIII,13.0,,https://pleiades.stoa.org/places/246551,41.203989,1.514919,,station,
32,,,23. HISPANIA.,Narbo-Tarraco,,,,,Terracone,Tarraco,Col. Tarraco,m. p.,XVII,m. p. XVII,17.0,,https://pleiades.stoa.org/places/246349,41.116892,1.2583375,,settlement,
33,,,23. HISPANIA.,Tarraco-Carthago Novae,,,,,,Tarraco,Col. Tarraco,,,,,,https://pleiades.stoa.org/places/246349,41.116892,1.2583375,,settlement,
34,,,23. HISPANIA.,Tarraco-Carthago Novae,,,,,Oleastrum,Oleastrum,Oleastrum,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/246529,41.006039,0.912577,,station,
35,,,23. HISPANIA.,Tarraco-Carthago Novae,,,,,Traia Capita,Traia Capita,Tria Capita,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/246705,40.804813,0.700237,,station,
36,,,23. HISPANIA.,Tarraco-Carthago Novae,,,,,Dertosa,Dertosa,Dertosa/Hibera Iulia Ilercavonia,m. p.,XVII,m. p. XVII,17.0,,https://pleiades.stoa.org/places/246369,40.811004,0.520955,,settlement,
37,,,23. HISPANIA.,Tarraco-Carthago Novae,,,,,Intibili,Intibilis,Indibilis,m. p.,XXVII,m. p. XXVII,27.0,,https://pleiades.stoa.org/places/246439,40.418701,0.423109,,settlement,
38,,,23. HISPANIA.,Tarraco-Carthago Novae,,,,,Ildum,Ildum,Ildum,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/265920,40.231686,0.073556,,settlement,
39,,,23. HISPANIA.,Tarraco-Carthago Novae,,,,,Sebelaci,Sebelaci,Sebelaci,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/266034,39.959582,-0.138097,,settlement,
40,,,23. HISPANIA.,Tarraco-Carthago Novae,,,,,Saguntum,Saguntum,Saguntum/Arse,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/266021,39.678125,-0.2772475,,settlement,
41,,,23. HISPANIA.,Tarraco-Carthago Novae,,,,,Valentia,Valentia,Valentia,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/266090,39.470371,-0.376813,,settlement,
42,,,23. HISPANIA.,Tarraco-Carthago Novae,,,,,Sucronem,Sucro,Sucro,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/266052,39.150204,-0.43809,,settlement,
43,,,23. HISPANIA.,Tarraco-Carthago Novae,,,ad,,Ad Statuas,Ad Statuas,Ad Statuas,m. p.,XXXII,m. p. XXXII,32.0,,https://pleiades.stoa.org/places/265781,38.5,-0.5,statuas,unknown,
44,,,23. HISPANIA.,Tarraco-Carthago Novae,,,ad,,Ad Turres,Ad Turres,Ad Turres?/Turres Saetab(...)?,m. p.,VIIII,m. p. VIIII,9.0,,https://pleiades.stoa.org/places/265783,38.781093,-0.92493,turris,station,
45,,,23. HISPANIA.,Tarraco-Carthago Novae,,,,,Adello,Adellum,Ad Ello?,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/265770,38.478014,-0.790495,,station,
46,,,23. HISPANIA.,Tarraco-Carthago Novae,,,,,Aspis,Iaspis,(I)Aspis,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/265917,38.3459902,-0.7692125,,settlement-modern,
47,,,23. HISPANIA.,Tarraco-Carthago Novae,,,,,Ilici,Ilici,Ilici/Helike,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/265922,38.2396,-0.6953,,settlement,
48,,,23. HISPANIA.,Tarraco-Carthago Novae,,,,,Thiar,Thiar,Thiar,m. p.,XXVII,m. p. XXVII,27.0,,https://pleiades.stoa.org/places/266063,37.878103,-0.765831,,settlement,
49,,,23. HISPANIA.,Tarraco-Carthago Novae,,,,,Karthagine Spartaria,Carthago Novae,Carthago Nova/Col. Urbs Iulia,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/265849,37.602787,-0.9879535000000000,,settlement,
