sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,175.2-3,6. ITER TRACIAE.,Kabyle-Hadrianopolis,sum-route-start,A Cabile per conpendium Adrianopoli usque m. p. LXXVIIII:,,,Cabile,Kabyle/Diospolis,Kabyle/Diospolis,,,,,,https://pleiades.stoa.org/places/216859,42.5501536600523,26.4833349450105,,,
2,,175.2-3,6. ITER TRACIAE.,Kabyle-Hadrianopolis,sum-route-end,A Cabile per conpendium Adrianopoli usque m. p. LXXVIIII:,,,Adrianopoli,Hadrianopolis,Hadrianoupolis,m. p.,LXXVIIII, m. p. LXXVIIII,,,https://pleiades.stoa.org/places/501428,41.676459,26.562891,,,
3,,,6. ITER TRACIAE.,Kabyle-Hadrianopolis,,,per compendium,,,Kabyle/Diospolis,Kabyle/Diospolis,,,,0.0,,https://pleiades.stoa.org/places/216859,42.5501536600523,26.4833349450105,,settlement,
4,,,6. ITER TRACIAE.,Kabyle-Hadrianopolis,,,,,Orudisza ad Burgum,Orudissa,Odrysae (region),m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/216906,42.4048025058946,26.82807280151700,,region,Uncertain identification
5,,,6. ITER TRACIAE.,Kabyle-Hadrianopolis,,,,,In Medio,In Medio,In Medio,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/222069,,,,unlocated,
6,,,6. ITER TRACIAE.,Kabyle-Hadrianopolis,,,,,Adrianopoli,Hadrianopolis,Hadrianoupolis,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/501428,41.676459,26.562891,,settlement,
7,,175.7,6. ITER TRACIAE.,Plotinopolis-Heraclea/Perinthus,sum-route-start,A Plotinopolim Heraclea m. p. XXV,,,Plotinopolim,Plotinopolis,Plotino(u)polis,,,,,,https://pleiades.stoa.org/places/501572,41.358625,26.499702,,,
8,,175.7,6. ITER TRACIAE.,Plotinopolis-Heraclea/Perinthus,sum-route-end,A Plotinopolim Heraclea m. p. XXV,,,Heraclea,Perinthus/Heraclea,Perinthus/Heraclea,m. p.,XXV, m. p. XXV,,,https://pleiades.stoa.org/places/511357,40.971013,27.952973,,,
9,,,6. ITER TRACIAE.,Plotinopolis-Heraclea/Perinthus,,,,,,Plotinopolis,Plotino(u)polis,,,,0.0,,https://pleiades.stoa.org/places/501572,41.358625,26.499702,,settlement,
10,,,6. ITER TRACIAE.,Plotinopolis-Heraclea/Perinthus,,,,,Traianopolim,Traianopolis,Traianopolis,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/648772,36.258509,32.282734,,settlement,
