sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,231.8-10,7. ITEM DE PANNONIIS IN GALLIAS,Sirmium-Treveri,main-route,per mediterranea loca id est a Sirmi per Sopianas Treveros usque:,,,Sirmi,Sirmium,Sirmium,,,,,,https://pleiades.stoa.org/places/207447,44.966447,19.610106,,,
2,,231.8-10,7. ITEM DE PANNONIIS IN GALLIAS,Sirmium-Treveri,main-route,per mediterranea loca id est a Sirmi per Sopianas Treveros usque:,,,Treveros,Treveri,Treveri,,,,,,https://pleiades.stoa.org/places/109390,49.7535677891071,6.379439164203930,,,
3,,231.11,7. ITEM DE PANNONIIS IN GALLIAS,Sirmium-Lauriacum,sum-route-start,A Sirmi Lauriaco m. p. CCCCXXXVII,,,Sirmi,Sirmium,Sirmium,,,,,,https://pleiades.stoa.org/places/207447,44.966447,19.610106,,,
4,,231.11,7. ITEM DE PANNONIIS IN GALLIAS,Sirmium-Lauriacum,sum-route-end,A Sirmi Lauriaco m. p. CCCCXXXVII,,,Lauriaco,Lauriacum,Lauriacum,m. p.,CCCCXXXVII, m. p. CCCCXXXVII,,,https://pleiades.stoa.org/places/118802,48.2186795,14.470479000000000,,,
5,,232.1,7. ITEM DE PANNONIIS IN GALLIAS,Lauriacum-Augusta Vindelicorum,sum-route-start,,,,,Lauriacum,Lauriacum,,,,,,https://pleiades.stoa.org/places/118802,48.2186795,14.470479000000000,,,
6,,232.1,7. ITEM DE PANNONIIS IN GALLIAS,Lauriacum-Augusta Vindelicorum,sum-route-end,"Augusta Vindelicum m. p. CCXVI,",,,Augusta Vindelicum,Augusta Vindelicum/Aelia Augusta,Augusta Vindelicum/Aelia Augusta,m. p.,CCXVI,m. p. CCXVI,,,https://pleiades.stoa.org/places/118580,48.365463,10.894765,,,
7,,232.2,7. ITEM DE PANNONIIS IN GALLIAS,Augusta Vindelicorum-Ad Fines,sum-route-start,,,,, Augusta Vindelicum/Aelia Augusta,,,,,,,https://pleiades.stoa.org/places/118580,48.365463,10.894765,,,
8,,232.2,7. ITEM DE PANNONIIS IN GALLIAS,Augusta Vindelicorum-Ad Fines,sum-route-end,"Ad Fines m. p. CXXXVI,",,,Ad Fines,Fines,Ad Fines,m. p.,CXXXVI,m. p. CXXXVI,,,https://pleiades.stoa.org/places/187249,47.5950575,8.9574465,,,
9,,232.3,7. ITEM DE PANNONIIS IN GALLIAS,Ad Fines-Treveri,sum-route-start,,,,,Fines,Ad Fines,,,,,,https://pleiades.stoa.org/places/187249,47.5950575,8.9574465,,,
10,,232.3,7. ITEM DE PANNONIIS IN GALLIAS,Ad Fines-Treveri,sum-route-end,"Treveros leugas, non m. p., CCXXI:",,,Treveros,Treveri,Treveri,leugas,CCXXI, leugas non m. p. CCXXI,,,https://pleiades.stoa.org/places/109390,49.7535677891071,6.379439164203930,,,
