sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,265.5,8. De Italia per Histriam in Dalmatia.,Siscia-Mursa,sum-route-start,Item a Siscia Mursam m. p. CXXXIIII sic:,,,Siscia,Siscia,Siscia,,,,,,https://pleiades.stoa.org/places/197504,45.483168,16.371388,,,
2,,265.5,8. De Italia per Histriam in Dalmatia.,Siscia-Mursa,sum-route-end,Item a Siscia Mursam m. p. CXXXIIII sic:,,,Mursam,Mursa,Mursa,m. p.,CXXXIIII , m. p. CXXXIIII ,,,https://pleiades.stoa.org/places/197389,45.560018,18.675749,,,
3,,,8. De Italia per Histriam in Dalmatia.,Siscia-Mursa,,,,,,Siscia,Siscia,,,,0.0,,https://pleiades.stoa.org/places/197504,45.483168,16.371388,,settlement,
4,,,8. De Italia per Histriam in Dalmatia.,Siscia-Mursa,,,,,Varianis,Varianae,‘Varianis’,m. p.,XXIII,m. p. XXIII,23.0,,https://pleiades.stoa.org/places/197573,45.479229,16.776469,,station,
5,,,8. De Italia per Histriam in Dalmatia.,Siscia-Mursa,,,,,Aquis Balissis,Aquae Balissae Menneianae,Aquae Balissae/Municipium Iasorum,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/197126,45.593653,17.224015,,settlement,
6,,,8. De Italia per Histriam in Dalmatia.,Siscia-Mursa,,,,,Incero,Incero,‘Incero’,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/197319,45.377474,17.735551,,station,
7,,,8. De Italia per Histriam in Dalmatia.,Siscia-Mursa,,,,,Stravianis,Stravianis,‘Stravianis’,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/197532,45.437653,18.035862,,station (road or coastal),
8,,,8. De Italia per Histriam in Dalmatia.,Siscia-Mursa,,,,,Mursa,Mursa,Mursa,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/197389,45.560018,18.675749,,settlement,
9,,265.11,8. De Italia per Histriam in Dalmatia.,Poetovio-Siscia,sum-route-start,A Poetavione Siscia m. p. C:,,,Poetavione,Poetovio,Poetovio,,,,,,https://pleiades.stoa.org/places/197446,46.419985,15.86998,,,
10,,265.11,8. De Italia per Histriam in Dalmatia.,Poetovio-Siscia,sum-route-end,A Poetavione Siscia m. p. C:,,,Siscia,Siscia,Siscia,m. p.,C, m. p. C,,,https://pleiades.stoa.org/places/197504,45.483168,16.371388,,,
11,,,8. De Italia per Histriam in Dalmatia.,Poetovio-Siscia,,,,,,Poetovio,Poetovio,,,,0.0,,https://pleiades.stoa.org/places/197446,46.419985,15.86998,,settlement,
12,,,8. De Italia per Histriam in Dalmatia.,Poetovio-Siscia,,,,,Aqua Viva,Aqua Viva,Aqua Viva,m. p.,XVIIII,m. p. XVIIII,19.0,,https://pleiades.stoa.org/places/197129,46.343945,16.233016,,station,
13,,,8. De Italia per Histriam in Dalmatia.,Poetovio-Siscia,,,,,Pyrri,Pyrri,Pyrri,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/197461,46.002444,16.2846,,station,
14,,,8. De Italia per Histriam in Dalmatia.,Poetovio-Siscia,,,,,Dautonia,Andautonia,Andautonia,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/197113,45.773624,16.11724,,settlement,
15,,,8. De Italia per Histriam in Dalmatia.,Poetovio-Siscia,,,,,Siscia,Siscia,Siscia,m. p.,XXVII,m. p. XXVII,27.0,,https://pleiades.stoa.org/places/197504,45.483168,16.371388,,settlement,
16,,266.4,8. De Italia per Histriam in Dalmatia.,Savaria-Vindobona,sum-route-start,A Sabaria Vindobona m. p. LXXXVIII sic:,,,Sabaria,Savaria,Savaria,,,,,,https://pleiades.stoa.org/places/197498,47.235142,16.62192,,,
17,,266.4,8. De Italia per Histriam in Dalmatia.,Savaria-Vindobona,sum-route-end,A Sabaria Vindobona m. p. LXXXVIII sic:,,,Vindobona,Vindobona,Vindobona,m. p.,LXXXVIII , m. p. LXXXVIII ,,,https://pleiades.stoa.org/places/128537,48.211345,16.373946,,,
18,,,8. De Italia per Histriam in Dalmatia.,Savaria-Vindobona,,,,,,Savaria,Savaria,,,,0.0,,https://pleiades.stoa.org/places/197498,47.235142,16.62192,,settlement,
19,,,8. De Italia per Histriam in Dalmatia.,Savaria-Vindobona,,,,,Scarabantia,Scarbantia,Scarbantia,m. p.,XXXIIII,m. p. XXXIIII,34.0,,https://pleiades.stoa.org/places/197501,47.684893,16.583036,,settlement,
20,,,8. De Italia per Histriam in Dalmatia.,Savaria-Vindobona,,,,,Muteno,Mutenum,‘Muteno’,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/197393,47.936365,16.481762,,station,
21,,,8. De Italia per Histriam in Dalmatia.,Savaria-Vindobona,,,,,Vindobona,Vindobona,Vindobona,m. p.,XXXVI,m. p. XXXVI,36.0,,https://pleiades.stoa.org/places/128537,48.211345,16.373946,,fort,
22,,266.8-9,8. De Italia per Histriam in Dalmatia.,Aquincum-Crumerum,sum-route-start,Item ab Acinquo Crumero que castra constituta sint m. p. XLII:,,,Acinquo,Aquincum,Aquincum,,,,,,https://pleiades.stoa.org/places/197130,47.564075,19.049522,,,
23,,266.8-9,8. De Italia per Histriam in Dalmatia.,Aquincum-Crumerum,sum-route-end,Item ab Acinquo Crumero que castra constituta sint m. p. XLII:,,,Crumero,Crumerum,Crumerum,m. p.,XLII, m. p. XLII,,,https://pleiades.stoa.org/places/197232,47.7583058,18.5374485,,,
24,,,8. De Italia per Histriam in Dalmatia.,Aquincum-Crumerum,,,,,,Aquincum,Aquincum,,,,0.0,,https://pleiades.stoa.org/places/197130,47.564075,19.049522,,settlement,
25,,,8. De Italia per Histriam in Dalmatia.,Aquincum-Crumerum,,,,,Vlcisia castra,Ulcisia Castra,Ulcisia Castra/Castra Constantia,m. p.,VIIII,m. p. VIIII,9.0,,https://pleiades.stoa.org/places/197564,47.6649996699761,19.07291485407490,castra,fort,
26,,,8. De Italia per Histriam in Dalmatia.,Aquincum-Crumerum,,,,,Cirpi mansio,Cirpi,Cirpi,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/197208,47.7826585,19.054964500000000,mansio,fort,
27,,,8. De Italia per Histriam in Dalmatia.,Aquincum-Crumerum,,,ad,,Ad Herculem castra,Castra ad Herculem,Castra ad Herculem,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/197199,47.787477,18.888633500000000,castra,fort,
