sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-full,distance_modern,revised_distance,comment,place_uri,latitude,longitude,placetype,placetype_pleiades
1,,2.1-3.1,1. PROVINCIAE AFRICAE,Tingis-Carthago,main-route,A TINGI MAVRETANIA id est ubi Bacuates et Macenites barbari morantur per maritima loca Cartaginem usque,per maritima loca,,Tingi,Tingis,Tingi,,,,0.0,0.0,"This is the largest sub-itinerary declared above, without a distance",https://pleiades.stoa.org/places/275736,35.787546,-5.8102335,,"settlement, port"
2,,2.1-3.1,1. PROVINCIAE AFRICAE,Tingis-Carthago,main-route,A TINGI MAVRETANIA id est ubi Bacuates et Macenites barbari morantur per maritima loca Cartaginem usque,,,Cartaginem,Carthago,Carthago,,,,,,,https://pleiades.stoa.org/places/314921,36.853056,10.323056,,
3,,3.2-4.1,1. PROVINCIAE AFRICAE,Mercurii-Tingis,sum-route,Ab exploratione quod Mercurios dicitur Tingi usque m. p. CLXXIIII,"a, ab",,Exploratione/Mercurios,Mercurii,Ad Mercuri?,,,,,,,https://pleiades.stoa.org/places/275579,35.508424,-5.839493,,
4,,3.2-4.1,1. PROVINCIAE AFRICAE,Mercurii-Tingis,sum-route,Ab exploratione quod Mercurios dicitur Tingi usque m. p. CLXXIIII,usque,,Tingi,Tingis,Tingi,m. p.,CLXXIIII, m. p. CLXXIIII,,,,https://pleiades.stoa.org/places/275736,35.787546,-5.8102335,,
5,,3.2-4.1,1. PROVINCIAE AFRICAE,Mercurii-Tingis,sum-route,A Mercurios m. p. CLXXIIII,"a, ab",preposition,A Mercurios,Mercurii,Ad Mercuri?,,,,,,The distance is the same given in the header of the route.,https://pleiades.stoa.org/places/275579,35.508424,-5.839493,,station (road or coastal)
6,,3.2-4.1,1. PROVINCIAE AFRICAE,Mercurii-Tingis,sum-route,A Mercurios m. p. CLXXIIII,,,,Tingis,Tingi,m. p.,CLXXIIII, m. p. CLXXIIII,,,,https://pleiades.stoa.org/places/275736,35.787546,-5.8102335,,
7,,4.2,1. PROVINCIAE AFRICAE,Tingis-Rusadder,sum-route,,,,,Tingis,Tingi,,,,,,,https://pleiades.stoa.org/places/275736,35.787546,-5.8102335,,
8,,4.2,1. PROVINCIAE AFRICAE,Tingis-Rusadder,sum-route,Rusadder m. p. CCCXVIII,,,Rusadder,Rusaddir,Rusaddir,m. p.,CCCXVIII, m. p. CCCXVIII,,,,https://pleiades.stoa.org/places/285512,35.2922015,-2.938778,,
9,,5.1,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,sum-route,,,,,Rusaddir,Rusaddir,,,,,,,https://pleiades.stoa.org/places/285512,35.2922015,-2.938778,,
10,,5.1,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,sum-route,Cesarea Mauretanie m. p. CCCCXXIII,,,Caesarea Mauretanie,Iol Caesarea,Iol Caesarea,m. p.,CCCCXXIII, m. p. CCCCXXIII,,,,https://pleiades.stoa.org/places/295279,36.607058,2.1918495,,
