sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,302.2,11. Praenestina.,Roma-Beneventum-1,sum-route,Ab Vrbe Benevento usque m. p. CLXXXVIII:,,,Vrbe,Roma,Roma,,,,,,https://pleiades.stoa.org/places/423025,41.8916621952495,12.49234282802,,,
2,,302.2,11. Praenestina.,Roma-Beneventum-1,sum-route,Ab Vrbe Benevento usque m. p. CLXXXVIII:,,,Benevento,Beneventum,Beneventum/Maleventum,m. p.,CLXXXVIII, m. p. CLXXXVIII,,,https://pleiades.stoa.org/places/432721,41.130437,14.781161,,,
3,,,11. Praenestina.,Roma-Beneventum-1,route,,,,,Roma,Roma,,,,0.0,,https://pleiades.stoa.org/places/423025,41.8916621952495,12.49234282802,,urban,
4,,,11. Praenestina.,Roma-Beneventum-1,route,,,,Gabios,Gabii,Gabii,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/422932,41.887373,12.719727,,settlement,
5,,,11. Praenestina.,Roma-Beneventum-1,route,,,,Praeneste,Praeneste,Praeneste,m. p.,XI,m. p. XI,11.0,,https://pleiades.stoa.org/places/423013,41.8394835,12.8923075,,sanctuary,
6,,,11. Praenestina.,Roma-Beneventum-1,route,Sub Anagniae,sub,,Anagniae,Anagnia,Anagnia,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/422833,41.742213,13.158962,,settlement,
7,,,11. Praenestina.,Roma-Beneventum-1,route,,,,Ferentino,Ferentium,Ferentinum,m. p.,VIII,m. p. VIII,8.0,,https://pleiades.stoa.org/places/432830,41.692693,13.253364,,settlement,
8,,,11. Praenestina.,Roma-Beneventum-1,route,,,,Frusinone,Frusino,Frusino,m. p.,VII,m. p. VII,7.0,,https://pleiades.stoa.org/places/432852,41.64016,13.351922,,settlement,
9,,,11. Praenestina.,Roma-Beneventum-1,route,,,,Fregellano,Fregellae,Fregellanum,m. p.,XIIII,m. p. XIIII,14.0,,https://pleiades.stoa.org/places/432847,41.5461,13.513236,,settlement,
10,,,11. Praenestina.,Roma-Beneventum-1,route,,,,Fabrateria,Fabrateria,Fabrateria Nova,m. p.,III,m. p. III,3.0,,https://pleiades.stoa.org/places/432825,41.51929,13.558107,,settlement,
11,,,11. Praenestina.,Roma-Beneventum-1,route,,,,Aquino,Aquinum,Aquinum,m. p.,VIII,m. p. VIII,8.0,,https://pleiades.stoa.org/places/432695,41.492208,13.705626,,settlement,
12,,,11. Praenestina.,Roma-Beneventum-1,route,,,,Casino,Casinum,Casinum,m. p.,VII,m. p. VII,7.0,,https://pleiades.stoa.org/places/432764,41.492907,13.830583,,settlement,
13,,,11. Praenestina.,Roma-Beneventum-1,route,,,,Venafro,Venafrum,Venafrum,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/433185,41.484488,14.046066,,settlement,
14,,,11. Praenestina.,Roma-Beneventum-1,route,,,,Theano,Teanum Sidicinum,Teanum Sidicinum,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/433146,41.2502785,14.0700745,,settlement,
15,,,11. Praenestina.,Roma-Beneventum-1,route,,,,Alifas,Allifae,Al(l)ifae,m. p.,XVII,m. p. XVII,17.0,,https://pleiades.stoa.org/places/432658,41.328486,14.330592,,settlement,
16,,,11. Praenestina.,Roma-Beneventum-1,route,,,,Telesia,Telesia,Telesia,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/433147,41.2234541312842,14.504175213455,,settlement,
17,,,11. Praenestina.,Roma-Beneventum-1,route,,,,Benevento,Beneventum,Beneventum/Maleventum,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/432721,41.130437,14.781161,,settlement,
