sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,317.5-6,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Brundisium-Dyrrhachium,route,A Brundisio traiectus Durachium usque stadia num. I () CCCC,,,Brundisio,Brundisium,Brundisium/Brentesion,,,,0.0,,https://pleiades.stoa.org/places/442509,40.641136,17.946867,,settlement,This is rather an intermediate passage to get to the starting point of the itinerary
2,,317.5-6,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Brundisium-Dyrrhachium,route,,,,Durachium,Dyrrhachium,Dyrr(h)achium/Epidamnos,stadia, I () CCCC,stadia num. I () CCCC,400.0,,https://pleiades.stoa.org/places/481818,41.3163425,19.447355,,settlement,
5,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,route,,,,,Dyrrhachium,Dyrr(h)achium/Epidamnos,,,,0.0,,https://pleiades.stoa.org/places/481818,41.3163425,19.447355,,settlement,
6,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,route,,,,Clodiana,Clodiana,Clodiana,m. p.,XXXIII,m. p. XXXIII,33.0,,https://pleiades.stoa.org/places/481793,41.041466,19.796367,,station,
7,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,route,,,,Scampis,Scampa,‘Scampis’,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/481982,41.116775,20.092646,,station,
8,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,route,,,,Tres Tabernas,Tres Tabernae,Tres Tabernae,m. p.,XXVIII,m. p. XXVIII,28.0,,https://pleiades.stoa.org/places/482022,41.5,20.5,,"people, tribe (historical cultural group)",Uncertain identification
9,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,route,,,,Licnido,Lichnidus,Lychnidos,m. p.,XXVII,m. p. XXVII,27.0,,https://pleiades.stoa.org/places/481900,41.114136,20.7964495,,settlement,
10,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,route,,,,Nicia,Nicia,Nicia,m. p.,XXXIIII,m. p. XXXIIII,34.0,,https://pleiades.stoa.org/places/481924,41.05699,21.177949,,station,
11,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,route,,,,Heraclea,Heraclea,Herakleia,m. p.,XI,m. p. XI,11.0,,https://pleiades.stoa.org/places/481861,41.011,21.342,,settlement,
12,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,route,,,,Cellis,Cellae/Kellae,Cellae,m. p.,XXXIIII,m. p. XXXIIII,34.0,,https://pleiades.stoa.org/places/481783,40.7564735,21.679636,,station,
13,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,route,,,,Edessa,Edessa,Edessa (Macedonia),m. p.,XXVIII,m. p. XXVIII,28.0,,https://pleiades.stoa.org/places/491585,40.799718,22.053972,,settlement,
