sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,323.9-10,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Brundisium-Aulona,route,[Item a Brundisio sive ab Hydrunto traiectus Aulonam stadia num. I () .],per maritima loca,,Brundisio,Brundisium,Brundisium/Brentesion,,,,0.0,,https://pleiades.stoa.org/places/442509,40.641136,17.946867,,settlement,"This is an intermediate stage from Brundisium or Hydruntum to Aulonam inside the larger itinerary, and it seems to be a maritime stage"
2,,323.9-10,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Brundisium-Aulona,route,,,,Aulonam,Aulona,Aulon,stadia, I () ,stadia num. I () ,1.0,,https://pleiades.stoa.org/places/481750,40.484898,19.473197,,settlement,
3,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Brundisium-Aulona,route,,,,Acroceraunia,Ocroceraunio,Ad Acroceraunia,m. p.,XXXIII,m. p. XXXIII,33.0,,https://pleiades.stoa.org/places/481694,40.280708,19.449999,,station,The header here is clearly incorrect
4,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Brundisium-Aulona,route,,,,Phoenice,Phoenike,Phoinike,m. p.,XLI,m. p. XLI,41.0,,https://pleiades.stoa.org/places/531061,39.913118,20.057154,,settlement,
5,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Brundisium-Aulona,route,,,,Butroto,Buthroton,Bouthroton,m. p.,LVI,m. p. LVI,56.0,,https://pleiades.stoa.org/places/530824,39.745527,20.020422,,"settlement, port, theatre, theater",
6,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Brundisium-Aulona,route,,,,Clycis Limen,Ciclis limen,Glykys/Elaias?/Cheimerion? Limen,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/530879,39.2185,20.485,limen,settlement,
7,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Brundisium-Aulona,route,,,,Actia Nicopoli,Actia Nicopolis,Nicopolis,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/531013,39.0157,20.7360035,,settlement,
8,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Brundisium-Aulona,route,,,,Acheloo,Acheloos,Acheloos (river),m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/540587,38.75,22.25,,"river, drainage",
9,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Brundisium-Aulona,route,,,,Euenno,Euenos,Euenos (river),m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/540780,38.3288971,21.5193991,,"river, drainage",
10,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Brundisium-Aulona,route,,,,Delphis,Delphi,Delphi,m. p.,XL,m. p. XL,40.0,,https://pleiades.stoa.org/places/540726,38.482289,22.501169,,"sanctuary (religious center), settlement",
11,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Brundisium-Aulona,route,,,,Phocide,Phokis,Phocis,m. p.,XL,m. p. XL,40.0,,https://pleiades.stoa.org/places/541048,38.5564874189,22.6855660902,,region,
12,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Brundisium-Aulona,route,,,,Thestias,Thespiae,Thespiai,m. p.,XL,m. p. XL,40.0,,https://pleiades.stoa.org/places/541141,38.294526148,23.1523631849,,"settlement, archaeological site",
13,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Brundisium-Aulona,route,,,,Megara,Megara,Megara,m. p.,XL,m. p. XL,40.0,,https://pleiades.stoa.org/places/570468,37.985078,23.340163,,settlement,
14,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Brundisium-Aulona,route,,,,Eleusina,Eleusis,Eleusis,m. p.,XIII,m. p. XIII,13.0,,https://pleiades.stoa.org/places/579920,38.041101,23.537401,,"settlement, deme (Athenian)",
15,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Brundisium-Aulona,route,,,,Athenis,Athenae,Athenae,m. p.,XIII,m. p. XIII,13.0,,https://pleiades.stoa.org/places/579885,37.971808605,23.72351227,,settlement,
