sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
3,,78,2. SARDINIA.,Portus Tibulae-Caralis,route,,a,,,Portus Tibulae,Tibula?,,,,0.0,,https://pleiades.stoa.org/places/472034,41.240022,9.184759,portus,settlement,
4,,,2. SARDINIA.,Portus Tibulae-Caralis,route,,,,Turublo Minore,Turublum Minus,Turublum Minus,m. p.,XIIII,m. p. XIIII,14.0,,https://pleiades.stoa.org/places/472036,41.169722,9.282353,,station,
5,,,2. SARDINIA.,Portus Tibulae-Caralis,route,,,,Elefantaria,Elefantaria,Elefantaria,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/471916,41.078941,9.388604,,station,
7,,,2. SARDINIA.,Portus Tibulae-Caralis,route,,,,Vlbia,Olbia,Olbia,m. p.,XXXVIII,m. p. XXXVIII,38.0,,https://pleiades.stoa.org/places/471987,40.923,9.500426,,settlement,
8,,,2. SARDINIA.,Portus Tibulae-Caralis,route,,,,Coclearia,Coclearia,Coclearia,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/471906,40.770672,9.673348,,settlement,
9,,,2. SARDINIA.,Portus Tibulae-Caralis,route,,,,Portu Liguidonis,Portus Liguidonis,Portus Luguidonis,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/471999,40.617944,9.747191,portus,settlement,
10,,,2. SARDINIA.,Portus Tibulae-Caralis,route,,,,Fano Carisi,Fanum Carisi,Fanum Carisi,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/471922,40.411572,9.631578,fanum,sanctuary,
11,,,2. SARDINIA.,Portus Tibulae-Caralis,route,,,,Viniolis,Viniolae,Viniolae,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/472045,40.5,9.5,,"people, tribe (historical cultural group)",
12,,,2. SARDINIA.,Portus Tibulae-Caralis,route,,,,Sulcis,Sulci(s),Sulci(s),m. p.,XXXV,m. p. XXXV,35.0,,https://pleiades.stoa.org/places/472025,39.926633,9.657846,,settlement,
13,,,2. SARDINIA.,Portus Tibulae-Caralis,route,,,,Porticenses,Porticenses,Porticenses,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/471998,39.697981,9.578276,,settlement,
