sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,339.7-8,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,sum-route,A Mediolano Arelate per Alpes Gottias m. p. CCCCXI:,,,Mediolano,Mediolanum,Mediolan(i)um,,,,,,https://pleiades.stoa.org/places/383706,45.463746,9.18806,,,
2,,339.7-8,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,sum-route,A Mediolano Arelate per Alpes Gottias m. p. CCCCXI:,,,Arelate,Arelate,Theline/Col. Arelate/Constantina,m. p.,CCCCXI, m. p. CCCCXI,,,https://pleiades.stoa.org/places/148217,43.677616,4.630799,,,
29,,344.3-4,21. DE ITALIA IN GALLIAS:,Mediolanum-Vienna-1,sum-route,Item a Mediolano per Alpes Graias Vienna m. p. CCCVIII sic:,,,Mediolano,Mediolanum,Mediolan(i)um,,,,,,https://pleiades.stoa.org/places/383706,45.463746,9.18806,,,
30,,344.3-4,21. DE ITALIA IN GALLIAS:,Mediolanum-Vienna-1,sum-route,Item a Mediolano per Alpes Graias Vienna m. p. CCCVIII sic:,,,Vienna,Vienna,Col. Vienna,m. p.,CCCVIII , m. p. CCCVIII ,,,https://pleiades.stoa.org/places/167719,45.5245105,4.875982,,,
48,,346.10-11,21. DE ITALIA IN GALLIAS:,Mediolanum-Argentorate,sum-route,Item a Mediolano per Alpes Graias Argentorato m. p. DLXXVII sic:,,,Mediolano,Mediolanum,Mediolan(i)um,,,,,,https://pleiades.stoa.org/places/383706,45.463746,9.18806,,,
49,,346.10-11,21. DE ITALIA IN GALLIAS:,Mediolanum-Argentorate,sum-route,Item a Mediolano per Alpes Graias Argentorato m. p. DLXXVII sic:,,,Argentorato,Argentorate,Argentorate,m. p.,DLXXVII , m. p. DLXXVII ,,,https://pleiades.stoa.org/places/108754,48.582416,7.747407,,,
76,,350.4-5,21. DE ITALIA IN GALLIAS:,Mediolanum-Mogontiacum,sum-route,Item a Mediolano per Alpes Penninas Mogontiacum m. p. CCCCXVIIII sic:,,,Mediolano,Mediolanum,Mediolan(i)um,,,,,,https://pleiades.stoa.org/places/383706,45.463746,9.18806,,,
77,,350.4-5,21. DE ITALIA IN GALLIAS:,Mediolanum-Mogontiacum,sum-route,Item a Mediolano per Alpes Penninas Mogontiacum m. p. CCCCXVIIII sic:,,,Mogontiacum,Mogontiacum,Mogontiacum,m. p.,CCCCXVIIII , m. p. CCCCXVIIII ,,,https://pleiades.stoa.org/places/109169,49.998912,8.273869,,,
106,,356.1-2,21. DE ITALIA IN GALLIAS:,Mediolanum-Vienna-2,sum-route,A Mediolano per Alpes Cottias Vienna m. p. CCCCVIIII,,,Mediolano,Mediolanum,Mediolan(i)um,,,,,,https://pleiades.stoa.org/places/383706,45.463746,9.18806,,,
107,,356.1-2,21. DE ITALIA IN GALLIAS:,Mediolanum-Vienna-2,sum-route,A Mediolano per Alpes Cottias Vienna m. p. CCCCVIIII,,,Vienna,Vienna,Col. Vienna,m. p.,CCCCVIIII, m. p. CCCCVIIII,,,https://pleiades.stoa.org/places/167719,45.5245105,4.875982,,,
108,,356.3-4,21. DE ITALIA IN GALLIAS:,Vienna-Durocortorum,sum-route,"inde Durocortoro m. p. CCCXXXII quae fiunt leug. CCXXI,",,,,Vienna,Col. Vienna,,,,,,https://pleiades.stoa.org/places/167719,45.5245105,4.875982,,,
109,,356.3-4,21. DE ITALIA IN GALLIAS:,Vienna-Durocortorum,sum-route,"inde Durocortoro m. p. CCCXXXII quae fiunt leug. CCXXI,",,,Durocortoro,Durocortorum,Durocortorum,m. p.|leug.,CCCXXXII|CCXXI,m. p. CCCXXXII == leug. CCXXI,,,https://pleiades.stoa.org/places/108945,49.2539525,4.0332025,,,
110,,356.5-6.7,21. DE ITALIA IN GALLIAS:,Durocortorum-Gesoriacum,sum-route,Gesoriaco m. p. CLXXIIII quae fiunt leug. CXVI:,,,,Durocortorum,Durocortorum,,,,,,https://pleiades.stoa.org/places/108945,49.2539525,4.0332025,,,
111,,356.5-6.7,21. DE ITALIA IN GALLIAS:,Durocortorum-Gesoriacum,sum-route,Gesoriaco m. p. CLXXIIII quae fiunt leug. CXVI:,,,Gesoriaco,Gesoriacum,Gesoriacum/Bononia,m. p.|leug.,CLXXIIII|CXVI, m. p. CLXXIIII == leug. CXVI,,,https://pleiades.stoa.org/places/109008,50.7256746666667,1.61483166666667,,,
158,,363.4-5,21. DE ITALIA IN GALLIAS:,Durocortorum-Divodurum-1,sum-route,Item a Durocortoro Divodorum usque m. p. LXXIIII:,,,Durocortoro,Durocortorum,Durocortorum,,,,,,https://pleiades.stoa.org/places/108945,49.2539525,4.0332025,,,
159,,363.4-5,21. DE ITALIA IN GALLIAS:,Durocortorum-Divodurum-1,sum-route,Item a Durocortoro Divodorum usque m. p. LXXIIII:,,,Divodurum,Divodurum Mediomatricorum,Divodurum/Mettis,m. p.,LXXIIII, m. p. LXXIIII,,,https://pleiades.stoa.org/places/108927,49.1181355,6.1741555,,,
167,,364.7-8,21. DE ITALIA IN GALLIAS:,Durocortorum-Divodurum-2,sum-route,Alio itinere a Durocortoro Divodorum usque m. p. LXXXVII sic:,,,Durocortoro,Durocortorum,Durocortorum,,,,,,https://pleiades.stoa.org/places/108945,49.2539525,4.0332025,,,
168,,364.7-8,21. DE ITALIA IN GALLIAS:,Durocortorum-Divodurum-2,sum-route,Alio itinere a Durocortoro Divodorum usque m. p. LXXXVII sic:,,,Divodurum,Divodurum Mediomatricorum,Divodurum/Mettis,m. p.,LXXXVII , m. p. LXXXVII ,,,https://pleiades.stoa.org/places/108927,49.1181355,6.1741555,,,
177,,365.7-8,21. DE ITALIA IN GALLIAS:,Durocortorum-Treveri,sum-route,Item a Durocortoro Treveros usque,,,Durocortoro,Durocortorum,Durocortorum,,,,,,https://pleiades.stoa.org/places/108945,49.2539525,4.0332025,,,
178,,365.7-8,21. DE ITALIA IN GALLIAS:,Durocortorum-Treveri,sum-route,Item a Durocortoro Treveros usque,,,Treveros,Treveri,Treveri,,?,?,,,https://pleiades.stoa.org/places/109390,49.7535677891071,6.37943916420393,,,
185,,366.5-6,21. DE ITALIA IN GALLIAS:,Augustodunum-Lutetia Parisiorum,sum-route,Ab Augustoduno Luticia Parisiorum m. p. CLXXXVII:,,,Augustoduno,Augustodunum,Augustodunum,,,,,,https://pleiades.stoa.org/places/177460,46.94724,4.2991775,,,
186,,366.5-6,21. DE ITALIA IN GALLIAS:,Augustodunum-Lutetia Parisiorum,sum-route,Ab Augustoduno Luticia Parisiorum m. p. CLXXXVII:,,,Luticia Parisiorum,Lutetia Parisiorum,Lutetia,m. p.,CLXXXVII, m. p. CLXXXVII,,,https://pleiades.stoa.org/places/109126,48.8544055,2.346168,,,
197,,368.3.4,21. DE ITALIA IN GALLIAS:,Lugdunum-Argentorate,sum-route,A Lugduno caput Germaniarum Argentorato:,,,Lugduno,Lugdunum,Lugdunum,,,,,,https://pleiades.stoa.org/places/99003,52.2048978,4.3965975,,,
198,,368.3.4,21. DE ITALIA IN GALLIAS:,Lugdunum-Argentorate,sum-route,A Lugduno caput Germaniarum Argentorato:,,,Argentorato,Argentorate,Argentorate,,?,?,,,https://pleiades.stoa.org/places/108754,48.582416,7.747407,,,
220,,372.3,21. DE ITALIA IN GALLIAS:,Treveri-Colonia Agrippina,sum-route,A Treveros Agrippinam leug. LXVII sic:,,,Treveros,Treveri,Treveri,,,,,,https://pleiades.stoa.org/places/109390,49.7535677891071,6.37943916420393,,,
221,,372.3,21. DE ITALIA IN GALLIAS:,Treveri-Colonia Agrippina,sum-route,A Treveros Agrippinam leug. LXVII sic:,,,Agrippinam,Colonia Agrippina,Ara Ubiorum/Col. Claudia Ara Agrippinensium,leug.,leug LXVII,leug. LXVII,,,https://pleiades.stoa.org/places/108751,50.940662,6.9599065,,,
230,,374.1,21. DE ITALIA IN GALLIAS:,Treveri-Argentorate,sum-route,Item a Treveris Argentorato m. p. CXXVIII:,,,Treveris,Treveri,Treveri,,,,,,https://pleiades.stoa.org/places/109390,49.7535677891071,6.37943916420393,,,
231,,374.1,21. DE ITALIA IN GALLIAS:,Treveri-Argentorate,sum-route,Item a Treveris Argentorato m. p. CXXVIII:,,,Argentorato,Argentorate,Argentorate,m. p.,CXXVIII, m. p. CXXVIII,,,https://pleiades.stoa.org/places/108754,48.582416,7.747407,,,
