sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
3,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,route,,,,,Mediolanum,Mediolan(i)um,,,,0.0,,https://pleiades.stoa.org/places/383706,45.463746,9.18806,,settlement,
4,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,route,,,,Ticinum,Ticinum,Ticinum,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/383798,45.185899,9.156562,,settlement,
5,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,route,,,,Laumellum,Laumellum,Laumellum,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/383690,45.122041,8.79735,,fort,
6,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,route,,,,Cottiae,Cuttiae,Cuttiae,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/383630,45.193215,8.61234,,station,
7,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,route,,,,Carbantia,Carbantia,Carbantia/Ad Medias,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/383610,45.18293,8.479819,,station,
8,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,route,,,,Rigomago,Rigomagus,Rigomagus,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/383759,45.193171,8.297388,,station,
9,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,route,,,,Quadratis,Quadrata,Quadrata,m. p.,XIII,m. p. XIII,13.0,,https://pleiades.stoa.org/places/383753,45.191112,7.969391,,station,
10,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,route,,,,Taurinis,Augusta Taurinorum,Taurini,m. p.,XXIII,m. p. XXIII,23.0,,https://pleiades.stoa.org/places/383794,45.1443754163682,7.67474914338,,label,See also Augusta Taurinorum
11,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,route,,fines,,Fines,Fines,Ad Fines,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/383545,45.0957849,7.4208953,,station,
12,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,route,,,,Segusione,Segusio,Segusio,m. p.,XXXIII,m. p. XXXIII,33.0,,https://pleiades.stoa.org/places/167919,45.138348,7.048364,,settlement,
13,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,route,,ad,,Ad Martis,Ad Martis,Ad Martis,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/167617,45.03323,6.833543,,station,
14,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,route,,,,Brigantione,Brigantio,Brigantio,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/167691,44.896886,6.633951,,settlement,
15,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,route,,,,Rame,Rama,Rama,m. p.,XVIIII,m. p. XVIIII,19.0,,https://pleiades.stoa.org/places/678356,32.934001,35.366497,,settlement,
16,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,route,,,,Eburoduno,Eburodunum,Eburodunum,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/177514,46.7828485,6.641452,,settlement,
17,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,route,,,,Caturrigas,Caturigomagus,Caturigomagus,m. p.,XVII,m. p. XVII,17.0,,https://pleiades.stoa.org/places/167701,44.545037,6.278222,,station,
18,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,route,,,,Vapincum,Vapincum,Vappincum,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/167954,44.559876,6.075897,,settlement,
19,,,21. DE ITALIA IN GALLIAS:,Mediolanum-Arelate,route,,,,Alabonte,Alabons,Alabonte,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/167628,44.385921,5.943974,,station,
