sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,387.5-6,22. DE ITALIA IN HISPANIAS.,Mediolanum-Vapincum,sum-route,A Mediolano Vapinco trans Alpes Cottias  mansionibus supra scriptis m. p. CCLV,,,Mediolano,Mediolanum,Mediolan(i)um,,,,0.0,,https://pleiades.stoa.org/places/383706,45.463746,9.18806,,,
2,,387.5-6,22. DE ITALIA IN HISPANIAS.,Mediolanum-Vapincum,sum-route,A Mediolano Vapinco trans Alpes Cottias  mansionibus supra scriptis m. p. CCLV,,,Vapinco,Vapincum,Vappincum,m. p.,CCLV, m. p. CCLV,,,https://pleiades.stoa.org/places/167954,44.559876,6.075897,,,
3,,387.7-8,22. DE ITALIA IN HISPANIAS.,Vapincum-Legio VII Gemina,sum-route,,,,,Vapincum,Vappincum,,,,,,https://pleiades.stoa.org/places/167954,44.559876,6.075897,,,
4,,387.7-8,22. DE ITALIA IN HISPANIAS.,Vapincum-Legio VII Gemina,sum-route,inde in Galleciam ad Leug. VII Geminam m. p. DCCCCLXXV:,,,ad Leug. VII Geminam,Ad Leg. VII Geminam,Legio VII Gemina,m. p.,DCCCCLXXV, m. p. DCCCCLXXV,,,https://pleiades.stoa.org/places/236512,42.5996765,-5.569203,,,
5,,,22. DE ITALIA IN HISPANIAS.,Vapincum-Legio VII Gemina,route,,,,,Vapincum,Vappincum,,,,0.0,,https://pleiades.stoa.org/places/167954,44.559876,6.075897,,settlement,Supplied starting point
6,,,22. DE ITALIA IN HISPANIAS.,Vapincum-Legio VII Gemina,route,,,,Alamonte,Alabons,Alabonte,m. p.,XVII,m. p. XVII,17.0,,https://pleiades.stoa.org/places/167628,44.385921,5.943974,,station,
7,,,22. DE ITALIA IN HISPANIAS.,Vapincum-Legio VII Gemina,route,,,,Segustorone,Segustero,Segustero,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/157925,44.197042,5.94352,,settlement,
8,,,22. DE ITALIA IN HISPANIAS.,Vapincum-Legio VII Gemina,route,,,,Alaunio,Alaunium,Alaunium,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/157800,43.946069,5.870795,,station,
9,,,22. DE ITALIA IN HISPANIAS.,Vapincum-Legio VII Gemina,route,,,,Apte Iulia,Apta Iulia,Apta Iulia,m. p.,XXVIII,m. p. XXVIII,28.0,,https://pleiades.stoa.org/places/147993,43.876571,5.393684,,settlement,
10,,,22. DE ITALIA IN HISPANIAS.,Vapincum-Legio VII Gemina,route,,,,Cavellione,Cabellio,Cabellio,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/148027,43.829885,5.034166,,settlement,
