sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,396.1,23. HISPANIA.,Arelate-Narbo,sum-route,Item ab Arelato Narbone m. p. CI,,,Arelato,Arelate,Theline/Col. Arelate/Constantina,,,,,,https://pleiades.stoa.org/places/148217,43.677616,4.630799,,,
2,,396.1,23. HISPANIA.,Arelate-Narbo,sum-route,Item ab Arelato Narbone m. p. CI,,,Narbone,Narbo,Col. Narbo Martius,m. p.,CI, m. p. CI,,,https://pleiades.stoa.org/places/246347,43.1836165,3.004203,,,
3,,396.2,23. HISPANIA.,Narbo-Tarraco,sum-route,,,,,Narbo,Col. Narbo Martius,,,,,,https://pleiades.stoa.org/places/246347,43.1836165,3.004203,,,
4,,396.2,23. HISPANIA.,Narbo-Tarraco,sum-route,inde Tarracone m. p. CCXXXIIII,,,Tarracone,Tarraco,Col. Tarraco,m. p.,CCXXXIIII, m. p. CCXXXIIII,,,https://pleiades.stoa.org/places/246349,41.116892,1.2583375,,,
5,,396.3,23. HISPANIA.,Tarraco-Carthago Novae,sum-route,,,,,Tarraco,Col. Tarraco,,,,,,https://pleiades.stoa.org/places/246349,41.116892,1.2583375,,,
6,,396.3,23. HISPANIA.,Tarraco-Carthago Novae,sum-route,Karthagine Spartaria m. p. CCCLX sic:,,,Karthagine Spartaria,Carthago Novae,Carthago Nova/Col. Urbs Iulia,m. p.,CCCLX , m. p. CCCLX ,,,https://pleiades.stoa.org/places/265849,37.602787,-0.9879535,,,
7,,396.4,23. HISPANIA.,Carthago Novae-Castulo,sum-route,,,,,Carthago Novae,Carthago Nova/Col. Urbs Iulia,,,,,,https://pleiades.stoa.org/places/265849,37.602787,-0.9879535,,,
8,,396.4,23. HISPANIA.,Carthago Novae-Castulo,sum-route,"Castulone m. p. CCCIII, sic:",,,Castulone,Castulo,Castulo,m. p.,CCCIII,m. p. CCCIII,,,https://pleiades.stoa.org/places/265855,38.036873,-3.6240175,,,
59,,402.6,23. HISPANIA.,Corduba-Castulo-1,sum-route,Item a Corduba Castulone m. p. XCVIIII:,,,Corduba,Corduba,Corduba/Col. Patricia,,,,,,https://pleiades.stoa.org/places/256128,37.884683,-4.779171,,,
60,,402.6,23. HISPANIA.,Corduba-Castulo-1,sum-route,Item a Corduba Castulone m. p. XCVIIII:,,,Castulone,Castulo,Castulo,m. p.,XCVIIII, m. p. XCVIIII,,,https://pleiades.stoa.org/places/265855,38.036873,-3.6240175,,,
66,,403.4-5,23. HISPANIA.,Corduba-Castulo-2,sum-route,Alio itinere a Corduba Castulone m. p. LXXVIII:,,,Corduba,Corduba,Corduba/Col. Patricia,,,,,,https://pleiades.stoa.org/places/256128,37.884683,-4.779171,,,
67,,403.4-5,23. HISPANIA.,Corduba-Castulo-2,sum-route,Alio itinere a Corduba Castulone m. p. LXXVIII:,,,Castulone,Castulo,Castulo,m. p.,LXXVIII, m. p. LXXVIII,,,https://pleiades.stoa.org/places/265855,38.036873,-3.6240175,,,
72,,404.2,23. HISPANIA.,Castulo-Malaca,sum-route,Item a Castulone Malacam m. p. CCLXXVI sic:,,,Castulone,Castulo,Castulo,,,,,,https://pleiades.stoa.org/places/265855,38.036873,-3.6240175,,,
73,,404.2,23. HISPANIA.,Castulo-Malaca,sum-route,Item a Castulone Malacam m. p. CCLXXVI sic:,,,Malacam,Malaca,Malaca,m. p.,CCLXXVI , m. p. CCLXXVI ,,,https://pleiades.stoa.org/places/265963,36.719658,-4.420163,,,
87,,405.7,23. HISPANIA.,Malaca-Gades,sum-route,Item a Malaca Gadis m. p. CLV sic:,,,Malaca,Malaca,Malaca,,,,,,https://pleiades.stoa.org/places/265963,36.719658,-4.420163,,,
88,,405.7,23. HISPANIA.,Malaca-Gades,sum-route,Item a Malaca Gadis m. p. CLV sic:,,,Gadis,Gades,Gadeira/Gades/Col. Augusta Gaditana,m. p.,CLV , m. p. CLV ,,,https://pleiades.stoa.org/places/256177,36.5292776667,-6.29312066667,,,
101,,409.1,23. HISPANIA.,Gades-Corduba,sum-route,Item a Gadis Corduba m. p. CCXCV sic:,,,Gadis,Gades,Gadeira/Gades/Col. Augusta Gaditana,,,,,,https://pleiades.stoa.org/places/256177,36.5292776667,-6.29312066667,,,
102,,409.1,23. HISPANIA.,Gades-Corduba,sum-route,Item a Gadis Corduba m. p. CCXCV sic:,,,Corduba,Corduba,Corduba/Col. Patricia,m. p.,CCXCV , m. p. CCXCV ,,,https://pleiades.stoa.org/places/256128,37.884683,-4.779171,,,
120,,413.1,23. HISPANIA.,Hispalis-Corduba,sum-route,Item ab Hispali Corduba m. p. XCIII sic:,,,Hispali,Hispalis,Hispalis/Col. Romula,,,,,,https://pleiades.stoa.org/places/256210,37.382668,-5.996293,,,
121,,413.1,23. HISPANIA.,Hispalis-Corduba,sum-route,Item ab Hispali Corduba m. p. XCIII sic:,,,Corduba,Corduba,Corduba/Col. Patricia,m. p.,XCIII , m. p. XCIII ,,,https://pleiades.stoa.org/places/256128,37.884683,-4.779171,,,
129,,414.1,23. HISPANIA.,Hispalis-Emerita Augusta,sum-route,Item ab Hispali Emeritam m. p. CLXII sic:,,,Hispali,Hispalis,Hispalis/Col. Romula,,,,,,https://pleiades.stoa.org/places/256210,37.382668,-5.996293,,,
130,,414.1,23. HISPANIA.,Hispalis-Emerita Augusta,sum-route,Item ab Hispali Emeritam m. p. CLXII sic:,,,Emeritam,Emerita Augusta,Emerita Augusta,m. p.,CLXII , m. p. CLXII ,,,https://pleiades.stoa.org/places/256155,38.9178151543,-6.33901360476,,,
138,,415.3,23. HISPANIA.,Corduba-Emerita Augusta,sum-route,Item a Corduba Emeritam m. p. CXLIIII sic:,,,Corduba,Corduba,Corduba/Col. Patricia,,,,,,https://pleiades.stoa.org/places/256128,37.884683,-4.779171,,,
139,,415.3,23. HISPANIA.,Corduba-Emerita Augusta,sum-route,Item a Corduba Emeritam m. p. CXLIIII sic:,,,Emeritam,Emerita Augusta,Emerita Augusta,m. p.,CXLIIII , m. p. CXLIIII ,,,https://pleiades.stoa.org/places/256155,38.9178151543,-6.33901360476,,,
145,,416.4,23. HISPANIA.,Olisippo-Emerita Augusta-1,sum-route,Item ab Olisippone Emeritam m. p. CLXI sic:,,,Olisippone,Olisippo,Olisipo,,,,,,https://pleiades.stoa.org/places/256338,38.707166,-9.135507,,,
146,,416.4,23. HISPANIA.,Olisippo-Emerita Augusta-1,sum-route,Item ab Olisippone Emeritam m. p. CLXI sic:,,,Emeritam,Emerita Augusta,Emerita Augusta,m. p.,CLXI , m. p. CLXI ,,,https://pleiades.stoa.org/places/256155,38.9178151543,-6.33901360476,,,
160,,418.7,23. HISPANIA.,Olisippo-Emerita Augusta-2,sum-route,Alio itinere ab Olisippone Emeritam m. p. CLIIII sic:,,,Olisippone,Olisippo,Olisipo,,,,,,https://pleiades.stoa.org/places/256338,38.707166,-9.135507,,,
161,,418.7,23. HISPANIA.,Olisippo-Emerita Augusta-2,sum-route,Alio itinere ab Olisippone Emeritam m. p. CLIIII sic:,,,Emeritam,Emerita Augusta,Emerita Augusta,m. p.,CLIIII , m. p. CLIIII ,,,https://pleiades.stoa.org/places/256155,38.9178151543,-6.33901360476,,,
170,,419.7-8,23. HISPANIA.,Olisippo-Emerita Augusta-3,sum-route,Item alio Itinere ab Olisippone Emeritam m. p. CCXX sic:,,,Olisippone,Olisippo,Olisipo,,,,,,https://pleiades.stoa.org/places/256338,38.707166,-9.135507,,,
171,,419.7-8,23. HISPANIA.,Olisippo-Emerita Augusta-3,sum-route,Item alio Itinere ab Olisippone Emeritam m. p. CCXX sic:,,,Emeritam,Emerita Augusta,Emerita Augusta,m. p.,CCXX , m. p. CCXX ,,,https://pleiades.stoa.org/places/256155,38.9178151543,-6.33901360476,,,
181,,420.8-9,23. HISPANIA.,Olisippo-Bracara Augusta,sum-route,Item ab Olisippone Bracaram Augustam m. p. CCXLIIII sic:,,,Olisippone,Olisippo,Olisipo,,,,,,https://pleiades.stoa.org/places/256338,38.707166,-9.135507,,,
182,,420.8-9,23. HISPANIA.,Olisippo-Bracara Augusta,sum-route,Item ab Olisippone Bracaram Augustam m. p. CCXLIIII sic:,,,Bracaram Augustam,Bracara Augusta,Bracara Augusta,m. p.,CCXLIIII , m. p. CCXLIIII ,,,https://pleiades.stoa.org/places/236377,41.550875,-8.424973,,,
193,,422.3,23. HISPANIA.,Bracara Augusta-Asturica-1,sum-route,Item a Bracara Asturicam m. p. CCXLVII:,,,Bracara,Bracara Augusta,Bracara Augusta,,,,,,https://pleiades.stoa.org/places/236377,41.550875,-8.424973,,,
194,,422.3,23. HISPANIA.,Bracara Augusta-Asturica-1,sum-route,Item a Bracara Asturicam m. p. CCXLVII:,,,Asturicam,Asturica,Asturica (Augusta),m. p.,CCXLVII, m. p. CCXLVII,,,https://pleiades.stoa.org/places/236352,42.458776,-6.063532,,,
207,,427.4-5,23. HISPANIA.,Bracara Augusta-Asturica-2,sum-route,Item alio itinere a Bracara Asturica m. p. CCXV sic:,,,Bracara,Bracara Augusta,Bracara Augusta,,,,,,https://pleiades.stoa.org/places/236377,41.550875,-8.424973,,,
208,,427.4-5,23. HISPANIA.,Bracara Augusta-Asturica-2,sum-route,Item alio itinere a Bracara Asturica m. p. CCXV sic:,,,Asturica,Asturica,Asturica (Augusta),m. p.,CCXV , m. p. CCXV ,,,https://pleiades.stoa.org/places/236352,42.458776,-6.063532,,,
222,,429.5,23. HISPANIA.,Bracara Augusta-Asturica-3,sum-route,Item a Bracara Asturicam m. p. CCXCVIIII sic:,,,Bracara,Bracara Augusta,Bracara Augusta,,,,,,https://pleiades.stoa.org/places/236377,41.550875,-8.424973,,,
223,,429.5,23. HISPANIA.,Bracara Augusta-Asturica-3,sum-route,Item a Bracara Asturicam m. p. CCXCVIIII sic:,,,Asturicam,Asturica,Asturica (Augusta),m. p.,CCXCVIIII , m. p. CCXCVIIII ,,,https://pleiades.stoa.org/places/236352,42.458776,-6.063532,,,
241,,423.6-7,23. HISPANIA.,Bracara Augusta-Asturica-4,sum-route,Item per loca maritima a Bracara Asturicam usque:,,,Bracara,Bracara Augusta,Bracara Augusta,,,,,,https://pleiades.stoa.org/places/236377,41.550875,-8.424973,,,
242,,423.6-7,23. HISPANIA.,Bracara Augusta-Asturica-4,sum-route,Item per loca maritima a Bracara Asturicam usque:,,,Asturicam,Asturica,Asturica (Augusta),,?,?,,,https://pleiades.stoa.org/places/236352,42.458776,-6.063532,,,
257,,425.6,23. HISPANIA.,Esuri-Pax Iulia-1,sum-route,Item de Esuri Pace Iulia m. p. CCLXVII sic:,,,Esuri,Ostium Anae Aesuris,(B)Aesuris/Esuris,,,,,,https://pleiades.stoa.org/places/256008,37.21845,-7.441717,,,
258,,425.6,23. HISPANIA.,Esuri-Pax Iulia-1,sum-route,Item de Esuri Pace Iulia m. p. CCLXVII sic:,,,Pace Iulia,Pax Iulia,Pax Iulia/Pax Augusta/Col. Pacensis,m. p.,CCLXVII , m. p. CCLXVII ,,,https://pleiades.stoa.org/places/256358,38.015604,-7.865225,,,
269,,431.4-5,23. HISPANIA.,Esuri-Pax Iulia-2,sum-route,Item ab Esuri per conpendium Pace Iulia m. p. LXXVI:,,,Esuri,Ostium Anae Aesuris,(B)Aesuris/Esuris,,,,,,https://pleiades.stoa.org/places/256008,37.21845,-7.441717,,,
270,,431.4-5,23. HISPANIA.,Esuri-Pax Iulia-2,sum-route,Item ab Esuri per conpendium Pace Iulia m. p. LXXVI:,,,Pace Iulia,Pax Iulia,Pax Iulia/Pax Augusta/Col. Pacensis,m. p.,LXXVI, m. p. LXXVI,,,https://pleiades.stoa.org/places/256358,38.015604,-7.865225,,,
274,,431.8-9,23. HISPANIA.,Ostio Fluminis Anae-Emerita Augusta,sum-route,Item ab ostio fluminis Anae Emeritam usque m. p. CCCXIII:,,,ostio Fluminis Anae,Ostium Anae Aesuris,(B)Aesuris/Esuris,,,,,,https://pleiades.stoa.org/places/256008,37.21845,-7.441717,,,
275,,431.8-9,23. HISPANIA.,Ostio Fluminis Anae-Emerita Augusta,sum-route,Item ab ostio fluminis Anae Emeritam usque m. p. CCCXIII:,,,Emeritam,Emerita Augusta,Emerita Augusta,m. p.,CCCXIII, m. p. CCCXIII,,,https://pleiades.stoa.org/places/256155,38.9178151543,-6.33901360476,,,
288,,433.1-2,23. HISPANIA.,Emerita Augusta-Caesaraugusta-1,sum-route,Item ab Emerita Caesaraugusta m. p. DCXXXII:,,,Emerita,Emerita Augusta,Emerita Augusta,,,,,,https://pleiades.stoa.org/places/256155,38.9178151543,-6.33901360476,,,
289,,433.1-2,23. HISPANIA.,Emerita Augusta-Caesaraugusta-1,sum-route,Item ab Emerita Caesaraugusta m. p. DCXXXII:,,,Caesaraugusta,Caesaraugusta,Col. Caesaraugusta,m. p.,DCXXXII, m. p. DCXXXII,,,https://pleiades.stoa.org/places/246344,41.6541855,-0.8772685,,,
320,,438.2-3,23. HISPANIA.,Emerita Augusta-Caesaraugusta-2,sum-route,Alio itinere ab Emerita Caesarea Augusta m. p. CCCXLVIII sic:,,,Emerita,Emerita Augusta,Emerita Augusta,,,,,,https://pleiades.stoa.org/places/256155,38.9178151543,-6.33901360476,,,
321,,438.2-3,23. HISPANIA.,Emerita Augusta-Caesaraugusta-2,sum-route,Alio itinere ab Emerita Caesarea Augusta m. p. CCCXLVIII sic:,,,Caesarea Augusta,Caesaraugusta,Col. Caesaraugusta,m. p.,CCCXLVIII , m. p. CCCXLVIII ,,,https://pleiades.stoa.org/places/246344,41.6541855,-0.8772685,,,
