sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
3,,453,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,,Asturica,Asturica (Augusta),,,,0.0,,https://pleiades.stoa.org/places/236352,42.458776,-6.063532,,settlement,
4,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Vallata,Vallata castra,Vallata,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/236709,42.517505,-5.766403,,station,
5,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Interamnio,Interamnium,Interamnium,m. p.,XIII,m. p. XIII,13.0,,https://pleiades.stoa.org/places/236487,42.5,-5.5,,unknown,
6,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Palantia,Palantia,Palantia,m. p.,XIIII,m. p. XIIII,14.0,,https://pleiades.stoa.org/places/236590,42.47473,-5.297387,,station,
7,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Viminacio,Biminatium,Viminacium,m. p.,XXXI,m. p. XXXI,31.0,,https://pleiades.stoa.org/places/236721,42.329158,-4.803655,,station (road or coastal),
8,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Lacobrigam,Lacobriga,Lacobriga,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/236501,42.338959,-4.601768,,settlement,
9,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Legisamone,Segisamo,Segisamo,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/236656,42.417842,-4.043492,,station,
10,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Teobrigula,Deobrigula,Deobrigula,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/236450,42.349723,-3.8143853333333295,,station,
11,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Tritium,Tritium,Tritium,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/236691,42.459336,-3.484908,,settlement,
12,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Virovesca,Virovesca,Virovesca,m. p.,XI,m. p. XI,11.0,,https://pleiades.stoa.org/places/246748,42.550298,-3.32337,,settlement,
13,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Vindeleia,Vindeleia,Vindeleia,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/246747,42.640426,-3.20674,,settlement,
14,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Deobriga,Deobriga,Deobriga,m. p.,XIIII,m. p. XIIII,14.0,,https://pleiades.stoa.org/places/246365,42.707897,-2.912018,,settlement,or https://pleiades.stoa.org/places/236450
15,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Beleia,Beoeoa,Bele(g)ia/Veleia,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/246232,42.830629,-2.7977155,,settlement,
16,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Suessatio,Suessatium,Suessatium,m. p.,VII,m. p. VII,7.0,,https://pleiades.stoa.org/places/246668,42.8412947983081,-2.63238126431733,,settlement,
17,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Tullonio,Tullonium,Tullonium,m. p.,VII,m. p. VII,7.0,,https://pleiades.stoa.org/places/246710,42.839977,-2.512587,,station,
18,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Alba,Alba,Alba,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/246153,42.856039,-2.290949,,settlement,
19,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Aracaeli,Araceli,Aracaeli,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/246177,42.919813,-1.961419,,station,
20,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Alantone,Alantone,Alantone,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/246152,42.879214,-1.815214,,station,
21,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Pompelone,Pompaeio,Pompelo,m. p.,VIII,m. p. VIII,8.0,,https://pleiades.stoa.org/places/246567,42.817991,-1.644224,,settlement,
22,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Turissa,Iturissa,It(o)uris(s)a/Turissa,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/246446,42.970648,-1.386239,,settlement,
23,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Summo Pyreneo,Summum Pyreneum,Summus Pyreneus,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/246671,43.019858,-1.324058,,station,
24,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Imo Pyreneo,Imus Pyreneus,Imus Pyreneus,m. p.,V,m. p. V,5.0,,https://pleiades.stoa.org/places/246438,43.164157878114,-1.19836234475007,,"fort, station (road or coastal)",
25,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Carasa,Carasa,Carasa,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/246290,43.341945,-1.061139,,station,
26,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Aquis Terebellicis,Aquae Tarbellicae,Aquae Terebellicae,m. p.,XXXVIIII,m. p. XXXVIIII,39.0,,https://pleiades.stoa.org/places/246173,43.709216,-1.0525105,,"settlement, bath, spa",
27,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Mosconnum,Mosconnum,Mosconnum,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/246508,44.031332,-1.253946,,station,
28,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Segosa,Segosa,Segosa,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/138581,44.22436,-1.151586,,station,
29,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Losa,Losa,Losa,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/138426,44.497849,-1.068062,,station,
30,,,24. DE HISPANIA IN AEQUITANIA.,Asturica-Burdigala,route,,,,Boios,Boii,Boii,m. p.,VII,m. p. VII,7.0,,https://pleiades.stoa.org/places/138232,44.627926,-0.971141,,settlement,
