sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
3,,461,25. DE AQUITANICA IN GALLIAS.,Burdigala-Augustodunum,route,,,,,Burdigala,Burdigala,,,,0.0,,https://pleiades.stoa.org/places/138248,44.837205,-0.576533,,settlement,
4,,,25. DE AQUITANICA IN GALLIAS.,Burdigala-Augustodunum,route,,,,Blauto,Blavia,Blauto/Blavia,m. p.,XVIIII,m. p. XVIIII,19.0,,https://pleiades.stoa.org/places/138230,45.12907,-0.661382,,fort,
5,,,25. DE AQUITANICA IN GALLIAS.,Burdigala-Augustodunum,route,,,,Tannum,Tannum,Tannum,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/138606,45.538886,-0.908709,,sanctuary,
6,,,25. DE AQUITANICA IN GALLIAS.,Burdigala-Augustodunum,route,,,,Novioregum,Novioregum,Novioregum,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/138496,45.5347956716774,-0.878312552026023,,settlement,
7,,,25. DE AQUITANICA IN GALLIAS.,Burdigala-Augustodunum,route,,,,Mediolanum Santonum,Mediolanum Santonum,Mediolanum,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/138458,45.744175,-0.633389,,settlement,
8,,,25. DE AQUITANICA IN GALLIAS.,Burdigala-Augustodunum,route,,,,Aunedonnacum,Aunedonnacum,Au(n)edonnacum,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/138200,46.020807,-0.346927,,station (road or coastal),
9,,,25. DE AQUITANICA IN GALLIAS.,Burdigala-Augustodunum,route,,,,Rauranum,Raraunum,Rauranum,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/138535,46.292399,0.114765,,settlement,
10,,,25. DE AQUITANICA IN GALLIAS.,Burdigala-Augustodunum,route,,,,Lomounum,Limonum,Limonum,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/138422,46.5836465,0.3459905,,settlement,
11,,,25. DE AQUITANICA IN GALLIAS.,Burdigala-Augustodunum,route,,,,Fines,Fines,Fines,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/138357,46.597077,0.96171,,station,
12,,,25. DE AQUITANICA IN GALLIAS.,Burdigala-Augustodunum,route,,,,Agrantomago,Argentomagus,*Argentomagus,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/138192,46.599368,1.515499,,"settlement, amphitheatre, amphitheater",
13,,,25. DE AQUITANICA IN GALLIAS.,Burdigala-Augustodunum,route,,,,Ernodorum,Ernodurum,Ernodorum,m. p.,XXVII,m. p. XXVII,27.0,,https://pleiades.stoa.org/places/138343,46.928176,2.112632,,station,
14,,,25. DE AQUITANICA IN GALLIAS.,Burdigala-Augustodunum,route,,,,Avaricum,Avaricum,Avaricum/Biturigae,m. p.,XIII,m. p. XIII,13.0,,https://pleiades.stoa.org/places/138207,47.082535,2.3978655,,settlement,
15,,,25. DE AQUITANICA IN GALLIAS.,Burdigala-Augustodunum,route,,,,Tincontium,Tincontium,Tincontium,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/138618,46.829935,2.919406,,station,
16,,,25. DE AQUITANICA IN GALLIAS.,Burdigala-Augustodunum,route,,,,Deccidae,Decetia,Decetia,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/138326,46.8282482222,3.461424944445,,settlement,
18,,,25. DE AQUITANICA IN GALLIAS.,Burdigala-Augustodunum,route,,,,Augustoduno,Augustodunum,Augustodunum,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/177460,46.94724,4.2991775,,settlement,
