sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,461.2-3,26. DE AQUITANIA IN GALLIAS.,Burdigala-Argentomagus,sum-route,Item a Burdigala Argantomago m. p. CXCVII:,,,Burdigala,Burdigala,Burdigala,,,,,,https://pleiades.stoa.org/places/138248,44.837205,-0.576533,,,
2,,461.2-3,26. DE AQUITANIA IN GALLIAS.,Burdigala-Argentomagus,sum-route,Item a Burdigala Argantomago m. p. CXCVII:,,,Argantomago,Argentomagus,*Argentomagus,m. p.,CXCVII, m. p. CXCVII,,,https://pleiades.stoa.org/places/138192,46.599368,1.515499,,,
3,,,26. DE AQUITANIA IN GALLIAS.,Burdigala-Argentomagus,route,,,,,Burdigala,Burdigala,,,,0.0,,https://pleiades.stoa.org/places/138248,44.837205,-0.576533,,settlement,
4,,,26. DE AQUITANIA IN GALLIAS.,Burdigala-Argentomagus,route,,,,Sirione,Sirio,Sirio,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/138593,44.633174,-0.334691,,station,
5,,,26. DE AQUITANIA IN GALLIAS.,Burdigala-Argentomagus,route,,,,Vssubium,Ussubium,Ussubium/Vesubio,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/138635,44.409754,0.216269,,settlement,
6,,,26. DE AQUITANIA IN GALLIAS.,Burdigala-Argentomagus,route,,fines,,Fines,Fines,Fines,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/138359,44.286027,0.298786,,station,
7,,,26. DE AQUITANIA IN GALLIAS.,Burdigala-Argentomagus,route,,,,Aginnum,Aginnum,Aginnum,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/138169,44.204908,0.62001,,settlement,
8,,,26. DE AQUITANIA IN GALLIAS.,Burdigala-Argentomagus,route,,,,Excisum,Excisum,Excisum,m. p.,XIII,m. p. XIII,13.0,,https://pleiades.stoa.org/places/138349,44.407527,0.706076,,station,
9,,,26. DE AQUITANIA IN GALLIAS.,Burdigala-Argentomagus,route,,,,Travectus,Travectus,Travectus?,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/138625,44.850729,0.483606,,station,
10,,,26. DE AQUITANIA IN GALLIAS.,Burdigala-Argentomagus,route,,,,Vesunna,Vesunna,Vesunna,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/138650,45.1840395,0.721699,,settlement,
11,,,26. DE AQUITANIA IN GALLIAS.,Burdigala-Argentomagus,route,,fines,,Fines,Fines,Fines,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/138358,45.598873,0.974561,,station,
12,,,26. DE AQUITANIA IN GALLIAS.,Burdigala-Argentomagus,route,,,,Augustoritum,Augustoritum,Augustoritum,m. p.,XXVIII,m. p. XXVIII,28.0,,https://pleiades.stoa.org/places/138203,45.8285425,1.2643925,,settlement,
13,,,26. DE AQUITANIA IN GALLIAS.,Burdigala-Argentomagus,route,,,,Argantomago,Argentomagus,*Argentomagus,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/138192,46.599368,1.515499,,"settlement, amphitheatre, amphitheater",
14,,462.4,26. DE AQUITANIA IN GALLIAS.,Aginnum-Lugdunum,sum-route,Item ab Aginno Lugdunum m. p. LXV:,,,Aginno,Aginnum,Aginnum,,,,,,https://pleiades.stoa.org/places/138169,44.204908,0.62001,,,
15,,462.4,26. DE AQUITANIA IN GALLIAS.,Aginnum-Lugdunum,sum-route,Item ab Aginno Lugdunum m. p. LXV:,,,Lugdunum,Lugdunum,Col. Lugdunum,m. p.,LXV, m. p. LXV,,,https://pleiades.stoa.org/places/167717,45.758866,4.8194815,,,
16,,,26. DE AQUITANIA IN GALLIAS.,Aginnum-Lugdunum,route,,,,,Aginnum,Aginnum,,,,0.0,,https://pleiades.stoa.org/places/138169,44.204908,0.62001,,settlement,
17,,,26. DE AQUITANIA IN GALLIAS.,Aginnum-Lugdunum,route,,,,Lactura,Lactora,Lactora,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/246459,43.933383,0.620535,,settlement,
18,,,26. DE AQUITANIA IN GALLIAS.,Aginnum-Lugdunum,route,,,,Climberrum,Elimberrum/Climberrum,Elimberrum,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/246379,43.6463558,0.5850507,,"settlement, settlement-modern",
19,,,26. DE AQUITANIA IN GALLIAS.,Aginnum-Lugdunum,route,,,,Belsino,Belsinum,Belsinum,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/246236,43.3961555,0.5256585,,station,
20,,,26. DE AQUITANIA IN GALLIAS.,Aginnum-Lugdunum,route,,,,Lugdunum,Lugdunum,Lugdunum Convenarum,m. p.,XXIII,m. p. XXIII,23.0,,https://pleiades.stoa.org/places/246477,43.0270135,0.5722425,,settlement,
