sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
3,,464.1-2,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Praetorium,sum-route,"A limite, id est a vallo, Praetorio m. p. CLVI:",,,vallo,Vallum Hadrianeum,Hadrian’s Wall,,,,,,https://pleiades.stoa.org/places/91358,54.9848092484,-2.52424798995,,,
16,,466.5-6,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,sum-route,Item a vallo ad portum Ritupis m. p. CCCCLXXXI sic:,,,vallo,Vallum Hadrianeum,Hadrian’s Wall,,,,,,https://pleiades.stoa.org/places/91358,54.9848092484,-2.52424798995,,,
17,,466.5-6,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,sum-route,Item a vallo ad portum Ritupis m. p. CCCCLXXXI sic:,,,portum Ritupis,Rutupiae,Rutupiae,m. p.,CCCCLXXXI , m. p. CCCCLXXXI ,,,https://pleiades.stoa.org/places/79664,51.2935415461507,1.33232340505778,,,
56,,473.1-2,27. ITER BRITTANIARUM.,Londinium-Portus Dubris,sum-route,Item a Londinio ad portum Dubris m. p. LXVI sic:,,,Londinio,Londinium,Londinium,,,,,,https://pleiades.stoa.org/places/79574,51.513335,-0.088949,,,
57,,473.1-2,27. ITER BRITTANIARUM.,Londinium-Portus Dubris,sum-route,Item a Londinio ad portum Dubris m. p. LXVI sic:,,,portum Dubris,Portus Dubris,Portus Dubris,m. p.,LXVI , m. p. LXVI ,,,https://pleiades.stoa.org/places/79646,51.123013,1.307512,,,
62,,473.10,27. ITER BRITTANIARUM.,Londinium-Portus Lemanis,sum-route,Item a Londinio ad portum Lemanis m. p. LXVIII,,,Londinio,Londinium,Londinium,,,,,,https://pleiades.stoa.org/places/79574,51.513335,-0.088949,,,
63,,473.10,27. ITER BRITTANIARUM.,Londinium-Portus Lemanis,sum-route,Item a Londinio ad portum Lemanis m. p. LXVIII,,,portum Lemanis,Portus Lemanis,Portus Lemanis,m. p.,LXVIII, m. p. LXVIII,,,https://pleiades.stoa.org/places/79647,51.0686172742902,1.02117852004714,,,
68,,474.1-2,27. ITER BRITTANIARUM.,Londinium-Luguvalium,sum-route,Item a Londinio Luguvalio ad vallum m. p. CCCCXLII:,,,Londinio,Londinium,Londinium,,,,,,https://pleiades.stoa.org/places/79574,51.513335,-0.088949,,,
69,,474.1-2,27. ITER BRITTANIARUM.,Londinium-Luguvalium,sum-route,Item a Londinio Luguvalio ad vallum m. p. CCCCXLII:,,,Luguvalio,Luguvalium,Luguvalium,m. p.,CCCCXLII, m. p. CCCCXLII,,,https://pleiades.stoa.org/places/89234,54.896035,-2.9376685,,,
90,,476.7,27. ITER BRITTANIARUM.,Londinium-Lindum,sum-route,Item a Londinio Lindo m. p. CLVI sic:,,,Londinio,Londinium,Londinium,,,,,,https://pleiades.stoa.org/places/79574,51.513335,-0.088949,,,
91,,476.7,27. ITER BRITTANIARUM.,Londinium-Lindum,sum-route,Item a Londinio Lindo m. p. CLVI sic:,,,Lindo,Lindum,Col. Lindum,m. p.,CLVI , m. p. CLVI ,,,https://pleiades.stoa.org/places/79395,53.2348205,-0.538442,,,
106,,477.10,27. ITER BRITTANIARUM.,Regentium?-Londinium,sum-route,Item a Regno Lundinio m. p. XCVI sic:,,,Regno,Regentium?,Noviomagus,,,,,,https://pleiades.stoa.org/places/79622,50.8350695,-0.789969,,,
107,,477.10,27. ITER BRITTANIARUM.,Regentium?-Londinium,sum-route,Item a Regno Lundinio m. p. XCVI sic:,,,Lundinio,Londinium,Londinium,m. p.,XCVI , m. p. XCVI ,,,https://pleiades.stoa.org/places/79574,51.513335,-0.088949,,,
114,,478.6,27. ITER BRITTANIARUM.,Eburacum-Londinium,sum-route,Item ab Eburaco Londinio m. p. CCXXVII:,,,Eburaco,Eburacum,Eburacum,,,,,,https://pleiades.stoa.org/places/89175,53.957672,-1.082304,,,
115,,478.6,27. ITER BRITTANIARUM.,Eburacum-Londinium,sum-route,Item ab Eburaco Londinio m. p. CCXXVII:,,,Londinio,Londinium,Londinium,m. p.,CCXXVII, m. p. CCXXVII,,,https://pleiades.stoa.org/places/79574,51.513335,-0.088949,,,
131,,479.10-11,27. ITER BRITTANIARUM.,Venta Icinorum-Londinium,sum-route,Item a Venta Icinorum Lundinio m. p. CXXVIII sic:,,,Venta Icinorum,Venta Icinorum,Venta,,,,,,https://pleiades.stoa.org/places/79735,52.5834706265709,1.29100306221498,,,
132,,479.10-11,27. ITER BRITTANIARUM.,Venta Icinorum-Londinium,sum-route,Item a Venta Icinorum Lundinio m. p. CXXVIII sic:,,,Lundinio,Londinium,Londinium,m. p.,CXXVIII , m. p. CXXVIII ,,,https://pleiades.stoa.org/places/79574,51.513335,-0.088949,,,
142,,481.1,27. ITER BRITTANIARUM.,Clanoventa-Mediolanum,sum-route,Item a Clanoventa Mediolano m. p. CL sic:,,,Clanoventa,Clanoventa/Glanoventa,*Glannoventa,,,,,,https://pleiades.stoa.org/places/89193,54.3496,-3.40463,,,
143,,481.1,27. ITER BRITTANIARUM.,Clanoventa-Mediolanum,sum-route,Item a Clanoventa Mediolano m. p. CL sic:,,,Mediolano,Mediolanum,Mediolan(i)um,m. p.,CL , m. p. CL ,,,https://pleiades.stoa.org/places/383706,45.463746,9.18806,,,
153,,482.5,27. ITER BRITTANIARUM.,Segontium-Deva,sum-route,Item a Segontio Devam m. p. LXXIIII sic:,,,Segontio,Segontium,Segontium,,,,,,https://pleiades.stoa.org/places/79678,53.1372254427578,-4.2658108504273,,,
154,,482.5,27. ITER BRITTANIARUM.,Segontium-Deva,sum-route,Item a Segontio Devam m. p. LXXIIII sic:,,,Devam,Deva,Deva,m. p.,LXXIIII , m. p. LXXIIII ,,,https://pleiades.stoa.org/places/79420,53.1914685,-2.8939425,,,
159,,482.9-10,27. ITER BRITTANIARUM.,Muridonum-Viroconium,sum-route,Item a Muridono Viroconiorum m. p. CLXXXVI:,,,Muridono,Muridonum,*Moridunum,,,,,,https://pleiades.stoa.org/places/79602,51.859253,-4.3034705,,,
160,,482.9-10,27. ITER BRITTANIARUM.,Muridonum-Viroconium,sum-route,Item a Muridono Viroconiorum m. p. CLXXXVI:,,,Viroconiorum,Urioconium/Viroconium,Viroconium,m. p.,CLXXXVI, m. p. CLXXXVI,,,https://pleiades.stoa.org/places/79741,52.6744876516292,-2.64381830093073,,,
179,,484.10,27. ITER BRITTANIARUM.,Isca Silurum-Calleva Atrebatum-1,sum-route,Item ab Isca Calleva m. p. CVIIII sic:,,,Isca,Isca Silurum,Isca Silurum,,,,,,https://pleiades.stoa.org/places/79532,51.6104206240302,-2.95544971545404,,,
180,,484.10,27. ITER BRITTANIARUM.,Isca Silurum-Calleva Atrebatum-1,sum-route,Item ab Isca Calleva m. p. CVIIII sic:,,,Calleva,Calleva Atrebatum,Calleva,m. p.,CVIIII , m. p. CVIIII ,,,https://pleiades.stoa.org/places/79368,51.3572048631083,-1.08239136468493,,,
189,,485.8,27. ITER BRITTANIARUM.,Isca Silurum-Calleva Atrebatum-2,sum-route,Item alio itinere ab Isca Calleva m. p. CIII sic:,,,Isca,Isca Silurum,Isca Silurum,,,,,,https://pleiades.stoa.org/places/79532,51.6104206240302,-2.95544971545404,,,
190,,485.8,27. ITER BRITTANIARUM.,Isca Silurum-Calleva Atrebatum-2,sum-route,Item alio itinere ab Isca Calleva m. p. CIII sic:,,,Calleva,Calleva Atrebatum,Calleva,m. p.,CIII , m. p. CIII ,,,https://pleiades.stoa.org/places/79368,51.3572048631083,-1.08239136468493,,,
200,,486.8-9,27. ITER BRITTANIARUM.,Calleva Atrebatum-Isca Dumnoniorum,sum-route,Item a Calleva Isca Dumnoniorum m. p. CXXXVI sic:,,,Calleva,Calleva Atrebatum,Calleva,,,,,,https://pleiades.stoa.org/places/79368,51.3572048631083,-1.08239136468493,,,
201,,486.8-9,27. ITER BRITTANIARUM.,Calleva Atrebatum-Isca Dumnoniorum,sum-route,Item a Calleva Isca Dumnoniorum m. p. CXXXVI sic:,,,Isca Dumnoniorum,Isca Dumnoniorum,Isca Dumnoniorum,m. p.,CXXXVI , m. p. CXXXVI ,,,https://pleiades.stoa.org/places/79531,50.725562,-3.5269108,,,
