sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,463.4-5,27. ITER BRITTANIARUM.,Gessoriacum-Portus Brittanniarum?,route,A Gessoriaco de Gallis Ritupis in portu Brittaniarum stadia numero CCCCL.,,,Gessoriaco,Gesoriacum,Gesoriacum/Bononia,,,,0.0,,https://pleiades.stoa.org/places/109008,50.7256746666667,1.61483166666667,,settlement,Reconstructed possible itinerary through the channel
5,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Praetorium,route,,limes,,,Vallum Hadrianeum,Hadrian’s Wall,m. p.,CLVI:,m. p. CLVI:,156.0,,https://pleiades.stoa.org/places/91358,54.9848092484,-2.52424798995,vallum,"frontier system, limes",Unclear division here 
6,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Praetorium,route,a Bremenio Corstopitum,,,Bremenio,Bremenium,Bremenium,,,,0.0,,https://pleiades.stoa.org/places/89124,55.281464623702895,-2.26479559810365,,fort,
7,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Praetorium,route,,,,Corstopitum,Corstopitum,*Coriosopitum/Coria,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/89152,54.978189383176705,-2.02929153113766,,fort-2,
8,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Praetorium,route,,,,Vindomora,Vindomora,Vindomora,m. p.,VIIII,m. p. VIIII,9.0,,https://pleiades.stoa.org/places/89314,54.8941635011371,-1.8401405354063,,fort,
9,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Praetorium,route,,,,Vinovia,Vinovia,Vinovia,m. p.,XVIIII,m. p. XVIIII,19.0,,https://pleiades.stoa.org/places/89316,54.6767323148708,-1.67677150805271,,fort,
10,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Praetorium,route,,,,Cataractoni,Cataractonium,Cataractonium,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/89143,54.3871953968295,-1.6547101467231,,city-wall,
11,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Praetorium,route,,,,Isurium,Isurium,Isurium,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/89209,54.0906269504574,-1.38333650603148,,settlement,
12,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Praetorium,route,,,,Eburacum leug. VI Victrix,Eburacum,Eburacum,m. p.,XVII,m. p. XVII,17.0,,https://pleiades.stoa.org/places/89175,53.957672,-1.082304,legio,settlement,
13,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Praetorium,route,,,,Derventione,Derventio,Derventio,m. p.,VII,m. p. VII,7.0,,https://pleiades.stoa.org/places/89166,54.1344542,-0.78916895,,fort,
14,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Praetorium,route,,,,Delgovicia,Delgovicia,Delgovicia,m. p.,XIII,m. p. XIII,13.0,,https://topostext.org/place/540000UDe2,54.0251,-0.5971,,station,
