sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,86.3,4. SICILIAE.,Traiectum-Lilybaeum,sum-route,A Traiecto Lilybeo m. p. CCLVII:,,,Traiecto,Traiectum,Traiectum,,,,,,https://pleiades.stoa.org/places/99046,52.090934,5.1220985,,,
2,,86.3,4. SICILIAE.,Traiectum-Lilybaeum,sum-route,,,,Lilybeo,Lilybaeum,Lilybaeum,m. p.,CCLVII, m. p. CCLVII,,,https://pleiades.stoa.org/places/462281,37.8027343604892,12.4296649099417,,,
20,,89.3,4. SICILIAE.,Lilybaeum-Messana,sum-route,Alio itinere a Lilybeo Messana m. p. CCCXXXVI:,,,Lilybeo,Lilybaeum,Lilybaeum,,,,,,https://pleiades.stoa.org/places/462281,37.8027343604892,12.4296649099417,,,
21,,89.3,4. SICILIAE.,Lilybaeum-Messana,sum-route,Alio itinere a Lilybeo Messana m. p. CCCXXXVI:,,,Messana,Messana,Zancle/Messana,m. p.,CCCXXXVI, m. p. CCCXXXVI,,,https://pleiades.stoa.org/places/462538,38.192251,15.556634,,,
34,,90.6-7,4. SICILIAE.,Lilybaeum-Tyndaris,sum-route,Item a Lilybeo per maritima loca Tindaride usque m. p. CCVIII:,,,Lilybeo,Lilybaeum,Lilybaeum,,,,,,https://pleiades.stoa.org/places/462281,37.8027343604892,12.4296649099417,,,
35,,90.6-7,4. SICILIAE.,Lilybaeum-Tyndaris,sum-route,Item a Lilybeo per maritima loca Tindaride usque m. p. CCVIII:,,,Tindaride,Tyndaris,Tyndaris,m. p.,CCVIII, m. p. CCVIII,,,https://pleiades.stoa.org/places/462527,38.14272495,15.0445609,,,
50,,93.2,4. SICILIAE.,Thermae-Catania,sum-route,Item a Thermis Catina m. p. XCI:,,,Thermis,Thermae,Thermae Himeraeae,,,,,,https://pleiades.stoa.org/places/462513,37.9851965,13.6962535,,,
51,,93.2,4. SICILIAE.,Thermae-Catania,sum-route,Item a Thermis Catina m. p. XCI:,,,Catina,Catania,Katane/Catina,m. p.,XCI, m. p. XCI,,,https://pleiades.stoa.org/places/462270,37.502959,15.088142,,,
58,,94.2-3,4. SICILIAE.,Catania-Agrigentum,sum-route,Item a Catina Agrigentum mansionibus nunc institutis m. p. XCII:,,,Catina,Catania,Katane/Catina,,,,,,https://pleiades.stoa.org/places/462270,37.502959,15.088142,,,
59,,94.2-3,4. SICILIAE.,Catania-Agrigentum,sum-route,Item a Catina Agrigentum mansionibus nunc institutis m. p. XCII:,,,Agrigentum,Agrigentum,Akragas/Agrigentum,m. p.,XCII, m. p. XCII,,,https://pleiades.stoa.org/places/462086,37.290594,13.585475,,,
66,,95.2-3,4. SICILIAE.,Agrigentum-Syracusae,sum-route,Item ab Agrigentum per maritima loca Siracusas m. p. CXXXVII:,,,Agrigentum,Agrigentum,Akragas/Agrigentum,,,,,,https://pleiades.stoa.org/places/462086,37.290594,13.585475,,,
67,,95.2-3,4. SICILIAE.,Agrigentum-Syracusae,sum-route,Item ab Agrigentum per maritima loca Siracusas m. p. CXXXVII:,,,Siracusas,Syracusae,Syracusae/Syrakousai,m. p.,CXXXVII, m. p. CXXXVII,,,https://pleiades.stoa.org/places/462503,37.0700365425024,15.2831354803726,,,
77,,96.5,4. SICILIAE.,Agrigentum-Lilybaeum,sum-route,Item ab Agrigento Lilybeo m. p. CLXXV:,,,Agrigento,Agrigentum,Akragas/Agrigentum,,,,,,https://pleiades.stoa.org/places/462086,37.290594,13.585475,,,
78,,96.5,4. SICILIAE.,Agrigentum-Lilybaeum,sum-route,Item ab Agrigento Lilybeo m. p. CLXXV:,,,Lilybeo,Lilybaeum,Lilybaeum,m. p.,CLXXV, m. p. CLXXV,,,https://pleiades.stoa.org/places/462281,37.8027343604892,12.4296649099417,,,
89,,97.7,4. SICILIAE.,Hyccara-Caraunusca?,sum-route,Item ab Yccaris maritima:,,,Yccaris,Hyccara,Hykkara?,,,,0.0,,https://pleiades.stoa.org/places/462254,38.131616,13.180922,maritima,settlement,
90,,97.7,4. SICILIAE.,Hyccara-Caraunusca?,sum-route,,,,?,Carausca? Ricciacum?,Caranusca?,,?,?,,,https://pleiades.stoa.org/places/108857,49.406768,6.151663,,,
