sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,98.3-5,5. ITALIAE.,Mediolanum-Columna Regia,sum-route,Iter quod a Mediolano per Picenum et Campaniam ad Columnam id est Traiectum Siciliae ducit m. p. DCCCCS:,,,Mediolano,Mediolanum,Mediolan(i)um,,,,,,https://pleiades.stoa.org/places/383706,45.463746,9.18806,,,
2,,98.3-5,5. ITALIAE.,Mediolanum-Columna Regia,sum-route,Iter quod a Mediolano per Picenum et Campaniam ad Columnam id est Traiectum Siciliae ducit m. p. DCCCCS:,,,ad Columnam,Columna Regia,Ad Columnam,m. p.,DCCCCS, m. p. DCCCCS,,,https://pleiades.stoa.org/places/452250,38.191434,15.651754,,,
3,,,5. ITALIAE.,Mediolanum-Columna Regia,route,,,,a Mediolano,Mediolanum,Mediolan(i)um,,,,0.0,,https://pleiades.stoa.org/places/383706,45.463746,9.18806,,settlement,
4,,,5. ITALIAE.,Mediolanum-Columna Regia,route,,,,Laude civitas,Laus Pompeia,Laus Pompeia,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/383691,45.303456,9.418776,civitas,settlement,
5,,,5. ITALIAE.,Mediolanum-Columna Regia,route,,,,Placentia civitas,Placentia,Placentia,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/383741,45.0525855,9.6976645,civitas,settlement,
6,,,5. ITALIAE.,Mediolanum-Columna Regia,route,,,,Fidentiola vicus,Fidentia,Fidentia,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/383648,44.865109,10.061732,vicus,settlement,
7,,,5. ITALIAE.,Mediolanum-Columna Regia,route,,,,Parme civitas,Parma,Parma,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/383737,44.801507,10.327967,civitas,settlement,
8,,,5. ITALIAE.,Mediolanum-Columna Regia,route,,,,Regio civitas,Regium,Regium Lepidum,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/383755,44.698137,10.630721,civitas,settlement,
9,,,5. ITALIAE.,Mediolanum-Columna Regia,route,,,,Mutina civitas,Mutina,Mutina,m. p.,XVII,m. p. XVII,17.0,,https://pleiades.stoa.org/places/383715,44.647057,10.925223,civitas,settlement,
10,,,5. ITALIAE.,Mediolanum-Columna Regia,route,,,,Bononia civitas,Bononia,Felsina/Bononia,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/393421,44.4945737,11.3455467,civitas,settlement,
11,,,5. ITALIAE.,Mediolanum-Columna Regia,route,,,,Foro Corneli civitas,Forum Corneli,Forum Cornelii,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/393424,44.353995,11.707535,civitas,settlement,
12,,,5. ITALIAE.,Mediolanum-Columna Regia,route,,,,Faventia civitas,Faventia,Faventia,m. p.,X,m. p. X,10.0,,https://pleiades.stoa.org/places/393420,44.286236,11.883507,civitas,settlement,
13,,,5. ITALIAE.,Mediolanum-Columna Regia,route,,,,Cesena civitas,Caesena,Caesena,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/393397,44.1351069024096,12.2418006114692,civitas,settlement,
14,,,5. ITALIAE.,Mediolanum-Columna Regia,route,,,,Ariminum civitas,Ariminum,Ariminum,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/393379,44.0589565,12.5631945,civitas,settlement,
15,,,5. ITALIAE.,Mediolanum-Columna Regia,route,,,,Pisauro civitas,Pisaurum,Pisaurum,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/413256,43.912081,12.91577,civitas,settlement,
16,,,5. ITALIAE.,Mediolanum-Columna Regia,route,,,,Senagallia civitas,Sena Gallica,Sena Gallica,m. p.,XXVI,m. p. XXVI,26.0,,https://pleiades.stoa.org/places/413310,43.714978,13.21799,civitas,settlement,
17,,,5. ITALIAE.,Mediolanum-Columna Regia,route,Vltra Anconam,ultra,,Anconam,Ancona,Ancon(a),m. p.,IIII m. p.,m. p. IIII m. p. XXVI,28.0,,https://pleiades.stoa.org/places/413014,43.618992666666706,13.5160726666667,,urban,
18,,,5. ITALIAE.,Mediolanum-Columna Regia,route,,,,Potentia civitas,Potentia,Potentia,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/413272,43.4198358,13.66733325,civitas,settlement,
19,,,5. ITALIAE.,Mediolanum-Columna Regia,route,,,,Castello Firmano,Castellum Firmanorum,Castellum Firmanorum,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/413069,43.183742,13.794334,castellum,settlement,
