sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,98.3-5,5. ITALIAE.,Mediolanum-Columna Regia,sum-route,Iter quod a Mediolano per Picenum et Campaniam ad Columnam id est Traiectum Siciliae ducit m. p. DCCCCS:,,,Mediolano,Mediolanum,Mediolan(i)um,,,,,,https://pleiades.stoa.org/places/383706,45.463746,9.18806,,,
2,,98.3-5,5. ITALIAE.,Mediolanum-Columna Regia,sum-route,Iter quod a Mediolano per Picenum et Campaniam ad Columnam id est Traiectum Siciliae ducit m. p. DCCCCS:,,,ad Columnam,Columna Regia,Ad Columnam,m. p.,DCCCCS, m. p. DCCCCS,,,https://pleiades.stoa.org/places/452250,38.191434,15.651754,,,
50,,106.5-107.1,5. ITALIAE.,Roma-Columna Regia,sum-route,Item ab Vrbe recto itinere ad Columnam m. p. CCCCLV:,,,Vrbe,Roma,Roma,,,,,,https://pleiades.stoa.org/places/423025,41.8916621952495,12.49234282802,,,
51,,106.5-107.1,5. ITALIAE.,Roma-Columna Regia,sum-route,Item ab Vrbe recto itinere ad Columnam m. p. CCCCLV:,,,ad Columnam,Columna Regia,Ad Columnam,m. p.,CCCCLV, m. p. CCCCLV,,,https://pleiades.stoa.org/places/452250,38.191434,15.651754,,,
81,,111.7,5. ITALIAE.,Capua-Aequum Tuticum,sum-route,Item a Capua Equo Tutico m. p. LIII sic:,,,Capua,Capua,Capua,,,,,,https://pleiades.stoa.org/places/432754,41.0860925,14.250207,,,
82,,111.7,5. ITALIAE.,Capua-Aequum Tuticum,sum-route,Item a Capua Equo Tutico m. p. LIII sic:,,,Equo Tutico,Aequum Tuticum,Aequum Tuticum/Equus Tuticus,m. p.,LIII , m. p. LIII ,,,https://pleiades.stoa.org/places/442452,41.152484,15.087531,,,
87,,112.3-4,5. ITALIAE.,Aequum Tuticum-Regium,sum-route,Ab Equo Tutico per Roscianum Regio m. p. CCCCLXXVIII sic:,,,Equo Tutico,Aequum Tuticum,Aequum Tuticum/Equus Tuticus,,,,,,https://pleiades.stoa.org/places/442452,41.152484,15.087531,,,
88,,112.3-4,5. ITALIAE.,Aequum Tuticum-Regium,sum-route,Ab Equo Tutico per Roscianum Regio m. p. CCCCLXXVIII sic:,,,Regio,Regium,Rhegion/Regium,m. p.,CCCCLXXVIII , m. p. CCCCLXXVIII ,,,https://pleiades.stoa.org/places/452416,38.109279,15.64393,,,
111,,115.7-8,5. ITALIAE.,Aequum Tuticum-Hydruntum,sum-route,Item ab Equo Tutico Hydrunto ad Traiectum m. p. CCXXXV:,,,Equo Tutico,Aequum Tuticum,Aequum Tuticum/Equus Tuticus,,,,,,https://pleiades.stoa.org/places/442452,41.152484,15.087531,,,
112,,115.7-8,5. ITALIAE.,Aequum Tuticum-Hydruntum,sum-route,Item ab Equo Tutico Hydrunto ad Traiectum m. p. CCXXXV:,,,Hydrunto,Hydruntum,Hydruntum/Hydrous,m. p.,CCXXXV, m. p. CCXXXV,,,https://pleiades.stoa.org/places/442615,40.1458515,18.4910835,,,
130,,120.1,5. ITALIAE.,Beneventum-Tarentum,sum-route,A Benevento Tarentum m. p. CLVII:,,,Benevento,Beneventum,Beneventum/Maleventum,,,,,,https://pleiades.stoa.org/places/432721,41.130437,14.781161,,,
131,,120.1,5. ITALIAE.,Beneventum-Tarentum,sum-route,,,,Tarentum,Tarentum,Taras/Tarentum/Neptunia,m. p.,CLVII, m. p. CLVII,,,https://pleiades.stoa.org/places/442810,40.4737866,17.2330416,,,
142,,121.8,5. ITALIAE.,Terracinae-Beneventum,sum-route,A Terracina Benevento m. p. CXIII:,,,Terracina,Tarracina(e)/Anxur,Tarracina(e)/Anxur,,,,,,https://pleiades.stoa.org/places/433143,41.291169,13.24885,,,
143,,121.8,5. ITALIAE.,Terracinae-Beneventum,sum-route,A Terracina Benevento m. p. CXIII:,,,Benevento,Beneventum,Beneventum/Maleventum,m. p.,CXIII, m. p. CXIII,,,https://pleiades.stoa.org/places/432721,41.130437,14.781161,,,
152,,122.4,5. ITALIAE.,Terracinae-Neapolis,sum-route,Item a Terracina Neapolim m. p. LXXXVII:,,,Terracina,Tarracina(e)/Anxur,Tarracina(e)/Anxur,,,,,,https://pleiades.stoa.org/places/433143,41.291169,13.24885,,,
153,,122.4,5. ITALIAE.,Terracinae-Neapolis,sum-route,Item a Terracina Neapolim m. p. LXXXVII:,,,Neapolim,Neapolis,Parthenope/Neapolis,m. p.,LXXXVII, m. p. LXXXVII,,,https://pleiades.stoa.org/places/433014,40.839995,14.25287,,,
