sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,175.2-3,6. ITER TRACIAE.,Kabyle-Hadrianopolis,sum-route,A Cabile per conpendium Adrianopoli usque m. p. LXXVIIII:,,,Cabile,Kabyle/Diospolis,Kabyle/Diospolis,,,,,,https://pleiades.stoa.org/places/216859,42.5501536600523,26.4833349450105,,,
2,,175.2-3,6. ITER TRACIAE.,Kabyle-Hadrianopolis,sum-route,A Cabile per conpendium Adrianopoli usque m. p. LXXVIIII:,,,Adrianopoli,Hadrianopolis,Hadrianoupolis,m. p.,LXXVIIII, m. p. LXXVIIII,,,https://pleiades.stoa.org/places/501428,41.676459,26.562891,,,
7,,175.7,6. ITER TRACIAE.,Plotinopolis-Heraclea/Perinthus,sum-route,A Plotinopolim Heraclea m. p. XXV,,,Plotinopolim,Plotinopolis,Plotino(u)polis,,,,,,https://pleiades.stoa.org/places/501572,41.358625,26.499702,,,
8,,175.7,6. ITER TRACIAE.,Plotinopolis-Heraclea/Perinthus,sum-route,A Plotinopolim Heraclea m. p. XXV,,,Heraclea,Perinthus/Heraclea,Perinthus/Heraclea,m. p.,XXV, m. p. XXV,,,https://pleiades.stoa.org/places/511357,40.971013,27.952973,,,
14,,176.3-4,6. ITER TRACIAE.,Sebasteia-Kokussos-1,sum-route,Sebastia,,,Sebasteia,Sebasteia,Sebasteia/Megalopolis?/Talaura?,,,,,,https://pleiades.stoa.org/places/629075,39.7490195,37.016607,,,
15,,176.3-4,6. ITER TRACIAE.,Sebasteia-Kokussos-1,sum-route,Cocuso,,,Cocuso,Kokussos,Kokousos,m. p.,CCXCIIIS , m. p. CCXCIIIS ,,,https://pleiades.stoa.org/places/629013,38.031581,36.4983445,,,
28,,178.6-7,6. ITER TRACIAE.,Sebasteia-Kokussos-2,sum-route,Item a Sebastia Cocuso per Caesaream m. p. CCLVIII:,,,Sebastia,Sebasteia,Sebasteia/Megalopolis?/Talaura?,,,,,,https://pleiades.stoa.org/places/629075,39.7490195,37.016607,,,
29,,178.6-7,6. ITER TRACIAE.,Sebasteia-Kokussos-2,sum-route,Item a Sebastia Cocuso per Caesaream m. p. CCLVIII:,,,Cocuso,Kokussos,Kokousos,m. p.,CCLVIII, m. p. CCLVIII,,,https://pleiades.stoa.org/places/629013,38.031581,36.4983445,,,
41,,180.6-7,6. ITER TRACIAE.,Sebasteia-Kokussos-3,sum-route,Item a Sebastia Cocuso per compendium m. p. CCVI:,,,Sebastia,Sebasteia,Sebasteia/Megalopolis?/Talaura?,,,,,,https://pleiades.stoa.org/places/629075,39.7490195,37.016607,,,
42,,180.6-7,6. ITER TRACIAE.,Sebasteia-Kokussos-3,sum-route,Item a Sebastia Cocuso per compendium m. p. CCVI:,,,Cocuso,Kokussos,Kokousos,m. p.,CCVI, m. p. CCVI,,,https://pleiades.stoa.org/places/629013,38.031581,36.4983445,,,
50,,181.7-8,6. ITER TRACIAE.,Arabissos-Satala,sum-route,Item ab Arabisso per conpendium Satalam m. p. CCXXIII:,,,Arabisso,Arabissos/Tripotamos,Arabissos/Tripotamos,,,,,,https://pleiades.stoa.org/places/628925,38.246013,36.911673,,,
51,,181.7-8,6. ITER TRACIAE.,Arabissos-Satala,sum-route,Item ab Arabisso per conpendium Satalam m. p. CCXXIII:,,,Satalam,Satala,Satala,m. p.,CCXXIII, m. p. CCXXIII,,,https://pleiades.stoa.org/places/874684,40.02789515,39.59791835,,,
64,,184.1-2,6. ITER TRACIAE.,Germanicia-Edessa-1,sum-route,A Germanicia per Dolicum et Zeuma Aedissam usque m. p. LXXXVII:,,,Germanicia,Germanicia,Germanikeia,,,,,,https://pleiades.stoa.org/places/658474,37.5841372,36.9264045,,,
65,,184.1-2,6. ITER TRACIAE.,Germanicia-Edessa-1,sum-route,A Germanicia per Dolicum et Zeuma Aedissam usque m. p. LXXXVII:,,,Aedissam, Edessa/Antiochia ad Callirhoem,Edessa/Antiochia ad Callirhoem,m. p.,LXXXVII, m. p. LXXXVII,,,https://pleiades.stoa.org/places/658457,37.1625575,38.781432,,,
72,,186.1-2,6. ITER TRACIAE.,Germanicia-Edessa-2,sum-route,Item a Germanicia per Samosatam Edissam m. p. XC:,,,Germanicia,Germanicia,Germanikeia,,,,,,https://pleiades.stoa.org/places/658474,37.5841372,36.9264045,,,
73,,186.1-2,6. ITER TRACIAE.,Germanicia-Edessa-2,sum-route,Item a Germanicia per Samosatam Edissam m. p. XC:,,,Edissam, Edessa/Antiochia ad Callirhoem,Edessa/Antiochia ad Callirhoem,m. p.,XC, m. p. XC,,,https://pleiades.stoa.org/places/658457,37.1625575,38.781432,,,
80,,187.2,6. ITER TRACIAE.,Antiochia-Emesa,sum-route,Item ab Antiochia Hemesa m. p. CXXXIIII sic:,,,Antiochia,Antiochia,Gerasa/Antiochia ad Chrysorhoam,,,,,,https://pleiades.stoa.org/places/678158,32.2800898764378,35.8910921281886,,,
81,,187.2,6. ITER TRACIAE.,Antiochia-Emesa,sum-route,Item ab Antiochia Hemesa m. p. CXXXIIII sic:,,,Hemesa,Emesa,(H)Emesa,m. p.,CXXXIIII , m. p. CXXXIIII ,,,https://pleiades.stoa.org/places/668261,34.7376565,36.719319,,,
90,,188.4,6. ITER TRACIAE.,Arabissos-Muzana,sum-route,Item ab Arbalisso Muzana m. p. XLVIII:,,,Arbalisso,Arabissos/Tripotamos,Arabissos/Tripotamos,,,,,,https://pleiades.stoa.org/places/628925,38.246013,36.911673,,,
95,,188.7,6. ITER TRACIAE.,Germanicia-Edessa-3,sum-route,Item a Germanicia Edissa m. p. LXXXIIII:,,,Germanicia,Germanicia,Germanikeia,,,,,,https://pleiades.stoa.org/places/658474,37.5841372,36.9264045,,,
96,,188.7,6. ITER TRACIAE.,Germanicia-Edessa-3,sum-route,Item a Germanicia Edissa m. p. LXXXIIII:,,,Edissa,Edessa,Edessa/Antiochia ad Callirhoem,m. p.,LXXXIIII, m. p. LXXXIIII,,,https://pleiades.stoa.org/places/658457,37.1625575,38.781432,,,
104,,189.6,6. ITER TRACIAE.,Cyrrhus-Edessa,sum-route,Item a Cyrro Edissa m. p. XCII:,,,Cyrro,Cyrrhus,Cyrrus/Hagioupolis,,,,,,https://pleiades.stoa.org/places/658446,36.7450685842699,36.9597132065432,,,
105,,189.6,6. ITER TRACIAE.,Cyrrhus-Edessa,sum-route,Item a Cyrro Edissa m. p. XCII:,,,Edissa,Edessa,Edessa/Antiochia ad Callirhoem,m. p.,XCII, m. p. XCII,,,https://pleiades.stoa.org/places/658457,37.1625575,38.781432,,,
113,,190.6,6. ITER TRACIAE.,Nicopolis-Edessa,sum-route,Item a Nicopoli Edissa m. p. CXXXVII:,,,Nicopoli,Nicopolis,Nicopolis,,,,,,https://pleiades.stoa.org/places/857248,40.1485567,38.14353355,,,
114,,190.6,6. ITER TRACIAE.,Nicopolis-Edessa,sum-route,Item a Nicopoli Edissa m. p. CXXXVII:,,,Edissa,Edessa,Edessa/Antiochia ad Callirhoem,m. p.,CXXXVII, m. p. CXXXVII,,,https://pleiades.stoa.org/places/658457,37.1625575,38.781432,,,
123,,191.6,6. ITER TRACIAE.,Callecoma-Edessa,sum-route,Item a Callecoma Edissa m. p. LXXXV:,,,Callecoma,Callecoma/Callicome,Callicome,,,,,,https://pleiades.stoa.org/places/658420,36.217791,37.193425,,,
124,,191.6,6. ITER TRACIAE.,Callecoma-Edessa,sum-route,Item a Callecoma Edissa m. p. LXXXV:,,,Edissa,Edessa,Edessa/Antiochia ad Callirhoem,m. p.,LXXXV, m. p. LXXXV,,,https://pleiades.stoa.org/places/658457,37.1625575,38.781432,,,
131,,192.4,6. ITER TRACIAE.,Carrhae-Hierapolis,sum-route,Item a Carris Hierapoli m. p. LXXXIII:,,,Carris,Karrhai/Carrhae,Harran/Carrhae,,,,,,https://pleiades.stoa.org/places/658427,36.8635943093853,39.0307496505361,,,
132,,192.4,6. ITER TRACIAE.,Carrhae-Hierapolis,sum-route,Item a Carris Hierapoli m. p. LXXXIII:,,,Hierapoli,Hierapolis/Bambyke,Hierapolis/Bambyke,m. p.,LXXXIII, m. p. LXXXIII,,,https://pleiades.stoa.org/places/658480,36.526326,37.956528,,,
