sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
3,,,6. ITER TRACIAE.,Kabyle-Hadrianopolis,route,,per compendium,,,Kabyle/Diospolis,Kabyle/Diospolis,,,,0.0,,https://pleiades.stoa.org/places/216859,42.5501536600523,26.4833349450105,,settlement,
4,,,6. ITER TRACIAE.,Kabyle-Hadrianopolis,route,,,,Orudisza ad Burgum,Orudissa,Odrysae (region),m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/216906,42.4048025058946,26.828072801517,,region,Uncertain identification
6,,,6. ITER TRACIAE.,Kabyle-Hadrianopolis,route,,,,Adrianopoli,Hadrianopolis,Hadrianoupolis,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/501428,41.676459,26.562891,,settlement,
9,,,6. ITER TRACIAE.,Plotinopolis-Heraclea/Perinthus,route,,,,,Plotinopolis,Plotino(u)polis,,,,0.0,,https://pleiades.stoa.org/places/501572,41.358625,26.499702,,settlement,
10,,,6. ITER TRACIAE.,Plotinopolis-Heraclea/Perinthus,route,,,,Traianopolim,Traianopolis,Traianopolis,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/648772,36.258509,32.282734,,settlement,
11,,,6. ITER TRACIAE.,Plotinopolis-Heraclea/Perinthus,route,,,,Apris,Aproi,Ad Duodecimum,m. p.,XXIII,m. p. XXIII,23.0,,https://pleiades.stoa.org/places/501326,41.25,24.25,,station (road or coastal),
12,,,6. ITER TRACIAE.,Plotinopolis-Heraclea/Perinthus,route,,,,Resisto,Resisthon/Bisanthe,Bisanthe/Rhaidestos,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/511187,40.978415,27.508023,,settlement,
13,,,6. ITER TRACIAE.,Plotinopolis-Heraclea/Perinthus,route,,,,Heraclea,Perinthus/Heraclea,Perinthus/Heraclea,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/511357,40.971013,27.952973,,settlement,
16,,,6. ITER TRACIAE.,Sebasteia-Kokussos-1,route,,,,,Sebasteia,Sebasteia/Megalopolis?/Talaura?,,,,0.0,,https://pleiades.stoa.org/places/629075,39.7490195,37.016607,,settlement,
18,,,6. ITER TRACIAE.,Sebasteia-Kokussos-1,route,,,,Euspena,Euspoena,Euspena,m. p.,XXVIII,m. p. XXVIII,28.0,,https://pleiades.stoa.org/places/628977,39.235631,37.385969,,settlement,
21,,,6. ITER TRACIAE.,Sebasteia-Kokussos-1,route,,,,Pisonos,Pisonos,Siniskolon,m. p.,XXXII,m. p. XXXII,32.0,,https://pleiades.stoa.org/places/629080,38.625474,38.132024,,settlement,
22,,,6. ITER TRACIAE.,Sebasteia-Kokussos-1,route,,,,Meletena,Melitene,Melitene,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/629040,38.382217,38.361152,,settlement,
23,,,6. ITER TRACIAE.,Sebasteia-Kokussos-1,route,,,,Arcas,Arca,Arca,m. p.,XXVI,m. p. XXVI,26.0,,https://pleiades.stoa.org/places/628929,38.33454,37.9711315,,settlement,
25,,,6. ITER TRACIAE.,Sebasteia-Kokussos-1,route,,,,Osdara,Asdara,Osdara,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/629049,38.240638,37.328382,,settlement,
26,,,6. ITER TRACIAE.,Sebasteia-Kokussos-1,route,,,,Ptandari,Tanadaris,Tanadaris,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/629091,38.422166,36.913591,,settlement,
27,,,6. ITER TRACIAE.,Sebasteia-Kokussos-1,route,,,,Cocuso,Kokussos,Kokousos,m. p.,XXXVIII,m. p. XXXVIII,38.0,,https://pleiades.stoa.org/places/629013,38.031581,36.4983445,,settlement,
30,,,6. ITER TRACIAE.,Sebasteia-Kokussos-2,route,,,,,Sebasteia,Sebasteia/Megalopolis?/Talaura?,,,,0.0,,https://pleiades.stoa.org/places/629075,39.7490195,37.016607,,settlement,
32,,,6. ITER TRACIAE.,Sebasteia-Kokussos-2,route,,,,Malandara,Malandara,Malandara,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/629031,39.3502785,36.4101085,,station,
33,,,6. ITER TRACIAE.,Sebasteia-Kokussos-2,route,,,,Armaxa,Armaza,Armaxa,m. p.,XXVIII,m. p. XXVIII,28.0,,https://pleiades.stoa.org/places/628935,39.18618,36.0663835,,settlement,
34,,,6. ITER TRACIAE.,Sebasteia-Kokussos-2,route,,,,Eulepa,Eulepa,Eulepa,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/628974,39.02792,35.870839,,settlement,
35,,,6. ITER TRACIAE.,Sebasteia-Kokussos-2,route,,per,,Caesarea,Mazaca Caesarea,Mazaka/Eusebeia/Caesarea,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/629035,38.72640055,35.4743607,,settlement,
36,,,6. ITER TRACIAE.,Sebasteia-Kokussos-2,route,,,,Artaxata,Artaxata,Arasaxa,m. p.,XXVII,m. p. XXVII,27.0,,https://pleiades.stoa.org/places/628928,38.6239795,35.87671,,settlement,
37,,,6. ITER TRACIAE.,Sebasteia-Kokussos-2,route,,,,Coduzalaba,Coduzalaba,Coduzalaba,m. p.,XVIIII,m. p. XVIIII,19.0,,https://pleiades.stoa.org/places/629009,38.15395,35.786827,,settlement,
38,,,6. ITER TRACIAE.,Sebasteia-Kokussos-2,route,,,,Comana,Komana,Comana/Hierapolis/Chryse,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/628959,38.331325235828,36.3239848355357,,settlement,
39,,,6. ITER TRACIAE.,Sebasteia-Kokussos-2,route,,,,Ptandari,Tanadaris,Tanadaris,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/629091,38.422166,36.913591,,settlement,
40,,,6. ITER TRACIAE.,Sebasteia-Kokussos-2,route,,,,Cocuso,Kokussos,Kokousos,m. p.,XXXVIII,m. p. XXXVIII,38.0,,https://pleiades.stoa.org/places/629013,38.031581,36.4983445,,settlement,
43,,,6. ITER TRACIAE.,Sebasteia-Kokussos-3,route,,per compendium,,,Sebasteia,Sebasteia/Megalopolis?/Talaura?,,,,0.0,,https://pleiades.stoa.org/places/629075,39.7490195,37.016607,,settlement,
44,,,6. ITER TRACIAE.,Sebasteia-Kokussos-3,route,,,,Tonosa,Tonosa,Tonosa,m. p.,L,m. p. L,50.0,,https://pleiades.stoa.org/places/629099,39.283695,36.75576,,settlement,
45,,,6. ITER TRACIAE.,Sebasteia-Kokussos-3,route,,,,Ariarathia,Ariarathia,Ariaratheia,m. p.,L,m. p. L,50.0,,https://pleiades.stoa.org/places/628934,38.723507,36.392334,,settlement,
46,,,6. ITER TRACIAE.,Sebasteia-Kokussos-3,route,,,,Coduzalaba,Coduzalaba,Coduzalaba,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/629009,38.15395,35.786827,,settlement,
