sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,231.8-10,7. ITEM DE PANNONIIS IN GALLIAS,Sirmium-Treveri,main-route,per mediterranea loca id est a Sirmi per Sopianas Treveros usque:,,,Sirmi,Sirmium,Sirmium,,,,,,https://pleiades.stoa.org/places/207447,44.966447,19.610106,,,
2,,231.8-10,7. ITEM DE PANNONIIS IN GALLIAS,Sirmium-Treveri,main-route,per mediterranea loca id est a Sirmi per Sopianas Treveros usque:,,,Treveros,Treveri,Treveri,,,,,,https://pleiades.stoa.org/places/109390,49.7535677891071,6.37943916420393,,,
3,,231.11,7. ITEM DE PANNONIIS IN GALLIAS,Sirmium-Lauriacum,sum-route,A Sirmi Lauriaco m. p. CCCCXXXVII,,,Sirmi,Sirmium,Sirmium,,,,,,https://pleiades.stoa.org/places/207447,44.966447,19.610106,,,
4,,231.11,7. ITEM DE PANNONIIS IN GALLIAS,Sirmium-Lauriacum,sum-route,A Sirmi Lauriaco m. p. CCCCXXXVII,,,Lauriaco,Lauriacum,Lauriacum,m. p.,CCCCXXXVII, m. p. CCCCXXXVII,,,https://pleiades.stoa.org/places/118802,48.2186795,14.470479,,,
5,,232.1,7. ITEM DE PANNONIIS IN GALLIAS,Lauriacum-Augusta Vindelicorum,sum-route,,,,,Lauriacum,Lauriacum,,,,,,https://pleiades.stoa.org/places/118802,48.2186795,14.470479,,,
6,,232.1,7. ITEM DE PANNONIIS IN GALLIAS,Lauriacum-Augusta Vindelicorum,sum-route,"Augusta Vindelicum m. p. CCXVI,",,,Augusta Vindelicum,Augusta Vindelicum/Aelia Augusta,Augusta Vindelicum/Aelia Augusta,m. p.,CCXVI,m. p. CCXVI,,,https://pleiades.stoa.org/places/118580,48.365463,10.894765,,,
7,,232.2,7. ITEM DE PANNONIIS IN GALLIAS,Augusta Vindelicorum-Ad Fines,sum-route,,,,, Augusta Vindelicum/Aelia Augusta,,,,,,,https://pleiades.stoa.org/places/118580,48.365463,10.894765,,,
8,,232.2,7. ITEM DE PANNONIIS IN GALLIAS,Augusta Vindelicorum-Ad Fines,sum-route,"Ad Fines m. p. CXXXVI,",,,Ad Fines,Fines,Ad Fines,m. p.,CXXXVI,m. p. CXXXVI,,,https://pleiades.stoa.org/places/187249,47.5950575,8.9574465,,,
9,,232.3,7. ITEM DE PANNONIIS IN GALLIAS,Ad Fines-Treveri,sum-route,,,,,Fines,Ad Fines,,,,,,https://pleiades.stoa.org/places/187249,47.5950575,8.9574465,,,
10,,232.3,7. ITEM DE PANNONIIS IN GALLIAS,Ad Fines-Treveri,sum-route,"Treveros leugas, non m. p., CCXXI:",,,Treveros,Treveri,Treveri,leugas,CCXXI, leugas non m. p. CCXXI,,,https://pleiades.stoa.org/places/109390,49.7535677891071,6.37943916420393,,,
56,,241.1,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Colonia Ulpia Traiana,main-route,Item per ripam PANNONIAE a Daurono in GALLIS ad leg. XXX usque:,per ripam,,Taurino,Taurinum,Taurunum,,,,0.0,,https://pleiades.stoa.org/places/207488,44.835966,20.411502,,fort,"This is in fact Laurino/Taurino. Again, unclear division. There seems to be an attempt at defining larger sub-itineraries upfront, but the language is unclear and there are other portions in the text"
57,,241.1,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Colonia Ulpia Traiana,main-route,Item per ripam PANNONIAE a Daurono in GALLIS ad leg. XXX usque:,,,leg. XXX,Colonia Ulpia Traiana,Col. Ulpia Traiana/Tricensimae,,,,,,https://pleiades.stoa.org/places/108896,51.6679345,6.4481775,,,
58,,241.3,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,sum-route,A Taurino Lauriaco m. p. DLXXXVII,,,Taurino,Taurinum,Taurunum,,,,,,https://pleiades.stoa.org/places/207488,44.835966,20.411502,,,
59,,241.3,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,sum-route,A Taurino Lauriaco m. p. DLXXXVII,,,Lauriaco,Lauriacum,Lauriacum,m. p.,DLXXXVII,m. p. DLXXXVII,,,https://pleiades.stoa.org/places/118802,48.2186795,14.470479,,,
60,,241.4,7. ITEM DE PANNONIIS IN GALLIAS,Lauriacum-Augusta Vindelicum-1,sum-route,,,,,Lauriacum,Lauriacum,,,,,,https://pleiades.stoa.org/places/118802,48.2186795,14.470479,,,
61,,241.4,7. ITEM DE PANNONIIS IN GALLIAS,Lauriacum-Augusta Vindelicum-1,sum-route,inde Augusta Vindelicum m. p. XL,,,Augusta Vindelicum,Augusta Vindelicum/Aelia Augusta,Augusta Vindelicum/Aelia Augusta,m. p.,XL, m. p. XL,,,https://pleiades.stoa.org/places/118580,48.365463,10.894765,,,
62,,241.5,7. ITEM DE PANNONIIS IN GALLIAS,Augusta Vindelicum-Argentorate,sum-route,Argentorato m. p. XXXVIII,,,,Augusta Vindelicum/Aelia Augusta,Augusta Vindelicum/Aelia Augusta,,,,,,https://pleiades.stoa.org/places/118580,48.365463,10.894765,,,
63,,241.5,7. ITEM DE PANNONIIS IN GALLIAS,Augusta Vindelicum-Argentorate,sum-route,Argentorato m. p. XXXVIII,,,Argentorato,Argentorate,Argentorate,m. p.,XXXVIII, m. p. XXXVIII,,,https://pleiades.stoa.org/places/108754,48.582416,7.747407,,,
64,,241.6,7. ITEM DE PANNONIIS IN GALLIAS,Argentorate-Leg.XXX,sum-route,ad leg. XXX m. p. sic:,,,,Argentorate,Argentorate,,,,,,https://pleiades.stoa.org/places/108754,48.582416,7.747407,,,
65,,241.6,7. ITEM DE PANNONIIS IN GALLIAS,Argentorate-Leg.XXX,sum-route,ad leg. XXX m. p. sic:,,,ad leg. XXX,Col. Ulpia Traiana/Tricensimae,Col. Ulpia Traiana/Tricensimae,m. p.,?, m. p. ,,,https://pleiades.stoa.org/places/108896,51.6679345,6.4481775,,,
155,,256.4,7. ITEM DE PANNONIIS IN GALLIAS,Lauriacum-Veldidena,sum-route,Item a Lauriaco Veldidena:,,,Lauriaco,Lauriacum,Lauriacum,,,,,,https://pleiades.stoa.org/places/118802,48.2186795,14.470479,,,
156,,256.4,7. ITEM DE PANNONIIS IN GALLIAS,Lauriacum-Veldidena,sum-route,Item a Lauriaco Veldidena:,,,Veldidena,Veldidena,Veldidena,,?,?,,,https://pleiades.stoa.org/places/187608,47.253961,11.399902,,,
168,,258.2-3,7. ITEM DE PANNONIIS IN GALLIAS,Lauriacum-Augusta Vindelicum-2,sum-route,Item a Lauriaco per medium Augusta Vindelicum sive Brigantia m. p. CCCXI sic:,,,Lauriaco,Lauriacum,Lauriacum,,,,,,https://pleiades.stoa.org/places/118802,48.2186795,14.470479,,,
169,,258.2-3,7. ITEM DE PANNONIIS IN GALLIAS,Lauriacum-Augusta Vindelicum-2,sum-route,Item a Lauriaco per medium Augusta Vindelicum sive Brigantia m. p. CCCXI sic:,,,Augusta Vindelicum sive Brigantia,Augusta Vindelicum/Aelia Augusta,Augusta Vindelicum/Aelia Augusta,m. p.,CCCXI , m. p. CCCXI ,,,https://pleiades.stoa.org/places/118580,48.365463,10.894765,,,
183,,259.3,7. ITEM DE PANNONIIS IN GALLIAS,Pons Aeni-Castra,sum-route,Item a Ponte Aeni ad Castra m. p. CL:,,,Ponte Aeni,Pons Aeni,Pons Aeni,,,,,,https://pleiades.stoa.org/places/187516,47.856079,12.124016,,,
184,,259.3,7. ITEM DE PANNONIIS IN GALLIAS,Pons Aeni-Castra,sum-route,Item a Ponte Aeni ad Castra m. p. CL:,,,ad Castra,Boiodurum/Castra Batava,Boiodurum/Boiotro,m. p.,CL, m. p. CL,,,https://pleiades.stoa.org/places/118606,48.5723053,13.463311,,,
189,,259.7,7. ITEM DE PANNONIIS IN GALLIAS,Pons Aeni-Veldidena,sum-route,Item a Ponte Aeni Veldidena:,,,Ponte Aeni,Pons Aeni,Pons Aeni,,,,,,https://pleiades.stoa.org/places/187516,47.856079,12.124016,,,
190,,259.7,7. ITEM DE PANNONIIS IN GALLIAS,Pons Aeni-Veldidena,sum-route,Item a Ponte Aeni Veldidena:,,,Veldidena,Veldidena,Veldidena,,?,?,,,https://pleiades.stoa.org/places/187608,47.253961,11.399902,,,
195,,259.11-12,7. ITEM DE PANNONIIS IN GALLIAS,Emona-Sirmium,sum-route,Item ab Hemona per Sisciam Sirmi m. p. CCCXI sic:,,,Hemona,Emona,Emona,,,,,,https://pleiades.stoa.org/places/197258,46.051425,14.505963,,,
196,,259.11-12,7. ITEM DE PANNONIIS IN GALLIAS,Emona-Sirmium,sum-route,Item ab Hemona per Sisciam Sirmi m. p. CCCXI sic:,,,Sirmi,Sirmium,Sirmium,m. p.,CCCXI , m. p. CCCXI ,,,https://pleiades.stoa.org/places/207447,44.966447,19.610106,,,
211,,261.4,7. ITEM DE PANNONIIS IN GALLIAS,Vindobona-Poetovio,sum-route,Item a Vindobona Poetovione m. p. CLXXXIIII:,,,Vindobona,Vindobona,Vindobona,,,,,,https://pleiades.stoa.org/places/128537,48.211345,16.373946,,,
212,,261.4,7. ITEM DE PANNONIIS IN GALLIAS,Vindobona-Poetovio,sum-route,Item a Vindobona Poetovione m. p. CLXXXIIII:,,,Poetovione,Poetovio,Poetovio,m. p.,CLXXXIIII, m. p. CLXXXIIII,,,https://pleiades.stoa.org/places/197446,46.419985,15.86998,,,
221,,262.3,7. ITEM DE PANNONIIS IN GALLIAS,Poetovio-Carnuntum,sum-route,Item a Poetovione Carnunto m. p. CLXIIII sic:,,,Poetovione,Poetovio,Poetovio,,,,,,https://pleiades.stoa.org/places/197446,46.419985,15.86998,,,
222,,262.3,7. ITEM DE PANNONIIS IN GALLIAS,Poetovio-Carnuntum,sum-route,Item a Poetovione Carnunto m. p. CLXIIII sic:,,,Carnunto,Carnuntum,Carnuntum,m. p.,CLXIIII , m. p. CLXIIII ,,,https://pleiades.stoa.org/places/128376,48.113346,16.867891,,,
229,,262.9,7. ITEM DE PANNONIIS IN GALLIAS,Savaria-Brigetio,sum-route,A Sabaria Bregetione m. p. CII sic:,,,Sabaria,Savaria,Savaria,,,,,,https://pleiades.stoa.org/places/197498,47.235142,16.62192,,,
230,,262.9,7. ITEM DE PANNONIIS IN GALLIAS,Savaria-Brigetio,sum-route,A Sabaria Bregetione m. p. CII sic:,,,Bregetione,Brigetio,Brigetio,m. p.,CII , m. p. CII ,,,https://pleiades.stoa.org/places/197180,47.735239,18.169507,,,
