sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,265.5,8. De Italia per Histriam in Dalmatia.,Siscia-Mursa,sum-route,Item a Siscia Mursam m. p. CXXXIIII sic:,,,Siscia,Siscia,Siscia,,,,,,https://pleiades.stoa.org/places/197504,45.483168,16.371388,,,
2,,265.5,8. De Italia per Histriam in Dalmatia.,Siscia-Mursa,sum-route,Item a Siscia Mursam m. p. CXXXIIII sic:,,,Mursam,Mursa,Mursa,m. p.,CXXXIIII , m. p. CXXXIIII ,,,https://pleiades.stoa.org/places/197389,45.560018,18.675749,,,
9,,265.11,8. De Italia per Histriam in Dalmatia.,Poetovio-Siscia,sum-route,A Poetavione Siscia m. p. C:,,,Poetavione,Poetovio,Poetovio,,,,,,https://pleiades.stoa.org/places/197446,46.419985,15.86998,,,
10,,265.11,8. De Italia per Histriam in Dalmatia.,Poetovio-Siscia,sum-route,A Poetavione Siscia m. p. C:,,,Siscia,Siscia,Siscia,m. p.,C, m. p. C,,,https://pleiades.stoa.org/places/197504,45.483168,16.371388,,,
16,,266.4,8. De Italia per Histriam in Dalmatia.,Savaria-Vindobona,sum-route,A Sabaria Vindobona m. p. LXXXVIII sic:,,,Sabaria,Savaria,Savaria,,,,,,https://pleiades.stoa.org/places/197498,47.235142,16.62192,,,
17,,266.4,8. De Italia per Histriam in Dalmatia.,Savaria-Vindobona,sum-route,A Sabaria Vindobona m. p. LXXXVIII sic:,,,Vindobona,Vindobona,Vindobona,m. p.,LXXXVIII , m. p. LXXXVIII ,,,https://pleiades.stoa.org/places/128537,48.211345,16.373946,,,
22,,266.8-9,8. De Italia per Histriam in Dalmatia.,Aquincum-Crumerum,sum-route,Item ab Acinquo Crumero que castra constituta sint m. p. XLII:,,,Acinquo,Aquincum,Aquincum,,,,,,https://pleiades.stoa.org/places/197130,47.564075,19.049522,,,
23,,266.8-9,8. De Italia per Histriam in Dalmatia.,Aquincum-Crumerum,sum-route,Item ab Acinquo Crumero que castra constituta sint m. p. XLII:,,,Crumero,Crumerum,Crumerum,m. p.,XLII, m. p. XLII,,,https://pleiades.stoa.org/places/197232,47.7583058,18.5374485,,,
29,,266.14,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,sum-route,Item a Sirmio Carnunto m. p. CCCXI:,,,Sirmio,Sirmium,Sirmium,,,,,,https://pleiades.stoa.org/places/207447,44.966447,19.610106,,,
30,,266.14,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,sum-route,Item a Sirmio Carnunto m. p. CCCXI:,,,Carnunto,Carnuntum,Carnuntum,m. p.,CCCXI, m. p. CCCXI,,,https://pleiades.stoa.org/places/128376,48.113346,16.867891,,,
44,,267.13,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,sum-route,Item a Sirmio Salonas m. p. CCLXXXIIII:,,,Sirmio,Sirmium,Sirmium,,,,,,https://pleiades.stoa.org/places/207447,44.966447,19.610106,,,
45,,267.13,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,sum-route,Item a Sirmio Salonas m. p. CCLXXXIIII:,,,Salonas,Salona,Salona,m. p.,CCLXXXIIII, m. p. CCLXXXIIII,,,https://pleiades.stoa.org/places/197488,43.539561,16.483426,,,
62,,270.1-2,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,sum-route,Item ab Aquileia per Istriam Salonas m. p. CXCVIIII:,,,Aquileia,Aquileia,Aquileia,,,,,,https://pleiades.stoa.org/places/187290,45.769631,13.370946,,,
63,,270.1-2,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,sum-route,Item ab Aquileia per Istriam Salonas m. p. CXCVIIII:,,,Salonas,Salona,Salona,m. p.,CXCVIIII, m. p. CXCVIIII,,,https://pleiades.stoa.org/places/197488,43.539561,16.483426,,,
77,,272.8-9,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,sum-route,Ab Aquileia per Liburniam Sisciam m. p. CCXIII:,,,Aquileia,Aquileia,Aquileia,,,,,,https://pleiades.stoa.org/places/187290,45.769631,13.370946,,,
78,,272.8-9,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,sum-route,Ab Aquileia per Liburniam Sisciam m. p. CCXIII:,,,Sisciam,Segestica/Siscia?,Siscia,m. p.,CCXIII, m. p. CCXIII,,,https://pleiades.stoa.org/places/197504,45.483168,16.371388,,,
94,,274.8-9,8. De Italia per Histriam in Dalmatia.,Augusta Vindelicum-Verona,sum-route,Item ab Augusta Vindelicum Verona m. p. CCLXXII:,,,Augusta Vindelicum,Augusta Vindelicum/Aelia Augusta,Augusta Vindelicum/Aelia Augusta,,,,,,https://pleiades.stoa.org/places/118580,48.365463,10.894765,,,
95,,274.8-9,8. De Italia per Histriam in Dalmatia.,Augusta Vindelicum-Verona,sum-route,Item ab Augusta Vindelicum Verona m. p. CCLXXII:,,,Verona,Verona,Verona,m. p.,CCLXXII, m. p. CCLXXII,,,https://pleiades.stoa.org/places/383816,45.4421295463369,10.995736005074,,,
106,,276.1,8. De Italia per Histriam in Dalmatia.,Aquileia-Lauriacum,sum-route,Ab Aquileia Lauriaco m. p. CCLXXII:,,,Aquileia,Aquileia,Aquileia,,,,,,https://pleiades.stoa.org/places/187290,45.769631,13.370946,,,
107,,276.1,8. De Italia per Histriam in Dalmatia.,Aquileia-Lauriacum,sum-route,Ab Aquileia Lauriaco m. p. CCLXXII:,,,Lauriaco,Lauriacum,Lauriacum,m. p.,CCLXXII, m. p. CCLXXII,,,https://pleiades.stoa.org/places/118802,48.2186795,14.470479,,,
120,,277.4-5,8. De Italia per Histriam in Dalmatia.,Brigantium-Mediolanum,sum-route,A Brigantia per lacum Mediolanium m. p. CXXXVIII:,,,Brigantia,Brigantium,Brigantium,,,,,,https://pleiades.stoa.org/places/187325,47.503041,9.747061,,,
121,,277.4-5,8. De Italia per Histriam in Dalmatia.,Brigantium-Mediolanum,sum-route,A Brigantia per lacum Mediolanium m. p. CXXXVIII:,,,Mediolanium,Mediolanum,Mediolan(i)um,m. p.,CXXXVIII, m. p. CXXXVIII,,,https://pleiades.stoa.org/places/383706,45.463746,9.18806,,,
129,,278.3,8. De Italia per Histriam in Dalmatia.,Brigantium-Comum,sum-route,Alio itinere a Brigantia Comum m. p. CXCV sic:,,,Brigantia,Brigantium,Brigantium,,,,,,https://pleiades.stoa.org/places/187325,47.503041,9.747061,,,
130,,278.3,8. De Italia per Histriam in Dalmatia.,Brigantium-Comum,sum-route,Alio itinere a Brigantia Comum m. p. CXCV sic:,,,Comum,Comum,Comum,m. p.,CXCV , m. p. CXCV ,,,https://pleiades.stoa.org/places/383627,45.81192,9.085784,,,
137,,279.2-3,8. De Italia per Histriam in Dalmatia.,Aquileia-Veldidena,sum-route,Item ab Aquileia per conpendium Veldidena m. p. CCXV sic:,,,Aquileia,Aquileia,Aquileia,,,,,,https://pleiades.stoa.org/places/187290,45.769631,13.370946,,,
138,,279.2-3,8. De Italia per Histriam in Dalmatia.,Aquileia-Veldidena,sum-route,Item ab Aquileia per conpendium Veldidena m. p. CCXV sic:,,,Veldidena,Veldidena,Veldidena,m. p.,CCXV , m. p. CCXV ,,,https://pleiades.stoa.org/places/187608,47.253961,11.399902,,,
148,,280.5,8. De Italia per Histriam in Dalmatia.,Opitergium-Tridentum,sum-route,Ab Opitergio Tridento m. p. CX sic:,,,Opitergio,Opitergium,Opitergium,,,,,,https://pleiades.stoa.org/places/393459,45.781212,12.493677,,,
149,,280.5,8. De Italia per Histriam in Dalmatia.,Opitergium-Tridentum,sum-route,Ab Opitergio Tridento m. p. CX sic:,,,Tridento,Tridentum,Trident(i)um,m. p.,CX , m. p. CX ,,,https://pleiades.stoa.org/places/383804,46.0667685,11.119135,,,
155,,281.2,8. De Italia per Histriam in Dalmatia.,Aquileia-Bononia,sum-route,Item ab Aquileia Bononiam m. p. ?:,,,Aquileia,Aquileia,Aquileia,,,,,,https://pleiades.stoa.org/places/187290,45.769631,13.370946,,,
156,,281.2,8. De Italia per Histriam in Dalmatia.,Aquileia-Bononia,sum-route,Item ab Aquileia Bononiam m. p. ?:,,,Bononia,Bononia,Bononia,m. p.,?, m. p. ?,,,https://pleiades.stoa.org/places/206975,43.993221,22.8759,,,
167,,282.3,8. De Italia per Histriam in Dalmatia.,Verona-Bononia,sum-route,A Verona Bononia m. p. CV:,,,Verona,Verona,Verona,,,,,,https://pleiades.stoa.org/places/383816,45.4421295463369,10.995736005074,,,
168,,282.3,8. De Italia per Histriam in Dalmatia.,Verona-Bononia,sum-route,A Verona Bononia m. p. CV:,,,Bononia,Bononia,Bononia,m. p.,CV, m. p. CV,,,https://pleiades.stoa.org/places/206975,43.993221,22.8759,,,
174,,282.8,8. De Italia per Histriam in Dalmatia.,Vercellae-Laus Pompeia,sum-route,A Vercellas Laude m. p. LXX:,,,Vercellas,Vercellae,Vercellae,,,,,,https://pleiades.stoa.org/places/383815,45.321094,8.426374,,,
175,,282.8,8. De Italia per Histriam in Dalmatia.,Vercellae-Laus Pompeia,sum-route,A Vercellas Laude m. p. LXX:,,,Laude,Laus Pompeia,Laus Pompeia,m. p.,LXX, m. p. LXX,,,https://pleiades.stoa.org/places/383691,45.303456,9.418776,,,
180,,283.3,8. De Italia per Histriam in Dalmatia.,Cremona-Bononia,sum-route,A Cremona Bononia m. p. ?:,,,Cremona,Cremona,Cremona,,,,,,https://pleiades.stoa.org/places/383628,45.133639,10.026149,,,
181,,283.3,8. De Italia per Histriam in Dalmatia.,Cremona-Bononia,sum-route,A Cremona Bononia m. p. ?:,,,Bononia,Bononia,Bononia,m. p.,?, m. p. ?,,,https://pleiades.stoa.org/places/206975,43.993221,22.8759,,,
187,,283.8,8. De Italia per Histriam in Dalmatia.,Faventia-Luca,sum-route,Item a Faventia Luca m. p. CXX:,,,Faventia,Faventia,Faventia,,,,,,https://pleiades.stoa.org/places/393420,44.286236,11.883507,,,
188,,283.8,8. De Italia per Histriam in Dalmatia.,Faventia-Luca,sum-route,Item a Faventia Luca m. p. CXX:,,,Luca,Luca,Luca,m. p.,CXX, m. p. CXX,,,https://pleiades.stoa.org/places/403234,43.84184,10.50703,,,
