sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
3,,,8. De Italia per Histriam in Dalmatia.,Siscia-Mursa,route,,,,,Siscia,Siscia,,,,0.0,,https://pleiades.stoa.org/places/197504,45.483168,16.371388,,settlement,
4,,,8. De Italia per Histriam in Dalmatia.,Siscia-Mursa,route,,,,Varianis,Varianae,‘Varianis’,m. p.,XXIII,m. p. XXIII,23.0,,https://pleiades.stoa.org/places/197573,45.479229,16.776469,,station,
5,,,8. De Italia per Histriam in Dalmatia.,Siscia-Mursa,route,,,,Aquis Balissis,Aquae Balissae Menneianae,Aquae Balissae/Municipium Iasorum,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/197126,45.593653,17.224015,,settlement,
6,,,8. De Italia per Histriam in Dalmatia.,Siscia-Mursa,route,,,,Incero,Incero,‘Incero’,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/197319,45.377474,17.735551,,station,
7,,,8. De Italia per Histriam in Dalmatia.,Siscia-Mursa,route,,,,Stravianis,Stravianis,‘Stravianis’,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/197532,45.437653,18.035862,,station (road or coastal),
8,,,8. De Italia per Histriam in Dalmatia.,Siscia-Mursa,route,,,,Mursa,Mursa,Mursa,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/197389,45.560018,18.675749,,settlement,
11,,,8. De Italia per Histriam in Dalmatia.,Poetovio-Siscia,route,,,,,Poetovio,Poetovio,,,,0.0,,https://pleiades.stoa.org/places/197446,46.419985,15.86998,,settlement,
12,,,8. De Italia per Histriam in Dalmatia.,Poetovio-Siscia,route,,,,Aqua Viva,Aqua Viva,Aqua Viva,m. p.,XVIIII,m. p. XVIIII,19.0,,https://pleiades.stoa.org/places/197129,46.343945,16.233016,,station,
13,,,8. De Italia per Histriam in Dalmatia.,Poetovio-Siscia,route,,,,Pyrri,Pyrri,Pyrri,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/197461,46.002444,16.2846,,station,
14,,,8. De Italia per Histriam in Dalmatia.,Poetovio-Siscia,route,,,,Dautonia,Andautonia,Andautonia,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/197113,45.773624,16.11724,,settlement,
15,,,8. De Italia per Histriam in Dalmatia.,Poetovio-Siscia,route,,,,Siscia,Siscia,Siscia,m. p.,XXVII,m. p. XXVII,27.0,,https://pleiades.stoa.org/places/197504,45.483168,16.371388,,settlement,
18,,,8. De Italia per Histriam in Dalmatia.,Savaria-Vindobona,route,,,,,Savaria,Savaria,,,,0.0,,https://pleiades.stoa.org/places/197498,47.235142,16.62192,,settlement,
19,,,8. De Italia per Histriam in Dalmatia.,Savaria-Vindobona,route,,,,Scarabantia,Scarbantia,Scarbantia,m. p.,XXXIIII,m. p. XXXIIII,34.0,,https://pleiades.stoa.org/places/197501,47.684893,16.583036,,settlement,
20,,,8. De Italia per Histriam in Dalmatia.,Savaria-Vindobona,route,,,,Muteno,Mutenum,‘Muteno’,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/197393,47.936365,16.481762,,station,
21,,,8. De Italia per Histriam in Dalmatia.,Savaria-Vindobona,route,,,,Vindobona,Vindobona,Vindobona,m. p.,XXXVI,m. p. XXXVI,36.0,,https://pleiades.stoa.org/places/128537,48.211345,16.373946,,fort,
24,,,8. De Italia per Histriam in Dalmatia.,Aquincum-Crumerum,route,,,,,Aquincum,Aquincum,,,,0.0,,https://pleiades.stoa.org/places/197130,47.564075,19.049522,,settlement,
25,,,8. De Italia per Histriam in Dalmatia.,Aquincum-Crumerum,route,,,,Vlcisia castra,Ulcisia Castra,Ulcisia Castra/Castra Constantia,m. p.,VIIII,m. p. VIIII,9.0,,https://pleiades.stoa.org/places/197564,47.6649996699761,19.0729148540749,castra,fort,
26,,,8. De Italia per Histriam in Dalmatia.,Aquincum-Crumerum,route,,,,Cirpi mansio,Cirpi,Cirpi,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/197208,47.7826585,19.0549645,mansio,fort,
27,,,8. De Italia per Histriam in Dalmatia.,Aquincum-Crumerum,route,,ad,,Ad Herculem castra,Castra ad Herculem,Castra ad Herculem,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/197199,47.787477,18.8886335,castra,fort,
28,,,8. De Italia per Histriam in Dalmatia.,Aquincum-Crumerum,route,,,,Solva mansio,Solva,Solva,m. p.,VIIII,m. p. VIIII,9.0,,https://pleiades.stoa.org/places/197519,47.795813,18.7392875,mansio,fort,"The ending point is not really missing, the castra represent it."
31,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,route,,,,,Sirmium,Sirmium,,,,0.0,,https://pleiades.stoa.org/places/207447,44.966447,19.610106,,settlement,
32,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,route,,,,Vlmo,Ulmo,‘Ulmo’,m. p.,XXVI,m. p. XXVI,26.0,,https://pleiades.stoa.org/places/207525,45.16406,19.151556,,station,
33,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,route,,,,Cibalis,Cibalae,Cibalae,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/197207,45.291016,18.801056,,settlement,
34,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,route,,,,Mursa,Mursa,Mursa,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/197389,45.560018,18.675749,,settlement,
35,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,route,,,,Antianis,Antianae,Antiana,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/197120,45.804539,18.665075,,station,
