sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
3,,,9. Via Clodia.,Luca-Roma,route,,,,,Luca,Luca,,,,0.0,,https://pleiades.stoa.org/places/403234,43.84184,10.50703,,settlement,
4,,,9. Via Clodia.,Luca-Roma,route,,,,Pistoris,Pistoriae,Pistoriae,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/403254,43.932766,10.9182435,,settlement,
5,,,9. Via Clodia.,Luca-Roma,route,,,,Florentia,Florentia,Florentia,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/413138,43.768755,11.256929,,settlement,
6,,,9. Via Clodia.,Luca-Roma,route,,ad fines,,Ad Fines sive Casas Caesarianas,Casae Caesarianae,Ad Fines/Ad Casas Caesarianas,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/412993,43.75,11.75,,station,
7,,,9. Via Clodia.,Luca-Roma,route,,,,Arretio,Arretium,Arretium,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/413032,43.471274,11.863048,,settlement,
8,,,9. Via Clodia.,Luca-Roma,route,,ad,,Ad Statuas,Ad Statuas,Ad Statuas,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/412997,43.1484136,11.9011445,statuas,station,
9,,,9. Via Clodia.,Luca-Roma,route,,,,Clusio,Clusium,Clusium,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/413096,43.016367,11.9487025,,settlement,
10,,,9. Via Clodia.,Luca-Roma,route,,,,Vulsinis,Volsinii,Volsinii,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/413389,42.6480274167153,11.985107836434,,settlement,
11,,,9. Via Clodia.,Luca-Roma,route,,,,Foro Cassi,Forum Cassi,Forum Cassii,m. p.,XXVIII,m. p. XXVIII,28.0,,https://pleiades.stoa.org/places/413144,42.3306343445399,12.0715965330815,forum,settlement,
12,,,9. Via Clodia.,Luca-Roma,route,,,,Sutrio,Sutrium,Sutrium,m. p.,XI,m. p. XI,11.0,,https://pleiades.stoa.org/places/413328,42.242794,12.220462,,settlement,
13,,,9. Via Clodia.,Luca-Roma,route,,,,Baccanas,Baccanae,Baccanae,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/413050,42.1266374463065,12.3600934668339,,station,
