UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMANDERS,NUMBER OF SHIPS,NUMBER OF SOLDIERS
891bb31b-8fe3-405a-b908-d45e063b39c6,Catalogue of ships - Il. 2.txt,Zeus,char-offset:475,PERSON,,,,,,,,,,,
daf93a85-c5db-406f-9e2c-739d2ba33b83,Catalogue of ships - Il. 2.txt,Peneleos,char-offset:588,PERSON,,,,,,,,,,,
dcd064fa-9676-4036-a69a-86679ebc4827,Catalogue of ships - Il. 2.txt,Leitos,char-offset:598,PERSON,,,,,,,,,,,
b959716e-861b-4255-8e92-afdefb58dd0e,Catalogue of ships - Il. 2.txt,Arkesilaos,char-offset:607,PERSON,,,,,,,,,,,
91fd10ec-dc11-4bd5-b879-173ccb550ad5,Catalogue of ships - Il. 2.txt,Prothoenor,char-offset:619,PERSON,,,,,,,,,,,
8a17ea05-b00b-476e-8dee-9ae15c053e88,Catalogue of ships - Il. 2.txt,Klonios,char-offset:635,PERSON,,,,,,,,,,,
846e4219-2a63-4305-85bb-142dc4118cc8,Catalogue of ships - Il. 2.txt,Boeotians,char-offset:663,PLACE,http://pleiades.stoa.org/places/540689,Boeotia,-0550/0300,38.34668803333330,23.184677533333300,region,VERIFIED,Boeotians,"Arkesilaos, Prothoenor, Klonios",50,600
b7dcbd12-044c-45c3-a88e-f47ee81924b2,Catalogue of ships - Il. 2.txt,Hyria,char-offset:704,PLACE,http://pleiades.stoa.org/places/540830,"Hyria|Hyria, Tseloneri",-0750/0640,38.456822,23.564791,settlement,VERIFIED,Boeotians,"Arkesilaos, Prothoenor, Klonios",,
174bf9a1-5cd2-4738-8d45-31b6f15c486e,Catalogue of ships - Il. 2.txt,Aulis,char-offset:720,PLACE,http://pleiades.stoa.org/places/579889,"Aulis|Aulis, Mikro Vathy/Ag. Nikolaos",-0750/0640,38.4335,23.5925,settlement,VERIFIED,Boeotians,"Arkesilaos, Prothoenor, Klonios",,
ae3a6bef-6218-45d1-b9b4-72e219bc4d87,Catalogue of ships - Il. 2.txt,Schoinos,char-offset:740,PLACE,http://pleiades.stoa.org/places/541091,"Schoinos|Schoinos, Mouriki",-0750/0640,38.4274,23.362092,settlement,VERIFIED,Boeotians,"Arkesilaos, Prothoenor, Klonios",,
e47d4526-3b2f-4b10-8fe1-5086128b1f33,Catalogue of ships - Il. 2.txt,Skolos,char-offset:750,PLACE,http://pleiades.stoa.org/places/541106,"Skolos|Skolos, Soros",-0750/0640,38.317722,23.403247,settlement,VERIFIED,Boeotians,"Arkesilaos, Prothoenor, Klonios",,
3ba0a6b9-6697-4d6a-968c-0a3791ac17ad,Catalogue of ships - Il. 2.txt,Eteonos,char-offset:779,PLACE,http://pleiades.stoa.org/places/543704,Eteonos/Skaphaliai,,,,unlocated,VERIFIED,Boeotians,"Arkesilaos, Prothoenor, Klonios",,
c94298b7-a9a9-436e-9961-2db11673c38f,Catalogue of ships - Il. 2.txt,Thespeia,char-offset:793,PLACE,http://pleiades.stoa.org/places/541141,"Thespiai|Thespiai/Thespeia/Thespiae, Erimokastro",-0750/0640,38.293384,23.154521,settlement,VERIFIED,Boeotians,"Arkesilaos, Prothoenor, Klonios",,
084cac3e-edc1-418c-b6fc-91f894c5a76c,Catalogue of ships - Il. 2.txt,Graia,char-offset:803,PLACE,http://pleiades.stoa.org/places/540796,"Graia|Graia, Dramesi",-0750/-0330,38.387159,23.630098,settlement,VERIFIED,Boeotians,"Arkesilaos, Prothoenor, Klonios",,
64007063-bff6-45ab-b66b-aee4044c7c70,Catalogue of ships - Il. 2.txt,Mykalessos,char-offset:831,PLACE,http://pleiades.stoa.org/places/540953,"Mykalessos|Mykalessos, Rhitsona",-0750/0640,38.415804,23.545847,settlement,VERIFIED,Boeotians,"Arkesilaos, Prothoenor, Klonios",,
2063ce42-977a-4d6e-a7de-5dd72f1e1818,Catalogue of ships - Il. 2.txt,Harma,char-offset:858,PLACE,http://pleiades.stoa.org/places/579943,Harma,-0550/0300,38.125,23.625,unknown,VERIFIED,Boeotians,"Arkesilaos, Prothoenor, Klonios",,
