"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"8a0a8031-ca11-430e-aae7-6005c57dae66","Part_1.txt","Bordeaux","char-offset:18","PLACE","http://dare.ht.lu.se/places/147","Burdigala|Mithraeum, Bordeaux|Burdigala, Bordeaux|Piliers de Tutelle, Bordeaux|Bordeaux","-0030/2100","44.834764","-0.573687","amphitheatre,settlement","VERIFIED","",""
"0f638580-bdb9-43eb-8b48-3ab1c0e5b8ed","Part_1.txt","Milan","char-offset:30","PLACE","http://dare.ht.lu.se/places/1445","Mediolan(i)um|Mediolanium/Mediolanum, Milano|Milan","-0550/2100","45.4637","9.1881","urban,settlement","VERIFIED","",""
"77742db4-af2c-4271-bc5c-419bb5e49b3f","Part_1.txt","Bordeaux","char-offset:74","PLACE","http://dare.ht.lu.se/places/147","Burdigala|Mithraeum, Bordeaux|Burdigala, Bordeaux|Piliers de Tutelle, Bordeaux|Bordeaux","-0030/2100","44.834764","-0.573687","amphitheatre,settlement","VERIFIED","",""
"0b00e6bf-a8a5-4588-842b-4e121f04777b","Part_1.txt","Bordeaux","char-offset:74","PLACE","http://dare.ht.lu.se/places/147","Burdigala|Mithraeum, Bordeaux|Burdigala, Bordeaux|Piliers de Tutelle, Bordeaux|Bordeaux","-0030/2100","44.834764","-0.573687","amphitheatre,settlement","UNVERIFIED","",""
"cc5a9875-fbc2-449c-b90e-0091b770bc4e","Part_1.txt","Jerusalem","char-offset:86","PLACE","http://dare.ht.lu.se/places/15896","Ierusalem/Hierosolyma/Col. Aelia Capitolina|Ierusalem/Hierosolyma/Col. Aelia Capitolina, Jerusalem","-3300/2000","31.776667","35.234167","church-2,settlement,temple-2","VERIFIED","","yep I'm sure"
"8776bf99-6de5-4ef1-b5ed-f94492363151","Part_1.txt","Heraclea","char-offset:106","PLACE","http://dare.ht.lu.se/places/21254","Heraclea|Heraclea/Herakleia, Karadeniz Ereğli","-0550/0640","41.284722","31.414722","settlement","VERIFIED","",""
"a9be53d5-bddf-4a80-8efd-5198580bb5fa","Part_1.txt","Aulon","char-offset:132","PLACE","http://pleiades.stoa.org/places/446222","Aulon","-0030/0300","","","unlocated","UNVERIFIED","",""
"a6fe0f08-ee6d-4dee-9360-85303cfbcc92","Part_1.txt","Rome","char-offset:172","PLACE","http://dare.ht.lu.se/places/1438","Roma|Roma, Roma|Rome","-0750/2100","41.89262","12.4843457","settlement,urban","UNVERIFIED","",""
"76c662ce-95a4-4494-ab4f-97b6864fde06","Part_1.txt","Milan","char-offset:180","PLACE","http://dare.ht.lu.se/places/1445","Mediolan(i)um|Mediolanium/Mediolanum, Milano|Milan","-0550/2100","45.4637","9.1881","urban,settlement","UNVERIFIED","",""
"4294abb0-9dbd-49d6-a17e-f821755c3b0e","Part_1.txt","Bordigala","char-offset:212","PLACE","http://pleiades.stoa.org/places/138248","Burdigala|Mithraeum, Bordeaux|Burdigala, Bordeaux|Piliers de Tutelle, Bordeaux|Bordeaux","-0030/2100","44.834764","-0.573687","amphitheatre,settlement","VERIFIED","",""
"fdd4a9cd-d17a-4f0d-9be7-fa081c3731cf","Part_1.txt","Garonne","char-offset:253","PLACE","http://dare.ht.lu.se/places/10971","Garumna (river)|Garumna, Garonne (La)","-0330/0640","45.585693","-1.047134","river","VERIFIED","",""
"48d1374c-7234-4936-9230-73791306a53e","Part_1.txt","Stomatae","char-offset:368","PLACE","","","","","","","UNVERIFIED","",""
"1b39ba7c-0351-40d8-8e8f-ea0ec20965da","Part_1.txt","Senone","char-offset:412","PLACE","","","","","","","UNVERIFIED","",""
"9033ca57-b2fd-4769-8196-bc103313ac26","Part_1.txt","Vasates","char-offset:464","PLACE","http://pleiades.stoa.org/places/138313","Cossium|Cossium/Vasatis, Bazas|Bazas","-0030/0640","44.43146","-0.20973","settlement","VERIFIED","city",""
"41f6c225-cf67-4ace-aea2-53dc5e33c15d","Part_1.txt","Bazas","char-offset:481","PLACE","http://dare.ht.lu.se/places/148","Cossium|Cossium/Vasatis, Bazas|Bazas","-0030/0640","44.43146","-0.20973","settlement","UNVERIFIED","",""
"86ea105f-9528-4d17-bb0e-d7b2dd2466f9","Part_1.txt","Three Trees","char-offset:514","PLACE","","","","","","","UNVERIFIED","",""
"cae3e2d0-26fc-465a-9d0c-2fd0f172a2eb","Part_1.txt","Oscineium","char-offset:549","PLACE","","","","","","","UNVERIFIED","",""
"867b7933-e03f-4c56-89ec-c6fbde2b9b27","Part_1.txt","Scotium","char-offset:599","PLACE","","","","","","","UNVERIFIED","",""
"75faa48a-9493-4945-90b8-230b3eb6fa48","Part_1.txt","Elusa","char-offset:645","PLACE","http://dare.ht.lu.se/places/401","Elusa|Elusa, Eauze|Eauze","-0030/2100","43.8611","0.1032","settlement","VERIFIED","",""
"0347381a-7d4a-49eb-92cc-620dcfbe1602","Part_1.txt","Eauze","char-offset:652","PLACE","http://dare.ht.lu.se/places/401","Elusa|Elusa, Eauze|Eauze","-0030/2100","43.8611","0.1032","settlement","UNVERIFIED","",""
"88678fa5-9cae-4e1a-bc92-691b271ca77a","Part_1.txt","Vanesia","char-offset:685","PLACE","http://dare.ht.lu.se/places/11142","Vanesia|Vanesia, Saint-Jean-Poutge","-0030/0640","43.724899","0.377856","station","VERIFIED","",""
"80d8c6e5-f180-4c92-b541-6363dfad648c","Part_1.txt","Buccones","char-offset:866","PLACE","","","","","","","UNVERIFIED","",""
"edba2491-9564-4940-8492-d6e74b2ba724","Part_1.txt","Jupiter","char-offset:943","PLACE","","","","","","","UNVERIFIED","",""
"f0d575e6-bac7-46d7-933f-9458f34194b8","Part_1.txt","Tolosa","char-offset:974","PLACE","http://sws.geonames.org/3108008","Tolosa","","43.13484","-2.07801","","UNVERIFIED","",""
"ec08002e-8b2c-4b31-b7b9-0845340a62c7","Part_1.txt","Toulouse","char-offset:982","PLACE","http://dare.ht.lu.se/places/153","Purpan|Purpan-Ancely|Tolosa|Tolosa, Toulouse|Toulouse","-0330/2100","43.6147918","1.3976884","amphitheatre,settlement","UNVERIFIED","",""
"d63ec36a-65b9-4c6e-b58c-287374350d4b","Part_1.txt","Elusio","char-offset:1111","PLACE","http://dare.ht.lu.se/places/11106","Elusio|Elusio, Saint-Pierre-d'Alzonne, Montferrand","-0330/2100","43.360676","1.8173718","station","UNVERIFIED","",""
"9bc0e1c1-194a-417a-a610-60a00516d0b7","Part_1.txt","Castelnaudary","char-offset:1152","PLACE","http://dare.ht.lu.se/places/11152","Sostomagus|Sostomagus, Castelnaudary|Castelnaudary","-0330/2100","43.31705","1.95681","station","UNVERIFIED","",""
"ab80c366-69eb-42e8-97dc-9c4584d9b2f7","Part_1.txt","Caedri","char-offset:1228","PLACE","","","","","","","UNVERIFIED","",""
"ad7f4151-ef18-4b47-8f9a-11c8ef7eee99","Part_1.txt","Carcasso","char-offset:1259","PLACE","http://dare.ht.lu.se/places/155","Carcas(s)o/Col. Iulia|Carcasso/Carcaso/Col. Iulia, Carcassonne|Carcassonne","-0330/2100","43.205842","2.364076","settlement","UNVERIFIED","",""
"730cfe96-c487-4c1e-b916-ab29dcb4dfab","Part_1.txt","Carcassonne","char-offset:1269","PLACE","http://dare.ht.lu.se/places/155","Carcas(s)o/Col. Iulia|Carcasso/Carcaso/Col. Iulia, Carcassonne|Carcassonne","-0330/2100","43.205842","2.364076","settlement","UNVERIFIED","",""
"2f546c93-17e5-4f49-a60d-3b52ee27ee67","Part_1.txt","Hosuerbas","char-offset:1366","PLACE","","","","","","","UNVERIFIED","",""
"26fb8b85-5586-429e-b8e3-23a9f71fda07","Part_1.txt","Narbo","char-offset:1396","PLACE","http://dare.ht.lu.se/places/156","Col. Narbo Martius|Col. Narbo Martius, Narbonne|Narbonne","-0750/2100","43.184722","3.003611","settlement","UNVERIFIED","",""
"e0b88348-ae64-4f54-bb39-bdbd832dfcd2","Part_1.txt","Cessaro","char-offset:1484","PLACE","","","","","","","UNVERIFIED","",""
"78cba302-b13b-4139-ad76-b9d06d52e92d","Part_1.txt","Araura","char-offset:1502","PLACE","http://dare.ht.lu.se/places/8020","Araura/Cessero|Cessero/Araura, Saint-Thibéry|Pont romain, Saint-Thibéry|Saint-Thibéry","-0750/2100","43.3951","3.4206","settlement","UNVERIFIED","",""
"115e3c75-cd4d-461e-b979-9321eaeacd7b","Part_1.txt","St. Thibéry","char-offset:1510","PLACE","http://dare.ht.lu.se/places/8020","Araura/Cessero|Cessero/Araura, Saint-Thibéry|Pont romain, Saint-Thibéry|Saint-Thibéry","-0750/2100","43.3951","3.4206","settlement","UNVERIFIED","",""
"95d6b61e-9af0-4116-8a0d-f04353a4b8bb","Part_1.txt","Forum Domiti","char-offset:1546","PLACE","","","","","","","UNVERIFIED","",""
"8c23c51a-6766-43fa-9e83-defa4b18b65e","Part_1.txt","Sustantio","char-offset:1584","PLACE","","","","","","","UNVERIFIED","",""
"0bbf4644-9731-44a3-8bff-fc0f77c1c154","Part_1.txt","Soustantion","char-offset:1606","PLACE","","","","","","","UNVERIFIED","",""
"5344ea20-97a1-46d4-8e39-a42f9bf04233","Part_1.txt","Bellegarde","char-offset:1746","PLACE","http://dare.ht.lu.se/places/11171","Pons Aerarius|Pons Aerarius, Bellegarde|Bellegarde","0300/0640","43.753814","4.5144978","station","UNVERIFIED","",""
