title,uri,type,representative_latitude,representative_longitude,location_precision
Gallia,https://pleiades.stoa.org/places/993,region,46.61860891429200,1.145370215336240,rough
House of the Ceii,https://pleiades.stoa.org/places/999909607,townhouse,40.7500099,14.4895058,precise
House of the Lararium of Achilles,https://pleiades.stoa.org/places/999909608,townhouse,40.7503865,14.4893686,precise
Monte Tamburino necropolis,https://pleiades.stoa.org/places/999917206,cemetery,44.2723222,11.3758803,precise
Circuit wall of Rusellae,https://pleiades.stoa.org/places/999951524,city-wall,42.82964519246920,11.163118758899800,precise
"Alto Chacón, Teruel",https://pleiades.stoa.org/places/999013462,fortified-settlement,40.34465678065780,-1.153034090448620,precise
Yibna Bridge,https://pleiades.stoa.org/places/99965183,bridge,31.869431000000000,34.752263400000000,precise
Sep. Scipionum,https://pleiades.stoa.org/places/999196280,tomb,41.87589679233390,12.500409194661000,precise
Tel Mor,https://pleiades.stoa.org/places/999180093,settlement,31.8230961,34.6564616,precise
Statues of Harmodios and Aristogeiton,https://pleiades.stoa.org/places/999238742,monument,37.97519715651610,23.72244721791900,rough
Møllegårdsmarken,https://pleiades.stoa.org/places/99010,cemetery,55.131998,10.701462,precise
Tubantes,https://pleiades.stoa.org/places/99047,people,52.5,6.5,rough
Mannaricium,https://pleiades.stoa.org/places/99006,fort,51.9662405,5.424049500000000,precise
Reudigni,https://pleiades.stoa.org/places/99026,label,53.94402980922600,10.259807129529200,precise
Rullstorf,https://pleiades.stoa.org/places/99030,settlement,53.286333,10.529762,precise
Wijster,https://pleiades.stoa.org/places/99066,settlement,52.815232,6.515659,precise
Marwedel,https://pleiades.stoa.org/places/99007,cemetery,53.143956,11.038789,precise
(Ulme)Rugii,https://pleiades.stoa.org/places/99050,label,54.18407907538430,12.797486915479100,precise
Traiectum,https://pleiades.stoa.org/places/99046,fortified-settlement,52.090934000000000,5.1220985,precise
Kastell Op de Hoge Woerd,https://pleiades.stoa.org/places/99061,bath,52.08717313809290,5.041778437545960,precise
Velp,https://pleiades.stoa.org/places/99057,settlement,51.994623,5.975467,precise
Lintorf,https://pleiades.stoa.org/places/99000,settlement,52.307214,8.431214,precise
Lohe,https://pleiades.stoa.org/places/99001,settlement,52.481179,7.520654,precise
Varpelev,https://pleiades.stoa.org/places/99056,cemetery,55.355891,12.279503,precise
Suebi,https://pleiades.stoa.org/places/99040,label,52.11133520034940,12.114906190579200,precise
Nydam,https://pleiades.stoa.org/places/99017,settlement,54.952169,9.723185,precise
Visurgis (river),https://pleiades.stoa.org/places/99060,river,52.47688178450560,9.09547053575946,precise
Sigoulones?,https://pleiades.stoa.org/places/99037,label,54.43699338528420,9.487941373308920,precise
Praetorium Agrippinae,https://pleiades.stoa.org/places/99021,fort-2,52.1798775,4.4330035,precise
Westerwanna,https://pleiades.stoa.org/places/99063,cemetery,53.741714,8.779361,precise
Salii?,https://pleiades.stoa.org/places/99034,label,52.41095109403300,6.607109955048890,precise
Putensen,https://pleiades.stoa.org/places/99022,cemetery,53.196324,10.196003,precise
Vimose,https://pleiades.stoa.org/places/99059,settlement,55.459989,10.179996,precise
Suari(do)nes,https://pleiades.stoa.org/places/99038,label,53.495599758270300,11.10123655177360,precise
Loo-Loowaard,https://pleiades.stoa.org/places/99002,fort,51.925560000000000,5.9884015,precise
Varini,https://pleiades.stoa.org/places/99055,region,53.5,12.5,precise
Teutoburgiensis? Saltus,https://pleiades.stoa.org/places/99043,forest,52.2303698,7.752819,precise
