"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"c5e06175-9831-4b93-842d-428ef57c852c","Strabo, 10.4.1-22.txt","Πελοποννήσου","char-offset:28","PLACE","http://pleiades.stoa.org/places/570577","Peloponnesus/Peloponnesos/Peloponnese","-0550/0640","37.25289777692308","22.312752688461543","peninsula,region","VERIFIED","",""
"e10917cf-a3b5-48a1-8944-fce17f20cda6","Strabo, 10.4.1-22.txt","νήσων","char-offset:41","PLACE","","","","","","","UNVERIFIED","island",""
"0b61d220-ac91-4401-87cf-3a400170110a","Strabo, 10.4.1-22.txt","τῶν","char-offset:72","PLACE","","","","","","","NOT_IDENTIFIABLE","island",""
"a2d2b3f0-5f63-43bf-a524-e114c2126206","Strabo, 10.4.1-22.txt","τῶν ἐν τῷ Κορινθιακῷ κόλπῳ","char-offset:72","EVENT","","","","","","","","orientation|relative",""
"f1e78c61-42d3-4013-a937-1cfcacfde4a0","Strabo, 10.4.1-22.txt","Κορινθιακῷ κόλπῳ","char-offset:82","PLACE","http://pleiades.stoa.org/places/570181","Corinthiacus Sinus","","38.175407050000004","22.395744800000003","water-open","VERIFIED","gulf",""
"e4101629-1f99-4ddc-8d4a-b878149b3248","Strabo, 10.4.1-22.txt","τῶν","char-offset:103","PLACE","","","","","","","NOT_IDENTIFIABLE","island",""
"8816e873-64be-42ed-97d7-f9296fbaaff1","Strabo, 10.4.1-22.txt","τῶν πρὸ αὐτοῦ","char-offset:103","EVENT","","","","","","","","orientation|relative",""
"894a8033-070c-405c-880f-c402b582c21d","Strabo, 10.4.1-22.txt","αὐτοῦ","char-offset:111","PLACE","http://pleiades.stoa.org/places/570181","Corinthiacus Sinus","","38.175407050000004","22.395744800000003","water-open","VERIFIED","gulf",""
"b391f31e-b1c2-4ac5-8708-1f82cf84746a","Strabo, 10.4.1-22.txt","Κρήτης","char-offset:127","PLACE","http://pleiades.stoa.org/places/589748","Creta (island)","-0750/2100","35.21984439173344","24.995769971494504","island","VERIFIED","island",""
"a3882150-b4f1-42b2-8738-53682b89e2b0","Strabo, 10.4.1-22.txt","Πελοποννήσου","char-offset:166","PLACE","http://pleiades.stoa.org/places/570577","Peloponnesus/Peloponnesos/Peloponnese","-0550/0640","37.25289777692308","22.312752688461543","peninsula,region","VERIFIED","",""
"2f33f847-1757-4e97-a2be-3a8d19941862","Strabo, 10.4.1-22.txt","Κρήτην","char-offset:205","PLACE","http://pleiades.stoa.org/places/589748","Creta (island)","-0750/2100","35.21984439173344","24.995769971494504","island","VERIFIED","island",""
"66d84d51-e962-490f-b363-641486653982","Strabo, 10.4.1-22.txt","Κυκλάδες","char-offset:233","PLACE","http://pleiades.stoa.org/places/560353","Cyclades Islands","-0030/0300","37.0415464153846","25.139512376923083","island,archipelago","VERIFIED","archipelago",""
"f26a6cc0-c50f-4fcc-bf44-a829b4a5815a","Strabo, 10.4.1-22.txt","Σποράδες","char-offset:254","PLACE","http://pleiades.stoa.org/places/599944","Sporades (archipelago)","-0030/0300","38.59845930000001","25.71077449166667","island,archipelago","VERIFIED","archipelago",""
"38e50616-7962-4d10-9b9b-1fff532d0642","Strabo, 10.4.1-22.txt","Κρήτης","char-offset:319","PLACE","http://pleiades.stoa.org/places/589748","Creta (island)","-0750/2100","35.21984439173344","24.995769971494504","island","VERIFIED","island",""
"c5a04fc7-f7ed-4da8-b706-0645f8529cd0","Strabo, 10.4.1-22.txt","Εὔδοξος","char-offset:342","PERSON","","","","","","","","author",""
"7dc90cd2-3b49-406a-8569-6a5b3679b754","Strabo, 10.4.1-22.txt","ἐν τῷ Αἰγαίῳ","char-offset:358","EVENT","","","","","","","","orientation|relative",""
"5f653f53-4641-419a-a2cd-128de27174a3","Strabo, 10.4.1-22.txt","Αἰγαίῳ","char-offset:364","PLACE","http://pleiades.stoa.org/places/560221","Aegaeum Mare","-0550/2100","37.42245628773585","25.8829628235849","water-open","VERIFIED","pelagos",""
"1b1f3509-0291-4545-a884-0b30ed86f8d6","Strabo, 10.4.1-22.txt","μεταξὺ τῆς Κυρηναίας καὶ τῆς Ἑλλάδος","char-offset:427","EVENT","","","","","","","","orientation|relative",""
"19942169-ee32-4948-8ed1-68250f3041ca","Strabo, 10.4.1-22.txt","Κυρηναίας","char-offset:438","PLACE","http://pleiades.stoa.org/places/373777","Cyrenaica","-0030/0300","32.5492926758593","21.61781634320689","region","VERIFIED","region",""
"75f326d3-9a3f-48ca-9b9b-b2d7cf08787e","Strabo, 10.4.1-22.txt","Ἑλλάδος","char-offset:456","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","region",""
"66697048-d4fa-42cc-998a-8ded09bc42ae","Strabo, 10.4.1-22.txt","τῆς ἀπὸ Σουνίου","char-offset:464","EVENT","","","","","","","","orientation|relative",""
"24215061-462f-43dd-a57b-773d20811157","Strabo, 10.4.1-22.txt","Σουνίου","char-offset:472","PLACE","","","","","","","UNVERIFIED","",""
"dc3eb6d9-bc27-469d-aa14-f71a472a7d49","Strabo, 10.4.1-22.txt","μέχρι τῆς Λακωνικῆς","char-offset:480","EVENT","","","","","","","","orientation|relative",""
"4ad4351e-7a4a-4f5e-a674-1e0220ac7950","Strabo, 10.4.1-22.txt","Λακωνικῆς","char-offset:490","PLACE","http://pleiades.stoa.org/places/570406","Lacedaemon/Laconia","-0750/0300","37.07624042080912","22.46082645177671","region","VERIFIED","region",""
"5e1a6d7a-ae33-4d24-bcdc-30ce7eb955f6","Strabo, 10.4.1-22.txt","ἐπὶ μῆκος ταύταις ταῖς χώραις παράλληλον","char-offset:501","EVENT","","","","","","","","orientation|relative",""
"84fbdb4a-05f4-45e6-89d0-cc6dae401724","Strabo, 10.4.1-22.txt","ἀπὸ τῆς ἑσπέρας","char-offset:542","EVENT","","","","","","","","orientation|absolute",""
"c66dae90-c785-4b3c-ad15-98f3ceabcdff","Strabo, 10.4.1-22.txt","ἐπὶ τὴν ἕω","char-offset:558","EVENT","","","","","","","","orientation|absolute",""
"492bd3c5-add1-4135-b6ad-d8ee0515a226","Strabo, 10.4.1-22.txt","ἀπὸ μὲν τῶν ἄρκτων τῷ Αἰγαίῳ πελάγει καὶ τῷ Κρητικῷ","char-offset:583","EVENT","","","","","","","","orientation|absolute",""
"bce6238d-b001-471b-98d7-c9082406fd67","Strabo, 10.4.1-22.txt","Αἰγαίῳ","char-offset:605","PLACE","http://pleiades.stoa.org/places/560221","Aegaeum Mare","-0550/2100","37.42245628773585","25.8829628235849","water-open","VERIFIED","pelagos",""
"49dfcde2-6efe-4bcf-a5bb-f81426851c6e","Strabo, 10.4.1-22.txt","Κρητικῷ","char-offset:627","PLACE","http://pleiades.stoa.org/places/589749","Creticum Mare","-0030/0300","35.75","24.75","water-open","VERIFIED","pelagos",""
"7981ec4d-b15d-4414-8287-054ef788858b","Strabo, 10.4.1-22.txt","ἀπὸ δὲ τοῦ νότου τῷ Λιβυκῷ","char-offset:636","EVENT","","","","","","","","orientation|absolute",""
"f9fa5f2c-2db5-4338-bd35-f1537be8ff93","Strabo, 10.4.1-22.txt","Λιβυκῷ","char-offset:656","PLACE","http://pleiades.stoa.org/places/716590","Libycum Mare","","31.5","25.5","water-open","VERIFIED","pelagos",""
"e9766e15-ca42-49b8-b745-f26cfbbdc520","Strabo, 10.4.1-22.txt","τῷ συνάπτοντι πρὸς τὸ Αἰγύπτιον πέλαγος","char-offset:663","EVENT","","","","","","","","orientation|relative",""
"22ece748-a89f-405f-9c73-2901c1511a19","Strabo, 10.4.1-22.txt","Αἰγύπτιον","char-offset:685","PLACE","http://pleiades.stoa.org/places/727067","Aegyptium Mare","-0550/0300","31.15802","32.68554","water-open","VERIFIED","pelagos",""
"b6abd76c-5544-4a6b-a27d-4bb6bab22dba","Strabo, 10.4.1-22.txt","τῶν δὲ ἄκρων","char-offset:704","PLACE","","","","","","","UNVERIFIED","",""
"3d09d64d-0243-406b-902e-238a40a8d3e7","Strabo, 10.4.1-22.txt","τὸ μὲν ἑσπέριόν","char-offset:717","EVENT","","","","","","","","direction|absolute",""
"62ecd3a6-9d91-4579-83a8-7750c95b1e1c","Strabo, 10.4.1-22.txt","τὸ περὶ Φαλάσαρνα","char-offset:738","EVENT","","","","","","","","direction|relative",""
"8b95e1d9-11c7-49f9-97ea-a5afb4f87372","Strabo, 10.4.1-22.txt","Φαλάσαρνα","char-offset:746","PLACE","http://pleiades.stoa.org/places/589989","Phalasarna|Phalasarna, Phalasarna","-0750/-0030","35.51074","23.5700273","settlement,port","VERIFIED","",""
"bd9163d8-6366-419f-93bd-53e68916a5ec","Strabo, 10.4.1-22.txt","πλάτος ἔχον διακοσίων που σταδίων","char-offset:757","EVENT","","","","","","","","distance|absolute",""
"b2a2418d-d97c-45e5-a424-dbe69e5e0aad","Strabo, 10.4.1-22.txt","τὸ μὲν νότιον","char-offset:829","EVENT","","","","","","","","orientation|absolute",""
"20262f48-f5d4-49e2-ac62-e6394d97d5ba","Strabo, 10.4.1-22.txt","Κριοῦ μέτωπον","char-offset:852","PLACE","http://pleiades.stoa.org/places/589884","Kriou Metopon|Kriou Metopon Pr., Cape Krios","","35.2319","23.5896","cape","VERIFIED","akroterion",""
"9186e645-6d6d-42fb-b8ab-5c872b0ab7fc","Strabo, 10.4.1-22.txt","τὸ δʼ ἀρκτικὸν","char-offset:866","EVENT","","","","","","","","orientation|absolute",""
"8a105482-e8a5-4d7a-816a-d44f46759a7a","Strabo, 10.4.1-22.txt","Κίμαρος","char-offset:881","PLACE","http://pleiades.stoa.org/places/589866","Kimaros Pr.|Kimaros Pr., Cape Vouxa","","35.6284","23.5962","cape","VERIFIED","akroterion",""
"bcb14a51-2976-4aaa-bd22-5b22a4c0f11f","Strabo, 10.4.1-22.txt","τὸ δʼ ἑῷον","char-offset:891","EVENT","","","","","","","","orientation|absolute",""
