UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,Authority Link,First-level tag,Second-level tag,Typology,Visited or referenced,Other,COMMENTS,GROUP_ID,GROUP_ORDER
3c878a88-c8df-4508-a894-a85192d3f6f5,anabasis_book3_english.txt,Greeks,char-offset:68,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
b12b7e2b-22c0-4e6a-8232-595391888e56,anabasis_book3_english.txt,Cyrus,char-offset:118,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Cyrus_the_Younger.|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger,person,,,,,,,
649c2753-f85c-4392-b17c-679bd3e71267,anabasis_book3_english.txt,Cyrus,char-offset:197,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Cyrus_the_Younger.|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger,person,,,,,,,
d32ee397-bfb0-4154-8bdc-4a77630a2228,anabasis_book3_english.txt,Greeks,char-offset:213,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
e095fce8-1163-4613-86fa-eb2850a0717c,anabasis_book3_english.txt,Tissaphernes,char-offset:246,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Tissaphernes.|person,https://en.wikipedia.org/wiki/Tissaphernes,person,,,,,,,
5689ad3e-9dd2-433f-9855-7fcf885d27b5,anabasis_book3_english.txt,Greeks,char-offset:415,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
7e68262f-8444-4808-97b8-899358ce6568,anabasis_book3_english.txt,Greece,char-offset:658,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Ancient_Greece.|location|region,https://en.wikipedia.org/wiki/Ancient_Greece,location,,region,,,,,
ad7aeb4a-921e-4fc5-937f-3d1d72eabe7e,anabasis_book3_english.txt,Cyrus,char-offset:884,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Cyrus_the_Younger.|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger,person,,,,,,,
9d6efa4c-0d77-4e80-894b-541475f3944d,anabasis_book3_english.txt,"Xenophon, an Athenian",char-offset:1625,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Xenophon.|person,https://en.wikipedia.org/wiki/Xenophon,person,,,,,,,
0b62e180-cd13-473d-9203-69db6df05cfa,anabasis_book3_english.txt,Athenian,char-offset:1638,PLACE,http://pleiades.stoa.org/places/579885,"Athenae|Athenae, Athína",-0750/2100,37.971687,23.726464,settlement,VERIFIED,Athens|person|ethnic|referenced,https://en.wikipedia.org/wiki/Athens,person,ethnic,,referenced,,,,
